型号,系列,网址,图片,价格,状态,CPU跑分,CPU型号,CPU系列,CPU主频,最高睿频,核心/线程数,三级缓存,总线规格,核心架构,制程工艺,功耗,内存容量,内存类型,插槽数量,硬盘容量,硬盘描述,显卡跑分,显卡类型,显卡芯片,显存容量,显存类型,显存位宽,外壳材质,可选配件,网络通信,电池类型,基本参数,厚度,屏幕技术,无线网卡,扬声器,屏幕分辨率,上市时间,宽度,工作温度,其它特点,产品类型,数据接口,长度,笔记本重量,安全性能,客服电话,电话备注,人脸识别,电源适配器,质保备注,音频系统,光驱类型,笔记本附件,存储温度,有线网卡,主板芯片组,显卡,产品定位,操作系统,电源描述,质保时间,外壳描述,处理器,输入设备,指取设备,保修政策,包装清单,外观,附带软件,保修信息,读卡器,显示比例,音频接口,工作湿度,蓝牙,指纹识别,环境要求,麦克风,变形方式,其他,扩展插槽,摄像头,存储设备,详细内容,屏幕尺寸,商用技术,最大内存容量,续航时间,视频接口,特色功能,显示屏,多媒体设备,触控屏,I/O接口,键盘描述,其它接口
Acer VN7-591G-57J5,Aspire V Nitro（VN7-591）系列,http://detail.zol.com.cn/notebook/index386663.shtml,https://2d.zol-img.com.cn/product/149_80x60/505/ceYNxTyy8rfYI.jpg,5999,正常,4540,Intel 酷睿i5 4210H,英特尔 酷睿i5 4代系列,2.9GHz,3.5GHz,双核心/四线程,3MB,DMI 5 GT/s,Haswell,22nm,47W,4GB（4GB×1）,DDR3L（低电压版）1600MHz,2xSO-DIMM,60GB+500GB,混合硬盘（SSD+HDD）,1779,发烧级独立显卡,NVIDIA GeForce GTX 860M,2GB,GDDR5,128bit,复合材质,NULL,NULL,3芯锂电池，4450毫安,NULL,21.9-23.9mm,FHD，LED背光，IPS广视角屏幕,支持802.11a/b/g/n无线协议,内置扬声器,1920x1080,2014年08月,257.5mm,NULL,NULL,家用,3×USB3.0,389.6mm,2.4Kg,安全锁孔,400-700-1000,9:00-18:00,NULL,100V-240V 135W 自适应交流电源适配器,1年整机保修，主要配件2年保修,内置音效芯片,无内置光驱,NULL,NULL,1000Mbps以太网卡,NULL,NULL,游戏本，影音娱乐本，IPS硬屏笔记本,预装Windows 8.1（简体中文版）,NULL,1年,黑色,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,多合1读卡器,16:9,耳机/麦克风二合一接口,NULL,NULL,NULL,NULL,内置麦克风,NULL,NULL,NULL,集成摄像头,NULL,整机三包有效期1年。保修36个月的硬件包括：CPU、内存。保修24个月的硬件包括：主板、显卡、LCD屏、硬盘、电源适配器、键盘、鼠标模块。保修12个月的硬件包括：LCD之附件、光驱、DVD、 CDR/W、软驱、Modem卡、网卡、摄像头等其余功能模块和部件。电池保修3个月，购机后注册成功，电池免费保修延长到12个月。进入官网>>,15.6英寸,NULL,16GB,视具体使用环境而定,HDMI,NULL,NULL,NULL,不支持触控,NULL,背光键盘，全尺寸键盘（包含独立数字键盘）,RJ45（网络接口），电源接口
Acer VN7-591G-56BD,Aspire V Nitro（VN7-591）系列,http://detail.zol.com.cn/notebook/index390556.shtml,https://2d.zol-img.com.cn/product/177_80x60/837/ceLVBqVyuCVOY.jpg,5099,正常,4540,Intel 酷睿i5 4210H,英特尔 酷睿i5 4代系列,2.9GHz,3.5GHz,双核心/四线程,3MB,DMI 5 GT/s,Haswell,22nm,47W,4GB（4GB×1）,DDR3L（低电压版）1600MHz,2xSO-DIMM,500GB,5400转,1779,发烧级独立显卡,NVIDIA GeForce GTX 860M,2GB,GDDR5,128bit,复合材质,NULL,NULL,3芯锂电池，4450毫安,NULL,21.9-23.9mm,FHD，LED背光,支持802.11a/b/g/n无线协议,内置扬声器,1920x1080,2014年10月,257.5mm,NULL,NULL,家用,3×USB3.0,389.6mm,2.4Kg,安全锁孔,400-700-1000,9:00-18:00,NULL,100V-240V 135W 自适应交流电源适配器,1年整机保修，主要配件2年保修,内置音效芯片,无内置光驱,NULL,NULL,1000Mbps以太网卡,NULL,NULL,游戏本，影音娱乐本,预装Windows 8.1（简体中文版）,NULL,1年,黑色,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,多合1读卡器,16:9,耳机/麦克风二合一接口,NULL,NULL,NULL,NULL,内置麦克风,NULL,NULL,NULL,集成摄像头,NULL,整机三包有效期1年。保修36个月的硬件包括：CPU、内存。保修24个月的硬件包括：主板、显卡、LCD屏、硬盘、电源适配器、键盘、鼠标模块。保修12个月的硬件包括：LCD之附件、光驱、DVD、 CDR/W、软驱、Modem卡、网卡、摄像头等其余功能模块和部件。电池保修3个月，购机后注册成功，电池免费保修延长到12个月。进入官网>>,15.6英寸,NULL,16GB,视具体使用环境而定,HDMI,NULL,NULL,NULL,不支持触控,NULL,背光键盘，全尺寸键盘（包含独立数字键盘）,RJ45（网络接口），电源接口
Acer VN7-591G-51SS,Aspire V Nitro（VN7-591）系列,http://detail.zol.com.cn/notebook/index401359.shtml,https://2c.zol-img.com.cn/product/177_80x60/836/cebqngOu5Pt1E.jpg,4699,正常,4540,Intel 酷睿i5 4210H,英特尔 酷睿i5 4代系列,2.9GHz,3.5GHz,双核心/四线程,3MB,DMI 5 GT/s,Haswell,22nm,47W,4GB（4GB×1）,DDR3L（低电压版）1600MHz,2xSO-DIMM,500GB,5400转,2111,发烧级独立显卡,NVIDIA GeForce GTX 960M,2GB,GDDR5,128bit,复合材质,NULL,NULL,3芯锂电池，4450毫安,NULL,21.9-23.9mm,FHD，LED背光,支持802.11a/b/g/n无线协议,内置扬声器,1920x1080,2015年05月,257.5mm,NULL,NULL,家用,3×USB3.0,389.6mm,2.4Kg,安全锁孔,400-700-1000,9:00-18:00,NULL,100V-240V 135W 自适应交流电源适配器,1年整机保修，主要配件2年保修,内置音效芯片,无内置光驱,NULL,NULL,1000Mbps以太网卡,NULL,NULL,游戏本，影音娱乐本,预装Windows 8.1（简体中文版）,NULL,1年,黑色,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,多合1读卡器,16:9,耳机/麦克风二合一接口,NULL,NULL,NULL,NULL,内置麦克风,NULL,NULL,NULL,集成摄像头,NULL,整机三包有效期1年。保修36个月的硬件包括：CPU、内存。保修24个月的硬件包括：主板、显卡、LCD屏、硬盘、电源适配器、键盘、鼠标模块。保修12个月的硬件包括：LCD之附件、光驱、DVD、 CDR/W、软驱、Modem卡、网卡、摄像头等其余功能模块和部件。电池保修3个月，购机后注册成功，电池免费保修延长到12个月。进入官网>>,15.6英寸,NULL,16GB,视具体使用环境而定,HDMI,NULL,NULL,NULL,不支持触控,NULL,背光键盘，全尺寸键盘（包含独立数字键盘）,RJ45（网络接口），电源接口
Acer VN7-591G-715G,Aspire V Nitro（VN7-591）系列,http://detail.zol.com.cn/notebook/index1098642.shtml,https://2b.zol-img.com.cn/product/177_80x60/853/ce8JhUKniNZw.jpg,8199,正常,8026,Intel 酷睿i7 4720HQ,英特尔 酷睿i7 4代系列,2.6GHz,3.6GHz,四核心/八线程,6MB,DMI 5 GT/s,Haswell,22nm,47W,16GB,DDR3,NULL,60GB+1TB,混合硬盘（SSD+5400转HDD）,2111,发烧级独立显卡,NVIDIA GeForce GTX 960M,4GB,GDDR5,128bit,复合材质,NULL,NULL,3芯锂电池，4450毫安,NULL,21.9-23.9mm,LED背光，IPS广视角屏幕,支持802.11a/g/n无线协议,内置扬声器,3840x2160,2015年08月,257.5mm,NULL,NULL,家用,3×USB3.0,389.6mm,2.4Kg,安全锁孔,400-700-1000,9:00-18:00,NULL,100V-240V 135W 自适应交流电源适配器,1年整机保修，主要配件2年保修,内置音效芯片,无内置光驱,NULL,NULL,1000Mbps以太网卡,NULL,NULL,游戏本，影音娱乐本，IPS硬屏笔记本,预装Windows 8.1（简体中文版）,NULL,1年,黑色,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,多合1读卡器,16:9,耳机/麦克风二合一接口,NULL,NULL,NULL,NULL,内置麦克风,NULL,NULL,NULL,集成摄像头,NULL,整机三包有效期1年。保修36个月的硬件包括：CPU、内存。保修24个月的硬件包括：主板、显卡、LCD屏、硬盘、电源适配器、键盘、鼠标模块。保修12个月的硬件包括：LCD之附件、光驱、DVD、 CDR/W、软驱、Modem卡、网卡、摄像头等其余功能模块和部件。电池保修3个月，购机后注册成功，电池免费保修延长到12个月。进入官网>>,15.6英寸,NULL,NULL,视具体使用环境而定,HDMI,NULL,NULL,NULL,不支持触控,NULL,背光键盘，全尺寸键盘（包含独立数字键盘）,RJ45（网络接口），电源接口
Acer VN7-591G-75VL,Aspire V Nitro（VN7-591）系列,http://detail.zol.com.cn/notebook/index1098639.shtml,https://2a.zol-img.com.cn/product/177_80x60/852/ceGmWcKuRB92.jpg,5888,正常,8026,Intel 酷睿i7 4720HQ,英特尔 酷睿i7 4代系列,2.6GHz,3.6GHz,四核心/八线程,6MB,DMI 5 GT/s,Haswell,22nm,47W,8GB,DDR3,NULL,1TB,5400转,2111,发烧级独立显卡,NVIDIA GeForce GTX 960M,2GB,GDDR5,128bit,复合材质,NULL,NULL,3芯锂电池，4450毫安,NULL,21.9-23.9mm,FHD，LED背光，IPS广视角屏幕,支持802.11a/b/g/n无线协议,内置扬声器,1920x1080,2015年08月,257.5mm,NULL,NULL,家用,3×USB3.0,389.6mm,2.4Kg,安全锁孔,400-700-1000,9:00-18:00,NULL,100V-240V 135W 自适应交流电源适配器,1年整机保修，主要配件2年保修,内置音效芯片,无内置光驱,NULL,NULL,1000Mbps以太网卡,NULL,NULL,游戏本，影音娱乐本，IPS硬屏笔记本,预装Windows 8.1（简体中文版）,NULL,1年,黑色,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,多合1读卡器,16:9,耳机/麦克风二合一接口,NULL,NULL,NULL,NULL,内置麦克风,NULL,NULL,NULL,集成摄像头,NULL,整机三包有效期1年。保修36个月的硬件包括：CPU、内存。保修24个月的硬件包括：主板、显卡、LCD屏、硬盘、电源适配器、键盘、鼠标模块。保修12个月的硬件包括：LCD之附件、光驱、DVD、 CDR/W、软驱、Modem卡、网卡、摄像头等其余功能模块和部件。电池保修3个月，购机后注册成功，电池免费保修延长到12个月。进入官网>>,15.6英寸,NULL,NULL,视具体使用环境而定,HDMI,NULL,NULL,NULL,不支持触控,NULL,背光键盘，全尺寸键盘（包含独立数字键盘）,RJ45（网络接口），电源接口
Acer VN7-591G-72C8,Aspire V Nitro（VN7-591）系列,http://detail.zol.com.cn/notebook/index1135981.shtml,https://2b.zol-img.com.cn/product/168_80x60/133/ceqms8JXsRT3U.jpg,6499,正常,8026,Intel 酷睿i7 4720HQ,英特尔 酷睿i7 4代系列,2.6GHz,3.6GHz,四核心/八线程,6MB,DMI 5 GT/s,Haswell,22nm,47W,16GB,DDR3L（低电压版）,NULL,60GB+1TB,混合硬盘（SSD+5400转HDD）,2111,发烧级独立显卡,NVIDIA GeForce GTX 960M,4GB,GDDR5,128bit,复合材质,NULL,NULL,3芯锂电池，4450毫安,NULL,21.9-23.9mm,FHD，LED背光，舒目宽屏,支持802.11a/g/n无线协议,内置扬声器,1920x1080,2015年12月,257.5mm,NULL,NULL,家用,3×USB3.0,389.6mm,2.4Kg,安全锁孔,400-700-1000,9:00-18:00,NULL,100V-240V 自适应交流电源适配器,1年整机保修，主要配件2年保修,内置音效芯片,无内置光驱,NULL,NULL,1000Mbps以太网卡,NULL,NULL,游戏本，影音娱乐本,预装Windows 10 Home（家庭版）,NULL,1年,黑色,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,多合1读卡器,16:9,耳机/麦克风二合一接口,NULL,NULL,NULL,NULL,内置麦克风,NULL,NULL,NULL,集成摄像头,NULL,整机三包有效期1年。保修36个月的硬件包括：CPU、内存。保修24个月的硬件包括：主板、显卡、LCD屏、硬盘、电源适配器、键盘、鼠标模块。保修12个月的硬件包括：LCD之附件、光驱、DVD、 CDR/W、软驱、Modem卡、网卡、摄像头等其余功能模块和部件。电池保修3个月，购机后注册成功，电池免费保修延长到12个月。进入官网>>,15.6英寸,NULL,NULL,3-5小时，视具体使用环境而定,HDMI,NULL,NULL,NULL,不支持触控,NULL,背光键盘，全尺寸键盘（包含独立数字键盘）,RJ45（网络接口），电源接口
Acer VN7-591G-743K,Aspire V Nitro（VN7-591）系列,http://detail.zol.com.cn/notebook/index1127915.shtml,https://2d.zol-img.com.cn/product/168_80x60/659/ce1PFZaKaZPY.jpg,5699,正常,8026,Intel 酷睿i7 4720HQ,英特尔 酷睿i7 4代系列,2.6GHz,3.6GHz,四核心/八线程,6MB,DMI 5 GT/s,Haswell,22nm,47W,8GB,DDR3L（低电压版）,NULL,1TB,5400转,2111,发烧级独立显卡,NVIDIA GeForce GTX 960M,2GB,GDDR5,128bit,复合材质,NULL,NULL,3芯锂电池,NULL,21.9-23.9mm,FHD，LED背光，舒目宽屏,支持802.11a/g/n无线协议,立体声扬声器,1920x1080,2015年12月,257.5mm,NULL,NULL,家用,3×USB3.0,389.6mm,2.4Kg,安全锁孔,400-700-1000,9:00-18:00,NULL,100V-240V 自适应交流电源适配器,1年整机保修，主要配件2年保修,杜比认证音效,无内置光驱,NULL,NULL,1000Mbps以太网卡,NULL,NULL,游戏本，影音娱乐本,预装Windows 10 Home（家庭版）,NULL,1年,黑色,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,多合1读卡器,16:9,耳机/麦克风二合一接口,NULL,NULL,NULL,NULL,内置麦克风,NULL,NULL,NULL,集成130万像素摄像头,NULL,整机三包有效期1年。保修36个月的硬件包括：CPU、内存。保修24个月的硬件包括：主板、显卡、LCD屏、硬盘、电源适配器、键盘、鼠标模块。保修12个月的硬件包括：LCD之附件、光驱、DVD、 CDR/W、软驱、Modem卡、网卡、摄像头等其余功能模块和部件。电池保修3个月，购机后注册成功，电池免费保修延长到12个月。进入官网>>,15.6英寸,NULL,NULL,3-5小时，视具体使用环境而定,HDMI,NULL,NULL,NULL,不支持触控,NULL,背光键盘，全尺寸键盘（包含独立数字键盘）,RJ45（网络接口），电源接口
Acer VN7-591G-56ZA,Aspire V Nitro（VN7-591）系列,http://detail.zol.com.cn/notebook/index1099586.shtml,https://2f.zol-img.com.cn/product/177_80x60/839/cecoK5dpZb9bY.jpg,4799,正常,4540,Intel 酷睿i5 4210H,英特尔 酷睿i5 4代系列,2.9GHz,3.5GHz,双核心/四线程,3MB,DMI 5 GT/s,Haswell,22nm,47W,4GB（4GB×1）,DDR3L（低电压版）1600MHz,2xSO-DIMM,500GB,5400转,1779,发烧级独立显卡,NVIDIA GeForce GTX 860M,2GB,GDDR5,128bit,复合材质,NULL,NULL,3芯锂电池，4450毫安,NULL,21.9-23.9mm,LED背光,支持802.11a/b/g/n无线协议,内置扬声器,1366x768,2015年08月,257.5mm,NULL,NULL,家用,3×USB3.0,389.6mm,2.4Kg,安全锁孔,400-700-1000,9:00-18:00,NULL,100V-240V 135W 自适应交流电源适配器,1年整机保修，主要配件2年保修,内置音效芯片,无内置光驱,NULL,NULL,1000Mbps以太网卡,NULL,NULL,游戏本，影音娱乐本,预装Windows 8.1（简体中文版）,NULL,1年,黑色,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,多合1读卡器,16:9,耳机/麦克风二合一接口,NULL,NULL,NULL,NULL,内置麦克风,NULL,NULL,NULL,集成摄像头,NULL,整机三包有效期1年。保修36个月的硬件包括：CPU、内存。保修24个月的硬件包括：主板、显卡、LCD屏、硬盘、电源适配器、键盘、鼠标模块。保修12个月的硬件包括：LCD之附件、光驱、DVD、 CDR/W、软驱、Modem卡、网卡、摄像头等其余功能模块和部件。电池保修3个月，购机后注册成功，电池免费保修延长到12个月。进入官网>>,15.6英寸,NULL,16GB,视具体使用环境而定,HDMI,NULL,NULL,NULL,不支持触控,NULL,背光键盘，全尺寸键盘（包含独立数字键盘）,RJ45（网络接口），电源接口
Acer VN7-591G-55N2,Aspire V Nitro（VN7-591）系列,http://detail.zol.com.cn/notebook/index1104201.shtml,https://2f.zol-img.com.cn/product/177_80x60/845/ceXvvcXEhZels.jpg,5199,正常,4540,Intel 酷睿i5 4210H,英特尔 酷睿i5 4代系列,2.9GHz,3.5GHz,双核心/四线程,3MB,DMI 5 GT/s,Haswell,22nm,47W,8GB（8GB×1）,DDR3,NULL,1TB,5400转,2111,发烧级独立显卡,NVIDIA GeForce GTX 960M,2GB,GDDR5,128bit,复合材质,NULL,NULL,3芯锂电池，4450毫安,NULL,21.9-23.9mm,FHD，LED背光,支持802.11a/b/g/n无线协议,内置扬声器,1920x1080,2015年11月,257.5mm,NULL,NULL,家用,3×USB3.0,389.6mm,2.4Kg,安全锁孔,400-700-1000,9:00-18:00,NULL,100V-240V 135W 自适应交流电源适配器,1年整机保修，主要配件2年保修,内置音效芯片,无内置光驱,NULL,NULL,1000Mbps以太网卡,NULL,NULL,游戏本，影音娱乐本,预装Windows 8.1（简体中文版）,NULL,1年,黑色,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,多合1读卡器,16:9,耳机/麦克风二合一接口,NULL,NULL,NULL,NULL,内置麦克风,NULL,NULL,NULL,集成摄像头,NULL,整机三包有效期1年。保修36个月的硬件包括：CPU、内存。保修24个月的硬件包括：主板、显卡、LCD屏、硬盘、电源适配器、键盘、鼠标模块。保修12个月的硬件包括：LCD之附件、光驱、DVD、 CDR/W、软驱、Modem卡、网卡、摄像头等其余功能模块和部件。电池保修3个月，购机后注册成功，电池免费保修延长到12个月。进入官网>>,15.6英寸,NULL,NULL,视具体使用环境而定,HDMI,NULL,NULL,NULL,不支持触控,NULL,背光键盘，全尺寸键盘（包含独立数字键盘）,RJ45（网络接口），电源接口
Acer VN7-591G-5608,Aspire V Nitro（VN7-591）系列,http://detail.zol.com.cn/notebook/index1110023.shtml,https://2d.zol-img.com.cn/product/177_80x60/849/cev3YMcqAFc.jpg,5499,正常,4540,Intel 酷睿i5 4210H,英特尔 酷睿i5 4代系列,2.9GHz,3.5GHz,双核心/四线程,3MB,DMI 5 GT/s,Haswell,22nm,47W,8GB（8GB×1）,DDR3L（低电压版）1600MHz,2xSO-DIMM,60GB+1TB,混合硬盘（SSD+HDD）,2111,发烧级独立显卡,NVIDIA GeForce GTX 960M,4GB,GDDR5,128bit,复合材质,NULL,NULL,3芯锂电池，4450毫安,NULL,21.9-23.9mm,FHD，LED背光,支持802.11a/b/g/n无线协议,内置扬声器,1920x1080,2015年11月,257.5mm,NULL,NULL,家用,3×USB3.0,389.6mm,2.4Kg,安全锁孔,400-700-1000,9:00-18:00,NULL,100V-240V 135W 自适应交流电源适配器,1年整机保修，主要配件2年保修,内置音效芯片,无内置光驱,NULL,NULL,1000Mbps以太网卡,NULL,NULL,游戏本，影音娱乐本,预装Windows 8.1（简体中文版）,NULL,1年,黑色,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,多合1读卡器,16:9,耳机/麦克风二合一接口,NULL,NULL,NULL,NULL,内置麦克风,NULL,NULL,NULL,集成摄像头,NULL,整机三包有效期1年。保修36个月的硬件包括：CPU、内存。保修24个月的硬件包括：主板、显卡、LCD屏、硬盘、电源适配器、键盘、鼠标模块。保修12个月的硬件包括：LCD之附件、光驱、DVD、 CDR/W、软驱、Modem卡、网卡、摄像头等其余功能模块和部件。电池保修3个月，购机后注册成功，电池免费保修延长到12个月。进入官网>>,15.6英寸,NULL,16GB,视具体使用环境而定,HDMI,NULL,NULL,NULL,不支持触控,NULL,背光键盘，全尺寸键盘（包含独立数字键盘）,RJ45（网络接口），电源接口
