型号,系列,网址,图片,价格,状态,CPU跑分,CPU型号,CPU系列,CPU主频,最高睿频,核心/线程数,三级缓存,总线规格,核心架构,制程工艺,功耗,内存容量,内存类型,插槽数量,硬盘容量,硬盘描述,显卡跑分,显卡类型,显卡芯片,显存容量,显存类型,显存位宽,外壳材质,可选配件,网络通信,电池类型,基本参数,厚度,屏幕技术,无线网卡,扬声器,屏幕分辨率,上市时间,宽度,工作温度,其它特点,产品类型,数据接口,长度,笔记本重量,安全性能,客服电话,电话备注,人脸识别,电源适配器,质保备注,音频系统,光驱类型,笔记本附件,存储温度,有线网卡,主板芯片组,显卡,产品定位,操作系统,电源描述,质保时间,外壳描述,处理器,输入设备,指取设备,保修政策,包装清单,外观,附带软件,保修信息,读卡器,显示比例,音频接口,工作湿度,蓝牙,指纹识别,环境要求,麦克风,变形方式,其他,扩展插槽,摄像头,存储设备,详细内容,屏幕尺寸,商用技术,最大内存容量,续航时间,视频接口,特色功能,显示屏,多媒体设备,触控屏,I/O接口,键盘描述,其它接口
Alienware 13（ALW13ED-3808）,13系列（R2）,http://detail.zol.com.cn/notebook/index1101597.shtml,https://2e.zol-img.com.cn/product/168_80x60/884/ce8Q0t1yChwXQ.jpg,1.34万,正常,4432,Intel 酷睿i7 6500U,英特尔 酷睿i7 6代系列,2.5GHz,3.1GHz,双核心/四线程,4MB,NULL,Skylake,14nm,15W,16GB,DDR3L（低电压版）1600MHz,2xSO-DIMM,512GB,SSD固态硬盘,2111,发烧级独立显卡,NVIDIA GeForce GTX 960M,2GB,GDDR5,128bit,镁铝合金,NULL,NULL,4芯锂电池,NULL,26.34-27.9mm,FHD，LED背光，IPS防眩光屏,Killer 1525 AC，支持802.11ac无线协议,2.0扬声器,1920x1080,2015年10月,235mm,NULL,NULL,家用,2×USB3.0，USB Type-C接口,328mm,2.058Kg,NULL,800-858-0549; 400-884-5115,8:30-17:30（节假日休息）,NULL,100V-240V 130W 自适应交流电源适配器,2年专业支持，1年工作日上门服务,置高保真音频,无内置光驱,NULL,NULL,集成网卡,NULL,NULL,游戏本，影音娱乐本，IPS硬屏笔记本,预装Windows 10 Home Basic 64bit（64位家庭普通版）,NULL,2年,魔幻银,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电池 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,Alienware Command CenterAlienFXAlienFusionAlienAdrenaline，配备加速器,NULL,NULL,16:9,耳机输出接口，麦克风输入接口,NULL,支持，蓝牙4.0模块,NULL,NULL,双数字麦克风,NULL,NULL,NULL,集成200万像素摄像头,NULL,戴尔计算机（中国）有限公司（以下简称“戴尔公司”）将根据《微型计算机商品修理更换退货责任规定》（以下简称《三包规定》）提供修理、更换、退货服务（以下简称“三包服务”）。按照《三包规定》，在适用的三包期内，您可以凭发货票和三包凭证要求戴尔公司提供相关的“三包服务”。“三包服务”的期间自戴尔公司开具发货票之日起计算。 进入官网>>,13英寸,NULL,NULL,视具体使用环境而定,HDMI,NULL,NULL,NULL,不支持触控,NULL,Eng/Int（静音）键盘,RJ45（网络接口），电源接口，Alienware（显卡增强加速器端口）
Alienware 13（ALW13ED-6728）,13系列（R2）,http://detail.zol.com.cn/notebook/index1154606.shtml,https://2b.zol-img.com.cn/product/176_80x60/541/ceF2MTutvrYbo.jpg,9899,正常,4432,Intel 酷睿i7 6500U,英特尔 酷睿i7 6代系列,2.5GHz,3.1GHz,双核心/四线程,4MB,NULL,Skylake,14nm,15W,8GB（4GB×2）,DDR3L（低电压版）1600MHz,2xSO-DIMM,256GB,SSD固态硬盘,2111,发烧级独立显卡,NVIDIA GeForce GTX 960M,4GB,GDDR5,192bit,镁铝合金,NULL,NULL,4芯锂电池,NULL,26.34-27.9mm,IPS防眩光屏,Killer 1525 AC，支持802.11ac无线协议,2.0扬声器,1920x1080,2016年09月,235mm,NULL,NULL,家用,2×USB3.0，USB Type-C接口,328mm,2.058Kg,NULL,800-858-0549; 400-884-5115,8:30-17:30（节假日休息）,NULL,100V-240V 130W 自适应交流电源适配器,2年专业支持，1年工作日上门服务,置高保真音频,无内置光驱,NULL,NULL,NULL,NULL,NULL,游戏本，影音娱乐本，IPS硬屏笔记本,预装Windows 10,NULL,2年,魔幻银,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电池 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,Alienware Command CenterAlienFXAlienFusionAlienAdrenaline，配备加速器,NULL,NULL,16:9,耳机/麦克风二合一接口,NULL,支持，蓝牙4.0模块,NULL,NULL,双数字麦克风,NULL,NULL,NULL,集成200万像素摄像头,NULL,戴尔计算机（中国）有限公司（以下简称“戴尔公司”）将根据《微型计算机商品修理更换退货责任规定》（以下简称《三包规定》）提供修理、更换、退货服务（以下简称“三包服务”）。按照《三包规定》，在适用的三包期内，您可以凭发货票和三包凭证要求戴尔公司提供相关的“三包服务”。“三包服务”的期间自戴尔公司开具发货票之日起计算。 进入官网>>,13.3英寸,NULL,NULL,8.5小时，视具体使用环境而定,HDMI,NULL,NULL,NULL,不支持触控,NULL,4区多色RGB键盘，带AlienFX照明控件,RJ45（网络接口），电源接口，Alienware图形放大器端口
Alienware 13（ALW13ED-4828）,13系列（R2）,http://detail.zol.com.cn/notebook/index1138235.shtml,https://2a.zol-img.com.cn/product/169_80x60/62/cenIA4LEMjpQ.jpg,1.47万,正常,4432,Intel 酷睿i7 6500U,英特尔 酷睿i7 6代系列,2.5GHz,3.1GHz,双核心/四线程,4MB,NULL,Skylake,14nm,15W,16GB（8GB×2）,DDR3L（低电压版）1600MHz,2xSO-DIMM,512GB,SSD固态硬盘,2111,发烧级独立显卡,NVIDIA GeForce GTX 960M,4GB,GDDR5,128bit,镁铝合金,NULL,NULL,4芯锂电池,NULL,26.34-27.9mm,FHD，LED背光，IPS防眩光屏,Killer 1535 AC，支持802.11ac无线协议,双立体声扬声器,1920x1080,2016年01月,235mm,NULL,NULL,家用,2×USB3.0，USB Type-C接口,328mm,2.058Kg,NULL,800-858-0549; 400-884-5115,8:30-17:30（节假日休息）,NULL,100V-240V 130W 自适应交流电源适配器,2年专业支持，2年以内工作日上门服务,内置高保真音频，采用Creative X-fi软件,无内置光驱,NULL,NULL,1000Mbps以太网卡,NULL,NULL,游戏本，影音娱乐本，IPS硬屏笔记本,预装Windows 10 Home Basic 64bit（64位家庭普通版）,NULL,2年,魔幻银,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电池 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,Microsoft Office 试用版，McAfee Live Safe 12个月订阅，Alienware Command Center，AlienFX，AlienFusion，AlienAdrenaline（配备加速器）,NULL,NULL,16:9,耳机输出接口，麦克风输入接口,NULL,支持，蓝牙4.1模块,NULL,NULL,双数字麦克风,NULL,NULL,NULL,集成200万像素摄像头,NULL,戴尔计算机（中国）有限公司（以下简称“戴尔公司”）将根据《微型计算机商品修理更换退货责任规定》（以下简称《三包规定》）提供修理、更换、退货服务（以下简称“三包服务”）。按照《三包规定》，在适用的三包期内，您可以凭发货票和三包凭证要求戴尔公司提供相关的“三包服务”。“三包服务”的期间自戴尔公司开具发货票之日起计算。 进入官网>>,13.3英寸,NULL,NULL,8.5小时左右，视具体使用环境而定,HDMI,NULL,NULL,NULL,不支持触控,NULL,背光键盘，4区多色RGB键盘，带AlienFX照明控件,RJ45（网络接口），电源接口，Alienware显卡增强加速器端口
Alienware 13（ALW13ED-6608）,13系列（R2）,http://detail.zol.com.cn/notebook/index1154609.shtml,https://2a.zol-img.com.cn/product/176_80x60/564/ceDu26zLXWTY.jpg,8999,正常,4009,Intel 酷睿i5 6200U,英特尔 酷睿i5 6代系列,2.3GHz,2.8GHz,双核心/四线程,3MB,NULL,Skylake,14nm,15W,8GB（4GB×2）,DDR3L（低电压版）1600MHz,2xSO-DIMM,256GB,SSD固态硬盘,2111,发烧级独立显卡,NVIDIA GeForce GTX 960M,2GB,GDDR5,192bit,镁铝合金,NULL,NULL,4芯锂电池,NULL,26.34-27.9mm,IPS防眩光屏,Killer 1525 AC，支持802.11ac无线协议,2.0扬声器,1920x1080,2016年09月,235mm,NULL,NULL,家用,2×USB3.0，USB Type-C接口,328mm,2.058Kg,NULL,800-858-0549; 400-884-5115,8:30-17:30（节假日休息）,NULL,100V-240V 130W 自适应交流电源适配器,2年专业支持，1年工作日上门服务,置高保真音频,无内置光驱,NULL,NULL,NULL,NULL,NULL,游戏本，影音娱乐本，IPS硬屏笔记本,预装Windows 10,NULL,2年,魔幻银,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电池 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,Alienware Command CenterAlienFXAlienFusionAlienAdrenaline，配备加速器,NULL,NULL,16:9,耳机/麦克风二合一接口,NULL,支持，蓝牙4.0模块,NULL,NULL,双数字麦克风,NULL,NULL,NULL,集成200万像素摄像头,NULL,戴尔计算机（中国）有限公司（以下简称“戴尔公司”）将根据《微型计算机商品修理更换退货责任规定》（以下简称《三包规定》）提供修理、更换、退货服务（以下简称“三包服务”）。按照《三包规定》，在适用的三包期内，您可以凭发货票和三包凭证要求戴尔公司提供相关的“三包服务”。“三包服务”的期间自戴尔公司开具发货票之日起计算。 进入官网>>,13.3英寸,NULL,NULL,8.5小时，视具体使用环境而定,HDMI,NULL,NULL,NULL,不支持触控,NULL,4区多色RGB键盘，带AlienFX照明控件,RJ45（网络接口），电源接口，Alienware图形放大器端口
Alienware 13（ALW13ED-4728）,13系列（R2）,http://detail.zol.com.cn/notebook/index1138233.shtml,https://2f.zol-img.com.cn/product/169_80x60/61/ceVKsjfDSLDVo.jpg,1.2万,正常,4432,Intel 酷睿i7 6500U,英特尔 酷睿i7 6代系列,2.5GHz,3.1GHz,双核心/四线程,4MB,NULL,Skylake,14nm,15W,8GB（4GB×2）,DDR3L（低电压版）1600MHz,2xSO-DIMM,256GB,SSD固态硬盘,2111,发烧级独立显卡,NVIDIA GeForce GTX 960M,4GB,GDDR5,128bit,镁铝合金,NULL,NULL,4芯锂电池,NULL,26.34-27.9mm,FHD，LED背光，IPS防眩光屏,Killer 1535 AC，支持802.11ac无线协议,双立体声扬声器,1920x1080,2016年01月,235mm,NULL,NULL,家用,2×USB3.0，USB Type-C接口,328mm,2.058Kg,NULL,800-858-0549; 400-884-5115,8:30-17:30（节假日休息）,NULL,100V-240V 130W 自适应交流电源适配器,2年专业支持，2年以内工作日上门服务,内置高保真音频，采用Creative X-fi软件,无内置光驱,NULL,NULL,1000Mbps以太网卡,NULL,NULL,游戏本，影音娱乐本，IPS硬屏笔记本,预装Windows 10 Home Basic 64bit（64位家庭普通版）,NULL,2年,魔幻银,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电池 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,Microsoft Office 试用版，McAfee Live Safe 12个月订阅，Alienware Command Center，AlienFX，AlienFusion，AlienAdrenaline（配备加速器）,NULL,NULL,16:9,耳机输出接口，麦克风输入接口,NULL,支持，蓝牙4.1模块,NULL,NULL,双数字麦克风,NULL,NULL,NULL,集成200万像素摄像头,NULL,戴尔计算机（中国）有限公司（以下简称“戴尔公司”）将根据《微型计算机商品修理更换退货责任规定》（以下简称《三包规定》）提供修理、更换、退货服务（以下简称“三包服务”）。按照《三包规定》，在适用的三包期内，您可以凭发货票和三包凭证要求戴尔公司提供相关的“三包服务”。“三包服务”的期间自戴尔公司开具发货票之日起计算。 进入官网>>,13.3英寸,NULL,NULL,8.5小时左右，视具体使用环境而定,HDMI,NULL,NULL,NULL,不支持触控,NULL,背光键盘，4区多色RGB键盘，带AlienFX照明控件,RJ45（网络接口），电源接口，Alienware显卡增强加速器端口
Alienware 13（ALW13ED-6828）,13系列（R2）,http://detail.zol.com.cn/notebook/index1154547.shtml,https://2c.zol-img.com.cn/product/176_80x60/358/ce437aUQuxrjA.jpg,1.1万,正常,4432,Intel 酷睿i7 6500U,英特尔 酷睿i7 6代系列,2.5GHz,3.1GHz,双核心/四线程,4MB,NULL,Skylake,14nm,15W,8GB（4GB×2）,DDR3L（低电压版）1600MHz,2xSO-DIMM,512GB,SSD固态硬盘,3067,发烧级独立显卡,NVIDIA GeForce GTX 965M,4GB,GDDR5,192bit,镁铝合金,NULL,NULL,4芯锂电池,NULL,26.34-27.9mm,OLED显示屏,Killer 1525 AC，支持802.11ac无线协议,2.0扬声器,1920x1080,2016年09月,235mm,NULL,NULL,家用,2×USB3.0，USB Type-C接口,328mm,2.058Kg,NULL,800-858-0549; 400-884-5115,8:30-17:30（节假日休息）,NULL,100V-240V 130W 自适应交流电源适配器,2年专业支持，1年工作日上门服务,置高保真音频,无内置光驱,NULL,NULL,NULL,NULL,NULL,游戏本，影音娱乐本，IPS硬屏笔记本,预装Windows 10,NULL,2年,魔幻银,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电池 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,Alienware Command CenterAlienFXAlienFusionAlienAdrenaline，配备加速器,NULL,NULL,16:9,耳机/麦克风二合一接口,NULL,支持，蓝牙4.0模块,NULL,NULL,双数字麦克风,NULL,NULL,NULL,集成200万像素摄像头,NULL,戴尔计算机（中国）有限公司（以下简称“戴尔公司”）将根据《微型计算机商品修理更换退货责任规定》（以下简称《三包规定》）提供修理、更换、退货服务（以下简称“三包服务”）。按照《三包规定》，在适用的三包期内，您可以凭发货票和三包凭证要求戴尔公司提供相关的“三包服务”。“三包服务”的期间自戴尔公司开具发货票之日起计算。 进入官网>>,13.3英寸,NULL,NULL,8.5小时，视具体使用环境而定,HDMI,NULL,NULL,NULL,不支持触控,NULL,4区多色RGB键盘，带AlienFX照明控件,RJ45（网络接口），电源接口，Alienware图形放大器端口
Alienware 13（ALW13ED-5828）,13系列（R2）,http://detail.zol.com.cn/notebook/index1143911.shtml,https://2e.zol-img.com.cn/product/172_80x60/614/ceBTQWVwiKcic.jpg,1.42万,正常,4432,Intel 酷睿i7 6500U,英特尔 酷睿i7 6代系列,2.5GHz,3.1GHz,双核心/四线程,4MB,NULL,Skylake,14nm,15W,8GB（4GB×2）,DDR3L（低电压版）1600MHz,2xSO-DIMM,512GB,SSD固态硬盘（PCIe）,3067,发烧级独立显卡,NVIDIA GeForce GTX 965M,4GB,GDDR5,128bit,镁铝合金,NULL,NULL,4芯锂电池,NULL,26.34-27.9mm,FHD，LED背光，IPS防眩光屏,Killer 1535 AC，支持802.11ac无线协议,双立体声扬声器,1920x1080,2016年04月,235mm,NULL,NULL,家用,2×USB3.0，USB Type-C接口,328mm,2.058Kg,NULL,800-858-0549; 400-884-5115,8:30-17:30（节假日休息）,NULL,100V-240V 130W 自适应交流电源适配器,2年专业支持，2年以内工作日上门服务,内置高保真音频，采用Creative X-fi软件,无内置光驱,NULL,NULL,1000Mbps以太网卡,NULL,NULL,游戏本，影音娱乐本，IPS硬屏笔记本,预装Windows 10 Home Basic 64bit（64位家庭普通版）,NULL,2年,魔幻银,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电池 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,NULL,16:9,耳机输出接口，麦克风输入接口,NULL,支持，蓝牙4.1模块,NULL,NULL,双数字麦克风,NULL,NULL,NULL,集成200万像素摄像头,NULL,戴尔计算机（中国）有限公司（以下简称“戴尔公司”）将根据《微型计算机商品修理更换退货责任规定》（以下简称《三包规定》）提供修理、更换、退货服务（以下简称“三包服务”）。按照《三包规定》，在适用的三包期内，您可以凭发货票和三包凭证要求戴尔公司提供相关的“三包服务”。“三包服务”的期间自戴尔公司开具发货票之日起计算。 进入官网>>,13.3英寸,NULL,NULL,8.5小时左右，视具体使用环境而定,HDMI,NULL,NULL,NULL,不支持触控,NULL,背光键盘，4区多色RGB键盘，带AlienFX照明控件,RJ45（网络接口），电源接口，Alienware显卡增强加速器端口
Alienware 13（ALW13ED-3608）,13系列（R2）,http://detail.zol.com.cn/notebook/index1101593.shtml,https://2c.zol-img.com.cn/product/168_80x60/900/ce5Hky6BXdMFU.jpg,1.03万,正常,4009,Intel 酷睿i5 6200U,英特尔 酷睿i5 6代系列,2.3GHz,2.8GHz,双核心/四线程,3MB,NULL,Skylake,14nm,15W,8GB（4GB×2）,DDR3L（低电压版）1600MHz,2xSO-DIMM,256GB,SSD固态硬盘,2111,发烧级独立显卡,NVIDIA GeForce GTX 960M,2GB,GDDR5,128bit,复合材质,NULL,NULL,4芯锂电池,NULL,26.34-27.9mm,FHD，LED背光，IPS防眩光屏,Killer 1525 AC，支持802.11ac无线协议,2.0扬声器,1920x1080,2015年10月,235mm,NULL,NULL,家用,2×USB3.0，USB Type-C接口,328mm,2.058Kg,NULL,800-858-0549; 400-884-5115,8:30-17:30（节假日休息）,NULL,100V-240V 130W 自适应交流电源适配器,2年专业支持，1年工作日上门服务,置高保真音频,无内置光驱,NULL,NULL,集成网卡,NULL,NULL,游戏本，影音娱乐本，IPS硬屏笔记本,预装Windows 10 Home Basic 64bit（64位家庭普通版）,NULL,2年,魔幻银,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电池 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,Alienware Command CenterAlienFXAlienFusionAlienAdrenaline，配备加速器,NULL,NULL,16:9,耳机输出接口，麦克风输入接口,NULL,支持，蓝牙4.0模块,NULL,NULL,双数字麦克风,NULL,NULL,NULL,集成200万像素摄像头,NULL,戴尔计算机（中国）有限公司（以下简称“戴尔公司”）将根据《微型计算机商品修理更换退货责任规定》（以下简称《三包规定》）提供修理、更换、退货服务（以下简称“三包服务”）。按照《三包规定》，在适用的三包期内，您可以凭发货票和三包凭证要求戴尔公司提供相关的“三包服务”。“三包服务”的期间自戴尔公司开具发货票之日起计算。 进入官网>>,13英寸,NULL,NULL,视具体使用环境而定,HDMI,NULL,NULL,NULL,不支持触控,NULL,Eng/Int（静音）键盘,RJ45（网络接口），电源接口，Alienware（显卡增强加速器端口）
Alienware 13（ALW13ED-3708）,13系列（R2）,http://detail.zol.com.cn/notebook/index1101596.shtml,https://2e.zol-img.com.cn/product/168_80x60/902/ceY5jD1aLuGhE.jpg,1.2万,正常,4432,Intel 酷睿i7 6500U,英特尔 酷睿i7 6代系列,2.5GHz,3.1GHz,双核心/四线程,4MB,NULL,Skylake,14nm,15W,8GB（4GB×2）,DDR3L（低电压版）1600MHz,2xSO-DIMM,256GB,SSD固态硬盘,2111,发烧级独立显卡,NVIDIA GeForce GTX 960M,2GB,GDDR5,128bit,镁铝合金,NULL,NULL,4芯锂电池,NULL,26.34-27.9mm,FHD，LED背光，IPS防眩光屏,Killer 1525 AC，支持802.11ac无线协议,2.0扬声器,1920x1080,2015年10月,235mm,NULL,NULL,家用,2×USB3.0，USB Type-C接口,328mm,2.058Kg,NULL,800-858-0549; 400-884-5115,8:30-17:30（节假日休息）,NULL,100V-240V 130W 自适应交流电源适配器,2年专业支持，1年工作日上门服务,置高保真音频,无内置光驱,NULL,NULL,集成网卡,NULL,NULL,游戏本，影音娱乐本，IPS硬屏笔记本,预装Windows 10 Home Basic 64bit（64位家庭普通版）,NULL,2年,魔幻银,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电池 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,Alienware Command CenterAlienFXAlienFusionAlienAdrenaline，配备加速器,NULL,NULL,16:9,耳机输出接口，麦克风输入接口,NULL,支持，蓝牙4.0模块,NULL,NULL,双数字麦克风,NULL,NULL,NULL,集成200万像素摄像头,NULL,戴尔计算机（中国）有限公司（以下简称“戴尔公司”）将根据《微型计算机商品修理更换退货责任规定》（以下简称《三包规定》）提供修理、更换、退货服务（以下简称“三包服务”）。按照《三包规定》，在适用的三包期内，您可以凭发货票和三包凭证要求戴尔公司提供相关的“三包服务”。“三包服务”的期间自戴尔公司开具发货票之日起计算。 进入官网>>,13英寸,NULL,NULL,视具体使用环境而定,HDMI,NULL,NULL,NULL,不支持触控,NULL,Eng/Int（静音）键盘,RJ45（网络接口），电源接口，Alienware（显卡增强加速器端口）
Alienware 13（ALW13ED-2708）,13系列,http://detail.zol.com.cn/notebook/index402606.shtml,https://2f.zol-img.com.cn/product/153_80x60/695/ceybPVbnA1ng.jpg,8399,正常,3970,Intel 酷睿i7 5500U,英特尔 酷睿i7 5代系列,2.4GHz,3GHz,双核心/四线程,4MB,DMI 5 GT/s,Broadwell,14nm,15W,8GB（4GB×2）,DDR3L（低电压版）1600MHz,2xSO-DIMM,128GB+256GB,m2.80 NGFF TLC SSD固态硬盘,2111,发烧级独立显卡,NVIDIA GeForce GTX 960M,2GB,GDDR5,128bit,镁铝合金,NULL,NULL,4芯锂电池,NULL,26.34-27.9mm,FHD，LED背光，IPS防眩光屏,Killer 1525 AC，支持802.11ac无线协议,2.0扬声器,1920x1080,2015年06月,235mm,NULL,NULL,家用,3×USB3.0（其中一个具有Powershare供电功能）,328mm,2.058Kg,NULL,800-858-0549; 400-884-5115,8:30-17:30（节假日休息）,NULL,100V-240V 130W 自适应交流电源适配器,2年专业支持，1年工作日上门服务,置高保真音频,无内置光驱,NULL,NULL,集成网卡,NULL,NULL,游戏本，影音娱乐本，IPS硬屏笔记本,预装Windows 8.1 64bit（64位简体中文版）,NULL,2年,魔幻银,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电池 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,Alienware Command CenterAlienFXAlienFusionAlienAdrenaline，配备加速器,NULL,多合1读卡器,16:9,耳机/麦克风二合一接口,NULL,支持，蓝牙4.0模块,NULL,NULL,双数字麦克风,NULL,NULL,NULL,集成200万像素摄像头,NULL,戴尔计算机（中国）有限公司（以下简称“戴尔公司”）将根据《微型计算机商品修理更换退货责任规定》（以下简称《三包规定》）提供修理、更换、退货服务（以下简称“三包服务”）。按照《三包规定》，在适用的三包期内，您可以凭发货票和三包凭证要求戴尔公司提供相关的“三包服务”。“三包服务”的期间自戴尔公司开具发货票之日起计算。 进入官网>>,13英寸,NULL,NULL,视具体使用环境而定,HDMI，Mini DisplayPort,NULL,NULL,NULL,不支持触控,NULL,Eng/Int（静音）键盘,RJ45（网络接口），电源接口，Alienware图形放大器端口
