型号,系列,网址,图片,价格,状态,CPU跑分,CPU型号,CPU系列,CPU主频,最高睿频,核心/线程数,三级缓存,总线规格,核心架构,制程工艺,功耗,内存容量,内存类型,插槽数量,硬盘容量,硬盘描述,显卡跑分,显卡类型,显卡芯片,显存容量,显存类型,显存位宽,外壳材质,可选配件,网络通信,电池类型,基本参数,厚度,屏幕技术,无线网卡,扬声器,屏幕分辨率,上市时间,宽度,工作温度,其它特点,产品类型,数据接口,长度,笔记本重量,安全性能,客服电话,电话备注,人脸识别,电源适配器,质保备注,音频系统,光驱类型,笔记本附件,存储温度,有线网卡,主板芯片组,显卡,产品定位,操作系统,电源描述,质保时间,外壳描述,处理器,输入设备,指取设备,保修政策,包装清单,外观,附带软件,保修信息,读卡器,显示比例,音频接口,工作湿度,蓝牙,指纹识别,环境要求,麦克风,变形方式,其他,扩展插槽,摄像头,存储设备,详细内容,屏幕尺寸,商用技术,最大内存容量,续航时间,视频接口,特色功能,显示屏,多媒体设备,触控屏,I/O接口,键盘描述,其它接口
LG gram （15Z970-G.AA52C）,Gram （15Z970）系列,http://detail.zol.com.cn/ultrabook/index1165451.shtml,https://2d.zol-img.com.cn/product/182_80x60/235/ceCQhTae8CvCw.jpg,7999,正常,4661,Intel 酷睿i5 7200U,英特尔 酷睿i5 7代系列,2.5GHz,3.1GHz,双核心/四线程,3MB,NULL,Kaby Lake,14nm,15W,8GB（8GB×1）,DDR4,NULL,256GB,SSD固态硬盘,936,核芯显卡,Intel GMA HD 620,共享内存容量,无,NULL,纳米碳镁,NULL,NULL,4芯锂电池,NULL,NULL,FHD，LED背光，IPS窄边框,内置无线网卡,内置扬声器,1920x1080,2017年02月,228mm,NULL,NULL,家用,1×USB2.0+2×USB3.0，USB3.0 Type-C接口,357mm,1.09Kg,安全锁孔,NULL,NULL,NULL,100V-240V 自适应交流电源适配器,NULL,环绕立体声音频,无内置光驱,NULL,NULL,100Mbps网卡,NULL,NULL,时尚轻薄本，Ultrabook笔记本,预装Windows 10,NULL,NULL,深邃银,NULL,NULL,触摸板,NULL,笔记本主机 x1Type-C-RJ45转接线 x1,NULL,附带软件,NULL,Micro SD,16:9,耳机/麦克风二合一接口,NULL,支持蓝牙功能,NULL,NULL,内置麦克风,NULL,NULL,NULL,HD高清摄像头,NULL,NULL,15.6英寸,NULL,NULL,15.2小时，视具体使用环境而定,HDMI,NULL,NULL,NULL,不支持触控,NULL,背光键盘,电源接口
LG gram （15Z970-G.AA75C）,Gram （15Z970）系列,http://detail.zol.com.cn/ultrabook/index1165453.shtml,https://2b.zol-img.com.cn/product/182_80x60/239/ceWhcgFiBAhr.jpg,9999,正常,5217,Intel 酷睿i7 7500U,英特尔 酷睿i7 7代系列,2.7GHz,3.5GHz,双核心/四线程,4MB,NULL,Kaby Lake,14nm,15W,8GB（8GB×1）,DDR4,NULL,512GB,SSD固态硬盘,936,核芯显卡,Intel GMA HD 620,共享内存容量,无,NULL,纳米碳镁,NULL,NULL,4芯锂电池,NULL,NULL,FHD，LED背光，IPS窄边框,内置无线网卡,内置扬声器,1920x1080,2017年02月,228mm,NULL,NULL,家用,2×USB3.0，USB3.0 Type-C接口,357mm,1.09Kg,安全锁孔,NULL,NULL,NULL,100V-240V 自适应交流电源适配器,NULL,环绕立体声音频,无内置光驱,NULL,NULL,100Mbps网卡,NULL,NULL,时尚轻薄本，Ultrabook笔记本,预装Windows 10,NULL,NULL,深邃银,NULL,NULL,触摸板,NULL,笔记本主机 x1Type-C-RJ45转接线 x1,NULL,附带软件,NULL,Micro SD,16:9,耳机/麦克风二合一接口,NULL,支持蓝牙功能,NULL,NULL,内置麦克风,NULL,NULL,NULL,HD高清摄像头,NULL,NULL,15.6英寸,NULL,NULL,5-8小时，视具体使用环境而定,HDMI,NULL,NULL,NULL,不支持触控,NULL,背光键盘,电源接口
LG gram （15Z970-G.AA76C）,Gram （15Z970）系列,http://detail.zol.com.cn/ultrabook/index1170942.shtml,https://2d.zol-img.com.cn/product/182_80x60/103/ceWMIJqtzdTi6.jpg,9999,正常,5217,Intel 酷睿i7 7500U,英特尔 酷睿i7 7代系列,2.7GHz,3.5GHz,双核心/四线程,4MB,NULL,Kaby Lake,14nm,15W,8GB（8GB×1）,DDR4,NULL,512GB,SSD固态硬盘,936,核芯显卡,Intel GMA HD 620,共享内存容量,无,NULL,纳米碳镁,NULL,NULL,4芯锂电池,NULL,NULL,FHD，LED背光，IPS窄边框,内置无线网卡,内置扬声器,1920x1080,2017年02月,228mm,NULL,NULL,家用,2×USB3.0，USB3.0 Type-C接口,357mm,1.09Kg,安全锁孔,NULL,NULL,NULL,100V-240V 自适应交流电源适配器,NULL,环绕立体声音频,无内置光驱,NULL,NULL,100Mbps网卡,NULL,NULL,时尚轻薄本，Ultrabook笔记本,预装Windows 10,NULL,NULL,白色,NULL,NULL,触摸板,NULL,笔记本主机 x1Type-C-RJ45转接线 x1,NULL,附带软件,NULL,Micro SD,16:9,耳机/麦克风二合一接口,NULL,支持蓝牙功能,NULL,NULL,内置麦克风,NULL,NULL,NULL,HD高清摄像头,NULL,NULL,15.6英寸,NULL,NULL,视具体使用环境而定,HDMI,NULL,NULL,NULL,不支持触控,NULL,背光键盘,电源接口
LG gram（15Z970-G.AA53C）,Gram （15Z970）系列,http://detail.zol.com.cn/ultrabook/index1170940.shtml,https://2e.zol-img.com.cn/product/182_80x60/68/ce5Qcy9lPG7aY.jpg,7999,正常,4661,Intel 酷睿i5 7200U,英特尔 酷睿i5 7代系列,2.5GHz,3.1GHz,双核心/四线程,3MB,NULL,Kaby Lake,14nm,15W,8GB（8GB×1）,DDR4,NULL,256GB,SSD固态硬盘,936,核芯显卡,Intel GMA HD 620,共享内存容量,无,NULL,纳米碳镁,NULL,NULL,4芯锂电池,NULL,NULL,FHD，LED背光，IPS窄边框,内置无线网卡,内置扬声器,1920x1080,2017年02月,228mm,NULL,NULL,家用,1×USB2.0+2×USB3.0，USB3.0 Type-C接口,357mm,1.09Kg,安全锁孔,NULL,NULL,NULL,100V-240V 自适应交流电源适配器,NULL,环绕立体声音频,无内置光驱,NULL,NULL,100Mbps网卡,NULL,NULL,时尚轻薄本，Ultrabook笔记本,预装Windows 10,NULL,NULL,白色,NULL,NULL,触摸板,NULL,笔记本主机 x1Type-C-RJ45转接线 x1,NULL,附带软件,NULL,Micro SD,16:9,耳机/麦克风二合一接口,NULL,支持蓝牙功能,NULL,NULL,内置麦克风,NULL,NULL,NULL,HD高清摄像头,NULL,NULL,15.6英寸,NULL,NULL,15.2小时，视具体使用环境而定,HDMI,NULL,NULL,NULL,不支持触控,NULL,背光键盘,电源接口
LG gram （15Z970-G.AA52C）,Gram （15Z970）系列,http://detail.zol.com.cn/ultrabook/index1165451.shtml,https://2d.zol-img.com.cn/product/182_80x60/235/ceCQhTae8CvCw.jpg,7999,正常,4661,Intel 酷睿i5 7200U,英特尔 酷睿i5 7代系列,2.5GHz,3.1GHz,双核心/四线程,3MB,NULL,Kaby Lake,14nm,15W,8GB（8GB×1）,DDR4,NULL,256GB,SSD固态硬盘,936,核芯显卡,Intel GMA HD 620,共享内存容量,无,NULL,纳米碳镁,NULL,NULL,4芯锂电池,NULL,NULL,FHD，LED背光，IPS窄边框,内置无线网卡,内置扬声器,1920x1080,2017年02月,228mm,NULL,NULL,家用,1×USB2.0+2×USB3.0，USB3.0 Type-C接口,357mm,1.09Kg,安全锁孔,NULL,NULL,NULL,100V-240V 自适应交流电源适配器,NULL,环绕立体声音频,无内置光驱,NULL,NULL,100Mbps网卡,NULL,NULL,时尚轻薄本，Ultrabook笔记本,预装Windows 10,NULL,NULL,深邃银,NULL,NULL,触摸板,NULL,笔记本主机 x1Type-C-RJ45转接线 x1,NULL,附带软件,NULL,Micro SD,16:9,耳机/麦克风二合一接口,NULL,支持蓝牙功能,NULL,NULL,内置麦克风,NULL,NULL,NULL,HD高清摄像头,NULL,NULL,15.6英寸,NULL,NULL,15.2小时，视具体使用环境而定,HDMI,NULL,NULL,NULL,不支持触控,NULL,背光键盘,电源接口
LG gram （15Z970-G.AA75C）,Gram （15Z970）系列,http://detail.zol.com.cn/ultrabook/index1165453.shtml,https://2b.zol-img.com.cn/product/182_80x60/239/ceWhcgFiBAhr.jpg,9999,正常,5217,Intel 酷睿i7 7500U,英特尔 酷睿i7 7代系列,2.7GHz,3.5GHz,双核心/四线程,4MB,NULL,Kaby Lake,14nm,15W,8GB（8GB×1）,DDR4,NULL,512GB,SSD固态硬盘,936,核芯显卡,Intel GMA HD 620,共享内存容量,无,NULL,纳米碳镁,NULL,NULL,4芯锂电池,NULL,NULL,FHD，LED背光，IPS窄边框,内置无线网卡,内置扬声器,1920x1080,2017年02月,228mm,NULL,NULL,家用,2×USB3.0，USB3.0 Type-C接口,357mm,1.09Kg,安全锁孔,NULL,NULL,NULL,100V-240V 自适应交流电源适配器,NULL,环绕立体声音频,无内置光驱,NULL,NULL,100Mbps网卡,NULL,NULL,时尚轻薄本，Ultrabook笔记本,预装Windows 10,NULL,NULL,深邃银,NULL,NULL,触摸板,NULL,笔记本主机 x1Type-C-RJ45转接线 x1,NULL,附带软件,NULL,Micro SD,16:9,耳机/麦克风二合一接口,NULL,支持蓝牙功能,NULL,NULL,内置麦克风,NULL,NULL,NULL,HD高清摄像头,NULL,NULL,15.6英寸,NULL,NULL,5-8小时，视具体使用环境而定,HDMI,NULL,NULL,NULL,不支持触控,NULL,背光键盘,电源接口
LG gram （15Z970-G.AA76C）,Gram （15Z970）系列,http://detail.zol.com.cn/ultrabook/index1170942.shtml,https://2d.zol-img.com.cn/product/182_80x60/103/ceWMIJqtzdTi6.jpg,9999,正常,5217,Intel 酷睿i7 7500U,英特尔 酷睿i7 7代系列,2.7GHz,3.5GHz,双核心/四线程,4MB,NULL,Kaby Lake,14nm,15W,8GB（8GB×1）,DDR4,NULL,512GB,SSD固态硬盘,936,核芯显卡,Intel GMA HD 620,共享内存容量,无,NULL,纳米碳镁,NULL,NULL,4芯锂电池,NULL,NULL,FHD，LED背光，IPS窄边框,内置无线网卡,内置扬声器,1920x1080,2017年02月,228mm,NULL,NULL,家用,2×USB3.0，USB3.0 Type-C接口,357mm,1.09Kg,安全锁孔,NULL,NULL,NULL,100V-240V 自适应交流电源适配器,NULL,环绕立体声音频,无内置光驱,NULL,NULL,100Mbps网卡,NULL,NULL,时尚轻薄本，Ultrabook笔记本,预装Windows 10,NULL,NULL,白色,NULL,NULL,触摸板,NULL,笔记本主机 x1Type-C-RJ45转接线 x1,NULL,附带软件,NULL,Micro SD,16:9,耳机/麦克风二合一接口,NULL,支持蓝牙功能,NULL,NULL,内置麦克风,NULL,NULL,NULL,HD高清摄像头,NULL,NULL,15.6英寸,NULL,NULL,视具体使用环境而定,HDMI,NULL,NULL,NULL,不支持触控,NULL,背光键盘,电源接口
LG gram（15Z970-G.AA53C）,Gram （15Z970）系列,http://detail.zol.com.cn/ultrabook/index1170940.shtml,https://2e.zol-img.com.cn/product/182_80x60/68/ce5Qcy9lPG7aY.jpg,7999,正常,4661,Intel 酷睿i5 7200U,英特尔 酷睿i5 7代系列,2.5GHz,3.1GHz,双核心/四线程,3MB,NULL,Kaby Lake,14nm,15W,8GB（8GB×1）,DDR4,NULL,256GB,SSD固态硬盘,936,核芯显卡,Intel GMA HD 620,共享内存容量,无,NULL,纳米碳镁,NULL,NULL,4芯锂电池,NULL,NULL,FHD，LED背光，IPS窄边框,内置无线网卡,内置扬声器,1920x1080,2017年02月,228mm,NULL,NULL,家用,1×USB2.0+2×USB3.0，USB3.0 Type-C接口,357mm,1.09Kg,安全锁孔,NULL,NULL,NULL,100V-240V 自适应交流电源适配器,NULL,环绕立体声音频,无内置光驱,NULL,NULL,100Mbps网卡,NULL,NULL,时尚轻薄本，Ultrabook笔记本,预装Windows 10,NULL,NULL,白色,NULL,NULL,触摸板,NULL,笔记本主机 x1Type-C-RJ45转接线 x1,NULL,附带软件,NULL,Micro SD,16:9,耳机/麦克风二合一接口,NULL,支持蓝牙功能,NULL,NULL,内置麦克风,NULL,NULL,NULL,HD高清摄像头,NULL,NULL,15.6英寸,NULL,NULL,15.2小时，视具体使用环境而定,HDMI,NULL,NULL,NULL,不支持触控,NULL,背光键盘,电源接口
LG gram（14Z970-G.AA52C）,Gram（14Z970）系列,http://detail.zol.com.cn/ultrabook/index1165446.shtml,https://2a.zol-img.com.cn/product/182_80x60/196/cemHj0MUsdVL.jpg,7499,正常,4661,Intel 酷睿i5 7200U,英特尔 酷睿i5 7代系列,2.5GHz,3.1GHz,双核心/四线程,3MB,NULL,Kaby Lake,14nm,15W,8GB（8GB×1）,DDR4,NULL,256GB,SSD固态硬盘,936,核芯显卡,Intel GMA HD 620,共享内存容量,无,NULL,镁铝合金,NULL,NULL,4芯锂电池,NULL,NULL,FHD，LED背光，IPS窄边框,内置无线网卡,内置扬声器,1920x1080,2017年02月,212mm,NULL,NULL,家用,2×USB3.0，USB3.0 Type-C接口,323mm,970g,安全锁孔,NULL,NULL,NULL,100V-240V 自适应交流电源适配器,NULL,环绕立体声音频,无内置光驱,NULL,NULL,100Mbps网卡,NULL,NULL,时尚轻薄本，Ultrabook笔记本,预装Windows 10,NULL,NULL,深邃银,NULL,NULL,触摸板,NULL,NULL,NULL,附带软件,NULL,Micro SD,16:9,耳机/麦克风二合一接口,NULL,支持蓝牙功能,NULL,NULL,内置麦克风,NULL,NULL,NULL,HD高清摄像头,NULL,NULL,14英寸,NULL,NULL,5-8小时，视具体使用环境而定,HDMI,NULL,NULL,NULL,不支持触控,NULL,背光键盘,RJ45（网络接口），电源接口
LG gram （14Z970-G.AA75C）,Gram（14Z970）系列,http://detail.zol.com.cn/ultrabook/index1165449.shtml,https://2f.zol-img.com.cn/product/182_80x60/207/ce79PGKxWEMBA.jpg,9499,正常,5217,Intel 酷睿i7 7500U,英特尔 酷睿i7 7代系列,2.7GHz,3.5GHz,双核心/四线程,4MB,NULL,Kaby Lake,14nm,15W,8GB（8GB×1）,DDR4,NULL,512GB,SSD固态硬盘,936,核芯显卡,Intel GMA HD 620,共享内存容量,无,NULL,纳米碳镁,NULL,NULL,4芯锂电池,NULL,NULL,FHD，LED背光，IPS窄边框,内置无线网卡,内置扬声器,1920x1080,2017年02月,212mm,NULL,NULL,家用,2×USB3.0，USB3.0 Type-C接口,323mm,970g,安全锁孔,NULL,NULL,NULL,100V-240V 自适应交流电源适配器,NULL,环绕立体声音频,无内置光驱,NULL,NULL,100Mbps网卡,NULL,NULL,时尚轻薄本，Ultrabook笔记本,预装Windows 10,NULL,NULL,深邃银,NULL,NULL,触摸板,NULL,笔记本主机 x1Type-C -RJ45转接线 x1,NULL,附带软件,NULL,Micro SD,16:9,耳机/麦克风二合一接口,NULL,支持蓝牙功能,NULL,NULL,内置麦克风,NULL,NULL,NULL,HD高清摄像头,NULL,NULL,14英寸,NULL,NULL,16.9小时，视具体使用环境而定,HDMI,NULL,NULL,NULL,不支持触控,NULL,背光键盘,电源接口
