型号,系列,网址,图片,价格,状态,CPU跑分,CPU型号,CPU系列,CPU主频,最高睿频,核心/线程数,三级缓存,总线规格,核心架构,制程工艺,功耗,内存容量,内存类型,插槽数量,硬盘容量,硬盘描述,显卡跑分,显卡类型,显卡芯片,显存容量,显存类型,显存位宽,外壳材质,可选配件,网络通信,电池类型,基本参数,厚度,屏幕技术,无线网卡,扬声器,屏幕分辨率,上市时间,宽度,工作温度,其它特点,产品类型,数据接口,长度,笔记本重量,安全性能,客服电话,电话备注,人脸识别,电源适配器,质保备注,音频系统,光驱类型,笔记本附件,存储温度,有线网卡,主板芯片组,显卡,产品定位,操作系统,电源描述,质保时间,外壳描述,处理器,输入设备,指取设备,保修政策,包装清单,外观,附带软件,保修信息,读卡器,显示比例,音频接口,工作湿度,蓝牙,指纹识别,环境要求,麦克风,变形方式,其他,扩展插槽,摄像头,存储设备,详细内容,屏幕尺寸,商用技术,最大内存容量,续航时间,视频接口,特色功能,显示屏,多媒体设备,触控屏,I/O接口,键盘描述,其它接口
VAIO VJS132C0711B,S13系列,http://detail.zol.com.cn/notebook/index1206799.shtml,https://2b.zol-img.com.cn/product/189_80x60/771/ceTi8RZ03d82A.jpg,9688,正常,7626,Intel 酷睿i5 8250U,英特尔 酷睿i5 8代系列,1.6GHz,3.4GHz,四核心/八线程,6MB,OPI 4 GT/s,Kaby Lake R,14nm,15W,8GB（8GB×1）,DDR3L（低电压版）2133MHz,NULL,256GB,PCIe SSD,1068,核心显卡,Intel GMA UHD 620,共享内存容量,无,NULL,镁铝合金,NULL,NULL,4芯锂电池,NULL,13.2-17.9mm,FHD，LED背光,内置无线网卡,内置扬声器,1920x1080,2018年01月,216.5mm,NULL,NULL,家用,3×USB3.0,322mm,1.06Kg,NULL,NULL,NULL,NULL,100V-240V 自适应交流电源适配器,NULL,内置音效芯片,无内置光驱,NULL,NULL,1000Mbps以太网卡,NULL,NULL,时尚轻薄本，二合一笔记本，Ultrabook笔记本,预装Windows 10 Professional 64bit（64位专业版）,NULL,NULL,黑色,NULL,NULL,触摸板,NULL,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,NULL,NULL,多合1读卡器（SD，SDXC，SDHC）,16:9,耳机/麦克风二合一接口,NULL,支持，蓝牙4.1模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,网络摄像头,NULL,NULL,13英寸,NULL,NULL,视具体使用环境而定,VGA，HDMI,NULL,NULL,NULL,不支持触控,NULL,巧克力键盘，悬浮键盘，背光键盘,RJ45（网络接口），电源接口
VAIO VJS132C0811S,S13系列,http://detail.zol.com.cn/notebook/index1206800.shtml,https://2a.zol-img.com.cn/product/189_80x60/776/ceebpVKHZLDSg.jpg,9688,正常,7626,Intel 酷睿i5 8250U,英特尔 酷睿i5 8代系列,1.6GHz,3.4GHz,四核心/八线程,6MB,OPI 4 GT/s,Kaby Lake R,14nm,15W,8GB（8GB×1）,DDR3L（低电压版）2133MHz,NULL,256GB,PCIe SSD,1068,核心显卡,Intel GMA UHD 620,共享内存容量,无,NULL,镁铝合金,NULL,NULL,4芯锂电池,NULL,13.2-17.9mm,FHD，LED背光,内置无线网卡,内置扬声器,1920x1080,2018年01月,216.5mm,NULL,NULL,家用,3×USB3.0,322mm,1.06Kg,NULL,NULL,NULL,NULL,100V-240V 自适应交流电源适配器,NULL,内置音效芯片,无内置光驱,NULL,NULL,1000Mbps以太网卡,NULL,NULL,时尚轻薄本，二合一笔记本，Ultrabook笔记本,预装Windows 10 Professional 64bit（64位专业版）,NULL,NULL,银色,NULL,NULL,触摸板,NULL,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,NULL,NULL,多合1读卡器（SD，SDXC，SDHC）,16:9,耳机/麦克风二合一接口,NULL,支持，蓝牙4.1模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,网络摄像头,NULL,NULL,13英寸,NULL,NULL,视具体使用环境而定,VGA，HDMI,NULL,NULL,NULL,不支持触控,NULL,巧克力键盘，悬浮键盘，背光键盘,RJ45（网络接口），电源接口
VAIO VJS132C0511B,S13系列,http://detail.zol.com.cn/notebook/index1206801.shtml,https://2d.zol-img.com.cn/product/189_80x60/779/ce9Er6kiVfFg.jpg,1.3万,正常,8108,Intel 酷睿i7 8550U,英特尔 酷睿i7 8代系列,1.8GHz,4GHz,四核心/八线程,8MB,OPI 4 GT/s,Kaby Lake R,14nm,15W,8GB（8GB×1）,DDR3L（低电压版）2133MHz,NULL,512GB,PCIe SSD,1068,核心显卡,Intel GMA UHD 620,共享内存容量,无,NULL,镁铝合金,NULL,NULL,4芯锂电池,NULL,13.2-17.9mm,FHD，LED背光,内置无线网卡,内置扬声器,1920x1080,2018年01月,216.5mm,NULL,NULL,家用,3×USB3.0,322mm,1.06Kg,NULL,NULL,NULL,NULL,100V-240V 自适应交流电源适配器,NULL,内置音效芯片,无内置光驱,NULL,NULL,1000Mbps以太网卡,NULL,NULL,时尚轻薄本，二合一笔记本，Ultrabook笔记本,预装Windows 10 Professional 64bit（64位专业版）,NULL,NULL,黑色,NULL,NULL,触摸板,NULL,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,NULL,NULL,多合1读卡器（SD，SDXC，SDHC）,16:9,耳机/麦克风二合一接口,NULL,支持，蓝牙4.1模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,网络摄像头,NULL,NULL,13英寸,NULL,NULL,视具体使用环境而定,VGA，HDMI,NULL,NULL,NULL,不支持触控,NULL,巧克力键盘，悬浮键盘，背光键盘,RJ45（网络接口），电源接口
VAIO VJS132C0611S,S13系列,http://detail.zol.com.cn/notebook/index1206803.shtml,https://2a.zol-img.com.cn/product/189_80x60/782/ceu2kpbtHxHvg.jpg,1.3万,正常,8108,Intel 酷睿i7 8550U,英特尔 酷睿i7 8代系列,1.8GHz,4GHz,四核心/八线程,8MB,OPI 4 GT/s,Kaby Lake R,14nm,15W,8GB（8GB×1）,DDR3L（低电压版）2133MHz,NULL,512GB,PCIe SSD,1068,核心显卡,Intel GMA UHD 620,共享内存容量,无,NULL,镁铝合金,NULL,NULL,4芯锂电池,NULL,13.2-17.9mm,FHD，LED背光,内置无线网卡,内置扬声器,1920x1080,2018年01月,216.5mm,NULL,NULL,家用,3×USB3.0,322mm,1.06Kg,NULL,NULL,NULL,NULL,100V-240V 自适应交流电源适配器,NULL,内置音效芯片,无内置光驱,NULL,NULL,1000Mbps以太网卡,NULL,NULL,时尚轻薄本，二合一笔记本，Ultrabook笔记本,预装Windows 10 Professional 64bit（64位专业版）,NULL,NULL,银色,NULL,NULL,触摸板,NULL,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,NULL,NULL,多合1读卡器（SD，SDXC，SDHC）,16:9,耳机/麦克风二合一接口,NULL,支持，蓝牙4.1模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,网络摄像头,NULL,NULL,13英寸,NULL,NULL,视具体使用环境而定,VGA，HDMI,NULL,NULL,NULL,不支持触控,NULL,巧克力键盘，悬浮键盘，背光键盘,RJ45（网络接口），电源接口
VAIO VJS132C0411B,S13系列,http://detail.zol.com.cn/notebook/index1206804.shtml,https://2e.zol-img.com.cn/product/189_80x60/786/celv2F11HUjLQ.jpg,1.8万,正常,8108,Intel 酷睿i7 8550U,英特尔 酷睿i7 8代系列,1.8GHz,4GHz,四核心/八线程,8MB,OPI 4 GT/s,Kaby Lake R,14nm,15W,16GB,DDR3L（低电压版）2133MHz,NULL,1TB,PCIe SSD,1068,核心显卡,Intel GMA UHD 620,共享内存容量,无,NULL,镁铝合金,NULL,NULL,4芯锂电池,NULL,13.2-17.9mm,FHD，LED背光,内置无线网卡,内置扬声器,1920x1080,2018年01月,216.5mm,NULL,NULL,家用,3×USB3.0,322mm,1.06Kg,NULL,NULL,NULL,NULL,100V-240V 自适应交流电源适配器,NULL,内置音效芯片,无内置光驱,NULL,NULL,1000Mbps以太网卡,NULL,NULL,时尚轻薄本，二合一笔记本，Ultrabook笔记本,预装Windows 10 Professional 64bit（64位专业版）,NULL,NULL,黑色,NULL,NULL,触摸板,NULL,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,NULL,NULL,多合1读卡器（SD，SDXC，SDHC）,16:9,耳机/麦克风二合一接口,NULL,支持，蓝牙4.1模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,网络摄像头,NULL,NULL,13英寸,NULL,NULL,视具体使用环境而定,VGA，HDMI,NULL,NULL,NULL,不支持触控,NULL,巧克力键盘，悬浮键盘，背光键盘,RJ45（网络接口），电源接口
VAIO VJS131C0211S,S13系列,http://detail.zol.com.cn/notebook/index1179579.shtml,https://2a.zol-img.com.cn/product/185_80x60/362/cevNushLNjBc.jpg,1.04万,正常,4432,Intel 酷睿i7 6500U,英特尔 酷睿i7 6代系列,2.5GHz,3.1GHz,双核心/四线程,4MB,NULL,Skylake,14nm,15W,8GB（8GB×1）,NULL,NULL,256GB,PCIe SSD,835,核心显卡,Intel GMA HD 520,共享内存容量,无,NULL,镁铝合金,NULL,NULL,4芯锂电池,NULL,13.2-17.9mm,FHD，LED背光,内置无线网卡,内置扬声器,1920x1080,2017年08月,216.5mm,NULL,NULL,家用,3×USB3.0,322mm,1.06Kg,NULL,NULL,NULL,NULL,100V-240V 自适应交流电源适配器,NULL,内置音效芯片,无内置光驱,NULL,NULL,1000Mbps以太网卡,NULL,NULL,时尚轻薄本，二合一笔记本，Ultrabook笔记本,预装Windows 10 Professional 64bit（64位专业版）,NULL,NULL,银色,NULL,NULL,触摸板,NULL,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,NULL,NULL,多合1读卡器,16:9,耳机/麦克风二合一接口,NULL,支持，蓝牙4.1模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,网络摄像头,NULL,NULL,13英寸,NULL,NULL,视具体使用环境而定,VGA，HDMI,NULL,NULL,NULL,不支持触控,NULL,巧克力键盘，悬浮键盘，背光键盘,RJ45（网络接口），电源接口
VAIO VJS131C0411B,S13系列,http://detail.zol.com.cn/notebook/index1179581.shtml,https://2f.zol-img.com.cn/product/185_80x60/409/ceXtuYBFPC46.jpg,6999,正常,4009,Intel 酷睿i5 6200U,英特尔 酷睿i5 6代系列,2.3GHz,2.8GHz,双核心/四线程,3MB,NULL,Skylake,14nm,15W,8GB（8GB×1）,NULL,NULL,256GB,PCIe SSD,835,核心显卡,Intel GMA HD 520,共享内存容量,无,NULL,镁铝合金,NULL,NULL,4芯锂电池,NULL,13.2-17.9mm,FHD，LED背光,内置无线网卡,内置扬声器,1920x1080,2017年08月,216.5mm,NULL,NULL,家用,3×USB3.0,322mm,1.06Kg,NULL,NULL,NULL,NULL,100V-240V 自适应交流电源适配器,NULL,内置音效芯片,无内置光驱,NULL,NULL,1000Mbps以太网卡,NULL,NULL,时尚轻薄本，二合一笔记本，Ultrabook笔记本,预装Windows 10 Professional 64bit（64位专业版）,NULL,NULL,黑色,NULL,NULL,触摸板,NULL,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,NULL,NULL,多合1读卡器,16:9,耳机/麦克风二合一接口,NULL,支持，蓝牙4.1模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,网络摄像头,NULL,NULL,13英寸,NULL,NULL,视具体使用环境而定,VGA，HDMI,NULL,NULL,NULL,不支持触控,NULL,巧克力键盘，悬浮键盘，背光键盘,RJ45（网络接口），电源接口
VAIO VJS131C0111B,S13系列,http://detail.zol.com.cn/notebook/index1179580.shtml,https://2e.zol-img.com.cn/product/185_80x60/390/cerxrs61fkPng.jpg,1.04万,正常,4432,Intel 酷睿i7 6500U,英特尔 酷睿i7 6代系列,2.5GHz,3.1GHz,双核心/四线程,4MB,NULL,Skylake,14nm,15W,8GB（8GB×1）,NULL,NULL,256GB,PCIe SSD,835,核心显卡,Intel GMA HD 520,共享内存容量,无,NULL,镁铝合金,NULL,NULL,4芯锂电池,NULL,13.2-17.9mm,FHD，LED背光,内置无线网卡,内置扬声器,1920x1080,2017年08月,216.5mm,NULL,NULL,家用,3×USB3.0,322mm,1.06Kg,NULL,NULL,NULL,NULL,100V-240V 自适应交流电源适配器,NULL,内置音效芯片,无内置光驱,NULL,NULL,1000Mbps以太网卡,NULL,NULL,时尚轻薄本，二合一笔记本，Ultrabook笔记本,预装Windows 10 Professional 64bit（64位专业版）,NULL,NULL,黑色,NULL,NULL,触摸板,NULL,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,NULL,NULL,多合1读卡器,16:9,耳机/麦克风二合一接口,NULL,支持，蓝牙4.1模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,网络摄像头,NULL,NULL,13英寸,NULL,NULL,视具体使用环境而定,VGA，HDMI,NULL,NULL,NULL,不支持触控,NULL,巧克力键盘，悬浮键盘，背光键盘,RJ45（网络接口），电源接口
VAIO VJS112C1111W,S11系列,http://detail.zol.com.cn/notebook/index1206750.shtml,https://2b.zol-img.com.cn/product/189_80x60/229/ce5e6bLxItkV.jpg,9988,正常,7626,Intel 酷睿i5 8250U,英特尔 酷睿i5 8代系列,1.6GHz,3.4GHz,四核心/八线程,6MB,OPI 4 GT/s,Kaby Lake R,14nm,15W,8GB（8GB×1）,DDR3L（低电压版）2133MHz,NULL,256GB,PCIe SSD,1068,核心显卡,Intel GMA UHD 620,共享内存容量,无,NULL,镁铝合金,NULL,NULL,4芯锂电池,NULL,15-17.9mm,FHD，LED背光,内置无线网卡,内置扬声器,1920x1080,2018年01月,195.5mm,NULL,NULL,家用,3×USB3.0,283.4mm,845g,NULL,NULL,NULL,NULL,100V-240V 自适应交流电源适配器,NULL,内置音效芯片,无内置光驱,NULL,NULL,1000Mbps以太网卡,NULL,NULL,时尚轻薄本,预装Windows 10,NULL,NULL,珍珠白,NULL,NULL,触摸板,NULL,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,office 2016,NULL,多合1读卡器,16:9,耳机/麦克风二合一接口,NULL,支持，蓝牙4.1模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,网络摄像头,NULL,NULL,11.6英寸,NULL,NULL,视具体使用环境而定,VGA，HDMI,NULL,NULL,NULL,不支持触控,NULL,巧克力键盘，悬浮键盘，背光键盘,RJ45（网络接口），电源接口
VAIO VJS112C0911W,S11系列,http://detail.zol.com.cn/notebook/index1206751.shtml,https://2f.zol-img.com.cn/product/189_80x60/233/ceV687ccXybUo.jpg,1.17万,正常,7626,Intel 酷睿i5 8250U,英特尔 酷睿i5 8代系列,1.6GHz,3.4GHz,四核心/八线程,6MB,OPI 4 GT/s,Kaby Lake R,14nm,15W,8GB（8GB×1）,DDR3L（低电压版）2133MHz,NULL,512GB,PCIe SSD,1068,核心显卡,Intel GMA UHD 620,共享内存容量,无,NULL,镁铝合金,NULL,NULL,4芯锂电池,NULL,15-17.9mm,FHD，LED背光,内置无线网卡,内置扬声器,1920x1080,2018年01月,195.5mm,NULL,NULL,家用,3×USB3.0,283.4mm,845g,NULL,NULL,NULL,NULL,100V-240V 自适应交流电源适配器,NULL,内置音效芯片,无内置光驱,NULL,NULL,1000Mbps以太网卡,NULL,NULL,时尚轻薄本,预装Windows 10,NULL,NULL,珍珠白,NULL,NULL,触摸板,NULL,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,office 2016,NULL,多合1读卡器,16:9,耳机/麦克风二合一接口,NULL,支持，蓝牙4.1模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,网络摄像头,NULL,NULL,11.6英寸,NULL,NULL,视具体使用环境而定,VGA，HDMI,NULL,NULL,NULL,不支持触控,NULL,巧克力键盘，悬浮键盘，背光键盘,RJ45（网络接口），电源接口
