型号,系列,网址,图片,价格,状态,CPU跑分,CPU型号,CPU系列,CPU主频,最高睿频,核心/线程数,三级缓存,总线规格,核心架构,制程工艺,功耗,内存容量,内存类型,插槽数量,硬盘容量,硬盘描述,显卡跑分,显卡类型,显卡芯片,显存容量,显存类型,显存位宽,外壳材质,可选配件,网络通信,电池类型,基本参数,厚度,屏幕技术,无线网卡,扬声器,屏幕分辨率,上市时间,宽度,工作温度,其它特点,产品类型,数据接口,长度,笔记本重量,安全性能,客服电话,电话备注,人脸识别,电源适配器,质保备注,音频系统,光驱类型,笔记本附件,存储温度,有线网卡,主板芯片组,显卡,产品定位,操作系统,电源描述,质保时间,外壳描述,处理器,输入设备,指取设备,保修政策,包装清单,外观,附带软件,保修信息,读卡器,显示比例,音频接口,工作湿度,蓝牙,指纹识别,环境要求,麦克风,变形方式,其他,扩展插槽,摄像头,存储设备,详细内容,屏幕尺寸,商用技术,最大内存容量,续航时间,视频接口,特色功能,显示屏,多媒体设备,触控屏,I/O接口,键盘描述,其它接口
小米笔记本Air（13.3英寸四核增强版/i7/8GB/256GB）,笔记本Air（13.3英寸）系列,http://detail.zol.com.cn/notebook/index1206855.shtml,https://2b.zol-img.com.cn/product/189_80x60/567/cexVH0uMKNwlY.jpg,即将上市,正常,8108,Intel 酷睿i7 8550U,英特尔 酷睿i7 8代系列,1.8GHz,4GHz,四核心/八线程,8MB,OPI 4 GT/s,Kaby Lake R,14nm,15W,8GB,DDR4 2400MHz,NULL,256GB,PCIe SSD，支持硬盘扩容,1995,性能级独立显卡,NVIDIA GeForce MX150,2GB,GDDR5,64bit,镁铝合金,NULL,NULL,4芯锂电池,NULL,14.8mm,FHD全高清屏，170°广视角，300-nits，800：1对比度，广视角硬屏，全贴合技术，低反射率，窄边框,Intel 2X2 双天线双收 Wi-Fi，支持802.11a/b/g/n/ac无线协议，支持双频（2.4GHz+5GHz）,AKG定制级双扬声器,1920x1080,2018年01月,210.9mm,NULL,10秒开机，2秒唤醒，支持小米同步,家用,2×USB3.0，USB Type-C接口,309.6mm,1.3Kg,NULL,400-100-5678,周一至周日：8:00-18:00,NULL,100V-240V 自适应交流电源适配器,整机1年，主要部件2年,杜比环绕音效,无内置光驱,NULL,NULL,NULL,NULL,NULL,时尚轻薄本，校园学生本，商务办公本,预装Windows 10 Home（家庭中文版）,NULL,1年,深空灰,NULL,NULL,玻璃触控板,全国联保，享受三包服务,笔记本电脑 x1电源适配器 x1入门指南（三包凭证） x1,NULL,附带软件,NULL,NULL,16:9,3.5mm耳机麦克风接口,NULL,支持，蓝牙4.1模块,支持智能指纹识别功能,NULL,数字阵列麦克风,NULL,NULL,NULL,集成100万像素摄像头,NULL,小米笔记本售后政策严格执行国家三包法，遵守行业准则，并充分尊重消费者权益，为消费者提供全方位服务保障和郑重承若，对国家规定或者与消费者约定保修、保换、保退的商品，小米承诺负责修理、更换、或者退货，授权服务中心需参照本政策开展工作。进入官网>>,13.3英寸,NULL,NULL,在线视频播放8小时，本地视频播放7.5小时，网页浏览 7.5小时,HDMI,NULL,NULL,NULL,不支持触控,NULL,背光键盘，全尺寸键盘,NULL
小米笔记本Air（13.3英寸尊享版）,笔记本Air（13.3英寸）系列,http://detail.zol.com.cn/notebook/index1165915.shtml,https://2e.zol-img.com.cn/product/180_80x60/22/ceHHvCk2iowDs.jpg,5799,正常,4432,Intel 酷睿i7 6500U,英特尔 酷睿i7 6代系列,2.5GHz,3GHz,双核心/四线程,4MB,NULL,Skylake,14nm,15W,8GB,DDR4 2133MHz,NULL,256GB,SSD固态硬盘，支持硬盘扩展,1268,性能级独立显卡,NVIDIA GeForce 940MX,1GB,GDDR5,64bit,硼砂阳极工艺,NULL,NULL,聚合物电池,NULL,14.8mm,FHD全高清屏，170°广视角，300-nits，800：1对比度，72%色域，广视角硬屏，全贴合技术，低反射率,Intel 2X2 双天线双收 Wi-Fi，支持802.11a/b/g/n/ac无线协议，支持双频（2.4GHz+5GHz）,AKG定制级双扬声器,1920x1080,2017年02月,210.9mm,NULL,支持与小米手环连接免密解锁，绑定小米手环后，靠近笔记本就能解锁登录内置小米同步，可以实时同步管理手机里的联系人/短信/照片/便签等数据,家用,2×USB3.0，USB Type-C接口,309.6mm,1.28Kg,NULL,400-100-5678,周一至周日：8:00-18:00,NULL,100V-240V 自适应交流电源适配器,整机1年，主要部件2年,杜比环绕音效,无内置光驱,NULL,NULL,NULL,NULL,NULL,时尚轻薄本，校园学生本，商务办公本,预装Windows 10 Home（家庭中文版）,NULL,1年,银色，金色,NULL,NULL,一体化多点触控触摸板,全国联保，享受三包服务,笔记本电脑 x1电源适配器 x1入门指南（三包凭证） x1,NULL,附带软件,NULL,NULL,16:9,耳机输出接口,NULL,支持，蓝牙4.1模块,NULL,NULL,阵列式麦克风,NULL,NULL,NULL,集成摄像头,NULL,小米笔记本售后政策严格执行国家三包法，遵守行业准则，并充分尊重消费者权益，为消费者提供全方位服务保障和郑重承若，对国家规定或者与消费者约定保修、保换、保退的商品，小米承诺负责修理、更换、或者退货，授权服务中心需参照本政策开展工作。进入官网>>,13.3英寸,NULL,NULL,9.5小时左右，视具体使用环境而定,HDMI,NULL,NULL,NULL,不支持触控,NULL,背光键盘，全尺寸键盘,NULL
小米笔记本Air 4G版（13.3英寸）,笔记本Air（13.3英寸）系列,http://detail.zol.com.cn/notebook/index1162931.shtml,https://2a.zol-img.com.cn/product/179_80x60/860/cesWh7S7gCEsY.jpg,6999,正常,4432,Intel 酷睿i7 6500U,英特尔 酷睿i7 6代系列,2.5GHz,3.1GHz,双核心/四线程,4MB,OPI 4GT/s,Skylake,14nm,15W,8GB,DDR4 2133MHz,NULL,256GB,SSD固态硬盘，支持硬盘扩展,1268,性能级独立显卡,NVIDIA GeForce 940MX,1GB,GDDR5,64bit,硼砂阳极工艺,NULL,NULL,聚合物电池,NULL,14.8mm,FHD全高清屏，170°广视角，300nit亮度，800：1对比度，72%色域，广视角硬屏，全贴合技术，低反射率,支持802.11ac无线协议,AKG定制级双扬声器,NULL,2016年12月,210.9mm,NULL,支持与小米手环连接免密解锁，绑定小米手环后，靠近笔记本就能解锁登录内置小米同步，可以实时同步管理手机里的联系人/短信/照片/便签等数据,家用,2×USB3.0，1×USB-C接口,309.6mm,1.28Kg,NULL,400-100-5678,周一至周日：8:00-18:00,NULL,100V-240V 自适应交流电源适配器,整机1年，主要部件2年,杜比环绕音效,无内置光驱,NULL,NULL,NULL,NULL,NULL,时尚轻薄本，校园学生本，商务办公本,预装Windows 10 Home（家庭中文版）,NULL,1年,银色，金色,NULL,NULL,一体化多点触控触摸板,全国联保，享受三包服务,笔记本电脑 x1电源适配器 x1入门指南（三包凭证） x1,NULL,附带软件,NULL,NULL,16:9,耳机输出接口,NULL,支持，蓝牙4.1模块,NULL,NULL,阵列式麦克风,NULL,NULL,NULL,集成摄像头,NULL,小米笔记本售后政策严格执行国家三包法，遵守行业准则，并充分尊重消费者权益，为消费者提供全方位服务保障和郑重承若，对国家规定或者与消费者约定保修、保换、保退的商品，小米承诺负责修理、更换、或者退货，授权服务中心需参照本政策开展工作。进入官网>>,13.3英寸,NULL,NULL,9.5小时左右，视具体使用环境而定,HDMI,NULL,NULL,NULL,不支持触控,NULL,背光键盘，全尺寸键盘,NULL
小米笔记本Air（13.3英寸指纹版/i5 7200U/256GB）,笔记本Air（13.3英寸）系列,http://detail.zol.com.cn/notebook/index1173286.shtml,https://2e.zol-img.com.cn/product/183_80x60/872/ceraCeHgcHKTQ.jpg,4999,正常,4661,Intel 酷睿i5 7200U,英特尔 酷睿i5 7代系列,2.5GHz,3.1GHz,双核心/四线程,3MB,OPI 4 GT/s,Kaby Lake,14nm,15W,8GB,DDR4 2133MHz,NULL,256GB,SSD固态硬盘，支持硬盘扩展,1995,性能级独立显卡,NVIDIA GeForce MX150,2GB,GDDR5,64bit,镁铝合金,NULL,NULL,4芯锂电池,NULL,14.8mm,FHD全高清屏，170°广视角，300-nits，800：1对比度，广视角硬屏，全贴合技术，低反射率，窄边框,Intel 2X2 双天线双收 Wi-Fi，支持802.11a/b/g/n/ac无线协议，支持双频（2.4GHz+5GHz）,AKG定制级双扬声器,1920x1080,2017年06月,210.9mm,NULL,10秒开机，2秒唤醒，支持小米同步,家用,2×USB3.0，USB Type-C接口,309.6mm,1.3Kg,NULL,400-100-5678,周一至周日：8:00-18:00,NULL,100V-240V 自适应交流电源适配器,整机1年，主要部件2年,杜比环绕音效,无内置光驱,NULL,NULL,NULL,NULL,NULL,时尚轻薄本，校园学生本，商务办公本,预装Windows 10 Home（家庭中文版）,NULL,1年,银色,NULL,NULL,玻璃触控板,全国联保，享受三包服务,笔记本电脑 x1电源适配器 x1入门指南（三包凭证） x1,NULL,附带软件,NULL,NULL,16:9,3.5mm耳机麦克风接口,NULL,支持，蓝牙4.1模块,支持智能指纹识别功能,NULL,阵列式麦克风,NULL,NULL,NULL,集成100万像素摄像头,NULL,小米笔记本售后政策严格执行国家三包法，遵守行业准则，并充分尊重消费者权益，为消费者提供全方位服务保障和郑重承若，对国家规定或者与消费者约定保修、保换、保退的商品，小米承诺负责修理、更换、或者退货，授权服务中心需参照本政策开展工作。进入官网>>,13.3英寸,NULL,NULL,在线视频播放8小时，本地视频播放7.5小时，网页浏览 7.5小时,HDMI,NULL,NULL,NULL,不支持触控,NULL,背光键盘，全尺寸键盘,NULL
小米笔记本Air（13.3英寸/8GB/256GB/集显）,笔记本Air（13.3英寸）系列,http://detail.zol.com.cn/notebook/index1185150.shtml,https://2d.zol-img.com.cn/product/187_80x60/529/ceHYaubV1jA8s.jpg,4599,正常,4661,Intel 酷睿i5 7200U,英特尔 酷睿i5 7代系列,2.5GHz,3.1GHz,双核心/四线程,3MB,OPI 4 GT/s,Kaby Lake,14nm,15W,8GB,DDR4 2133MHz,NULL,256GB,SSD固态硬盘，支持硬盘扩展,936,核心显卡,Intel GMA HD 620,共享内存容量,无,NULL,镁铝合金,NULL,NULL,4芯锂电池,NULL,14.8mm,FHD全高清屏，170°广视角，300-nits，800：1对比度，广视角硬屏，全贴合技术，低反射率，窄边框,Intel 2X2 双天线双收 Wi-Fi，支持802.11a/b/g/n/ac无线协议，支持双频（2.4GHz+5GHz）,AKG定制级双扬声器,1920x1080,2017年10月,210.9mm,NULL,10秒开机，2秒唤醒，支持小米同步,家用,2×USB3.0，USB Type-C接口,309.6mm,1.3Kg,NULL,400-100-5678,周一至周日：8:00-18:00,NULL,100V-240V 自适应交流电源适配器,整机1年，主要部件2年,杜比环绕音效,无内置光驱,NULL,NULL,NULL,NULL,NULL,时尚轻薄本，校园学生本，商务办公本,预装Windows 10 Home（家庭中文版）,NULL,1年,银色,NULL,NULL,玻璃触控板,全国联保，享受三包服务,笔记本电脑 x1电源适配器 x1入门指南（三包凭证） x1,NULL,附带软件,NULL,NULL,16:9,3.5mm耳机麦克风接口,NULL,支持，蓝牙4.1模块,支持智能指纹识别功能,NULL,阵列式麦克风,NULL,NULL,NULL,集成100万像素摄像头,NULL,小米笔记本售后政策严格执行国家三包法，遵守行业准则，并充分尊重消费者权益，为消费者提供全方位服务保障和郑重承若，对国家规定或者与消费者约定保修、保换、保退的商品，小米承诺负责修理、更换、或者退货，授权服务中心需参照本政策开展工作。进入官网>>,13.3英寸,NULL,NULL,在线视频播放8小时，本地视频播放7.5小时，网页浏览 7.5小时,HDMI,NULL,NULL,NULL,不支持触控,NULL,背光键盘，全尺寸键盘,NULL
小米笔记本Air（13.3英寸指纹版/i7 7500U/256GB）,笔记本Air（13.3英寸）系列,http://detail.zol.com.cn/notebook/index1178323.shtml,https://2b.zol-img.com.cn/product/185_80x60/557/cevyLDzVWq7s.jpg,5599,正常,5217,Intel 酷睿i7 7500U,英特尔 酷睿i7 7代系列,2.7GHz,3.5GHz,双核心/四线程,4MB,OPI 4 GT/s,Kaby Lake,14nm,15W,8GB,DDR4 2133MHz,NULL,256GB,SSD固态硬盘，支持硬盘扩展,1995,性能级独立显卡,NVIDIA GeForce MX150,2GB,GDDR5,64bit,镁铝合金,NULL,NULL,4芯锂电池,NULL,14.8mm,FHD全高清屏，170°广视角，300-nits，800：1对比度，广视角硬屏，全贴合技术，低反射率，窄边框,Intel 2X2 双天线双收 Wi-Fi，支持802.11a/b/g/n/ac无线协议，支持双频（2.4GHz+5GHz）,AKG定制级双扬声器,1920x1080,2017年06月,210.9mm,NULL,10秒开机，2秒唤醒，支持小米同步,家用,2×USB3.0，USB Type-C接口,309.6mm,1.3Kg,NULL,400-100-5678,周一至周日：8:00-18:00,NULL,100V-240V 自适应交流电源适配器,整机1年，主要部件2年,杜比环绕音效,无内置光驱,NULL,NULL,NULL,NULL,NULL,时尚轻薄本，校园学生本，商务办公本,预装Windows 10 Home（家庭中文版）,NULL,1年,银色,NULL,NULL,玻璃触控板,全国联保，享受三包服务,笔记本电脑 x1电源适配器 x1入门指南（三包凭证） x1,NULL,附带软件,NULL,NULL,16:9,3.5mm耳机麦克风接口,NULL,支持，蓝牙4.1模块,支持智能指纹识别功能,NULL,阵列式麦克风,NULL,NULL,NULL,集成100万像素摄像头,NULL,小米笔记本售后政策严格执行国家三包法，遵守行业准则，并充分尊重消费者权益，为消费者提供全方位服务保障和郑重承若，对国家规定或者与消费者约定保修、保换、保退的商品，小米承诺负责修理、更换、或者退货，授权服务中心需参照本政策开展工作。进入官网>>,13.3英寸,NULL,NULL,在线视频播放8小时，本地视频播放7.5小时，网页浏览 7.5小时,HDMI,NULL,NULL,NULL,不支持触控,NULL,背光键盘，全尺寸键盘,NULL
小米笔记本Air（13.3英寸）,笔记本Air（13.3英寸）系列,http://detail.zol.com.cn/notebook/index353877.shtml,https://2a.zol-img.com.cn/product/174_80x60/512/ceKv7pbVhdboY.jpg,4899,正常,4009,Intel 酷睿i5 6200U,英特尔 酷睿i5 6代系列,2.3GHz,2.8GHz,双核心/四线程,3MB,DMI 5 GT/s,Skylake,14nm,15W,8GB,DDR4 2133MHz,NULL,256GB,SSD固态硬盘，支持硬盘扩展,1268,性能级独立显卡,NVIDIA GeForce 940MX,1GB,GDDR5,64bit,硼砂阳极工艺,NULL,NULL,聚合物电池,NULL,14.8mm,FHD全高清屏，170°广视角，300nit亮度，800：1对比度，72%色域，广视角硬屏，全贴合技术，低反射率,Intel 2X2 双天线双收 Wi-Fi，支持802.11a/b/g/n/ac无线协议，支持双频（2.4GHz+5GHz）,AKG定制级双扬声器,1920x1080,2016年08月,210.9mm,NULL,支持与小米手环连接免密解锁，绑定小米手环后，靠近笔记本就能解锁登录内置小米同步，可以实时同步管理手机里的联系人/短信/照片/便签等数据,家用,2×USB3.0，1×USB-C接口,309.6mm,1.28Kg,NULL,400-100-5678,周一至周日：8:00-18:00,NULL,100V-240V 自适应交流电源适配器,整机1年，主要部件2年,杜比环绕音效,无内置光驱,NULL,NULL,NULL,NULL,NULL,时尚轻薄本，校园学生本，商务办公本,预装Windows 10 Home（家庭中文版）,NULL,1年,银色，金色,NULL,NULL,一体化多点触控触摸板,全国联保，享受三包服务,笔记本电脑 x1电源适配器 x1入门指南（三包凭证） x1,NULL,附带软件,NULL,NULL,16:9,耳机输出接口,NULL,支持，蓝牙4.1模块,NULL,NULL,阵列式麦克风,NULL,NULL,NULL,集成摄像头,NULL,小米笔记本售后政策严格执行国家三包法，遵守行业准则，并充分尊重消费者权益，为消费者提供全方位服务保障和郑重承若，对国家规定或者与消费者约定保修、保换、保退的商品，小米承诺负责修理、更换、或者退货，授权服务中心需参照本政策开展工作。进入官网>>,13.3英寸,NULL,NULL,9.5小时左右，视具体使用环境而定,HDMI,NULL,NULL,NULL,不支持触控,NULL,背光键盘，全尺寸键盘,NULL
小米笔记本Air（13.3英寸/4GB/256GB/集显）,笔记本Air（13.3英寸）系列,http://detail.zol.com.cn/notebook/index1185250.shtml,https://2c.zol-img.com.cn/product/187_80x60/164/cepKgcXXRrmgE.jpg,4599,正常,4661,Intel 酷睿i5 7200U,英特尔 酷睿i5 7代系列,2.5GHz,3.1GHz,双核心/四线程,3MB,OPI 4 GT/s,Kaby Lake,14nm,15W,4GB（4GB×1）,DDR4 2133MHz,NULL,256GB,SSD固态硬盘，支持硬盘扩展,936,核心显卡,Intel GMA HD 620,共享内存容量,无,NULL,镁铝合金,NULL,NULL,4芯锂电池,NULL,14.8mm,FHD全高清屏，170°广视角，300-nits，800：1对比度，广视角硬屏，全贴合技术，低反射率，窄边框,Intel 2X2 双天线双收 Wi-Fi，支持802.11a/b/g/n/ac无线协议，支持双频（2.4GHz+5GHz）,AKG定制级双扬声器,1920x1080,2017年10月,210.9mm,NULL,10秒开机，2秒唤醒，支持小米同步,家用,2×USB3.0，USB Type-C接口,309.6mm,1.3Kg,NULL,400-100-5678,周一至周日：8:00-18:00,NULL,100V-240V 自适应交流电源适配器,整机1年，主要部件2年,杜比环绕音效,无内置光驱,NULL,NULL,NULL,NULL,NULL,时尚轻薄本，校园学生本，商务办公本,预装Windows 10 Home（家庭中文版）,NULL,1年,银色,NULL,NULL,玻璃触控板,全国联保，享受三包服务,笔记本电脑 x1电源适配器 x1入门指南（三包凭证） x1,NULL,附带软件,NULL,NULL,16:9,3.5mm耳机麦克风接口,NULL,支持，蓝牙4.1模块,支持智能指纹识别功能,NULL,阵列式麦克风,NULL,NULL,NULL,集成100万像素摄像头,NULL,小米笔记本售后政策严格执行国家三包法，遵守行业准则，并充分尊重消费者权益，为消费者提供全方位服务保障和郑重承若，对国家规定或者与消费者约定保修、保换、保退的商品，小米承诺负责修理、更换、或者退货，授权服务中心需参照本政策开展工作。进入官网>>,13.3英寸,NULL,NULL,在线视频播放8小时，本地视频播放7.5小时，网页浏览 7.5小时,HDMI,NULL,NULL,NULL,不支持触控,NULL,背光键盘，全尺寸键盘,NULL
小米笔记本Air（13.3英寸指纹版/i5 7200U/128GB）,笔记本Air（13.3英寸）系列,http://detail.zol.com.cn/notebook/index1173284.shtml,https://2c.zol-img.com.cn/product/183_80x60/858/cer3089PrMuHQ.jpg,5199,正常,4661,Intel 酷睿i5 7200U,英特尔 酷睿i5 7代系列,2.5GHz,3.1GHz,双核心/四线程,3MB,OPI 4 GT/s,Kaby Lake,14nm,15W,8GB,DDR4 2133MHz,NULL,128GB,SSD固态硬盘，支持硬盘扩展,1995,性能级独立显卡,NVIDIA GeForce MX150,2GB,GDDR5,64bit,镁铝合金,NULL,NULL,4芯锂电池,NULL,14.8mm,FHD全高清屏，170°广视角，300-nits，800：1对比度，广视角硬屏，全贴合技术，低反射率，窄边框,Intel 2X2 双天线双收 Wi-Fi，支持802.11a/b/g/n/ac无线协议，支持双频（2.4GHz+5GHz）,AKG定制级双扬声器,1920x1080,2017年06月,210.9mm,NULL,10秒开机，2秒唤醒，支持小米同步,家用,2×USB3.0，USB Type-C接口,309.6mm,1.3Kg,NULL,400-100-5678,周一至周日：8:00-18:00,NULL,100V-240V 自适应交流电源适配器,整机1年，主要部件2年,杜比环绕音效,无内置光驱,NULL,NULL,NULL,NULL,NULL,时尚轻薄本，校园学生本，商务办公本,预装Windows 10 Home（家庭中文版）,NULL,1年,银色,NULL,NULL,玻璃触控板,全国联保，享受三包服务,笔记本电脑 x1电源适配器 x1入门指南（三包凭证） x1,NULL,附带软件,NULL,NULL,16:9,3.5mm耳机麦克风接口,NULL,支持，蓝牙4.1模块,支持智能指纹识别功能,NULL,阵列式麦克风,NULL,NULL,NULL,集成100万像素摄像头,NULL,小米笔记本售后政策严格执行国家三包法，遵守行业准则，并充分尊重消费者权益，为消费者提供全方位服务保障和郑重承若，对国家规定或者与消费者约定保修、保换、保退的商品，小米承诺负责修理、更换、或者退货，授权服务中心需参照本政策开展工作。进入官网>>,13.3英寸,NULL,NULL,在线视频播放8小时，本地视频播放7.5小时，网页浏览 7.5小时,HDMI,NULL,NULL,NULL,不支持触控,NULL,背光键盘，全尺寸键盘,NULL
小米笔记本Air（13.3英寸四核增强版/i5/8GB/256GB）,笔记本Air（13.3英寸）系列,http://detail.zol.com.cn/notebook/index1206849.shtml,https://2e.zol-img.com.cn/product/189_80x60/558/ceyLPAc0271DY.jpg,5399,正常,7626,Intel 酷睿i5 8250U,英特尔 酷睿i5 8代系列,1.6GHz,3.4GHz,四核心/八线程,6MB,OPI 4 GT/s,Kaby Lake R,14nm,15W,8GB,DDR4 2400MHz,NULL,256GB,PCIe SSD，支持硬盘扩容,1995,性能级独立显卡,NVIDIA GeForce MX150,2GB,GDDR5,64bit,镁铝合金,NULL,NULL,4芯锂电池,NULL,14.8mm,FHD全高清屏，170°广视角，300-nits，800：1对比度，广视角硬屏，全贴合技术，低反射率，窄边框,Intel 2X2 双天线双收 Wi-Fi，支持802.11a/b/g/n/ac无线协议，支持双频（2.4GHz+5GHz）,AKG定制级双扬声器,1920x1080,2018年01月,210.9mm,NULL,10秒开机，2秒唤醒，支持小米同步,家用,2×USB3.0，USB Type-C接口,309.6mm,1.3Kg,NULL,400-100-5678,周一至周日：8:00-18:00,NULL,100V-240V 自适应交流电源适配器,整机1年，主要部件2年,杜比环绕音效,无内置光驱,NULL,NULL,NULL,NULL,NULL,时尚轻薄本，校园学生本，商务办公本,预装Windows 10 Home（家庭中文版）,NULL,1年,深空灰,NULL,NULL,玻璃触控板,全国联保，享受三包服务,笔记本电脑 x1电源适配器 x1入门指南（三包凭证） x1,NULL,附带软件,NULL,NULL,16:9,3.5mm耳机麦克风接口,NULL,支持，蓝牙4.1模块,支持智能指纹识别功能,NULL,数字阵列麦克风,NULL,NULL,NULL,集成100万像素摄像头,NULL,小米笔记本售后政策严格执行国家三包法，遵守行业准则，并充分尊重消费者权益，为消费者提供全方位服务保障和郑重承若，对国家规定或者与消费者约定保修、保换、保退的商品，小米承诺负责修理、更换、或者退货，授权服务中心需参照本政策开展工作。进入官网>>,13.3英寸,NULL,NULL,在线视频播放8小时，本地视频播放7.5小时，网页浏览 7.5小时,HDMI,NULL,NULL,NULL,不支持触控,NULL,背光键盘，全尺寸键盘,NULL
