型号,系列,网址,图片,价格,状态,CPU跑分,CPU型号,CPU系列,CPU主频,最高睿频,核心/线程数,三级缓存,总线规格,核心架构,制程工艺,功耗,内存容量,内存类型,插槽数量,硬盘容量,硬盘描述,显卡跑分,显卡类型,显卡芯片,显存容量,显存类型,显存位宽,外壳材质,可选配件,网络通信,电池类型,基本参数,厚度,屏幕技术,无线网卡,扬声器,屏幕分辨率,上市时间,宽度,工作温度,其它特点,产品类型,数据接口,长度,笔记本重量,安全性能,客服电话,电话备注,人脸识别,电源适配器,质保备注,音频系统,光驱类型,笔记本附件,存储温度,有线网卡,主板芯片组,显卡,产品定位,操作系统,电源描述,质保时间,外壳描述,处理器,输入设备,指取设备,保修政策,包装清单,外观,附带软件,保修信息,读卡器,显示比例,音频接口,工作湿度,蓝牙,指纹识别,环境要求,麦克风,变形方式,其他,扩展插槽,摄像头,存储设备,详细内容,屏幕尺寸,商用技术,最大内存容量,续航时间,视频接口,特色功能,显示屏,多媒体设备,触控屏,I/O接口,键盘描述,其它接口
戴尔Inspiron 灵越 11 3000系列 银色（Ins 11WD-6208T）,Inspiron 灵越 11 3000系列（3157）,http://detail.zol.com.cn/notebook/index1137743.shtml,https://2c.zol-img.com.cn/product/169_80x60/646/ce4AJfhpKRQI.jpg,3499,正常,1851,Intel 奔腾四核 N3700,英特尔 奔腾四核,1.6GHz,2.4GHz,四核心/四线程,NULL,NULL,Braswell,14nm,6W,4GB（4GB×1）,DDR3L（低电压版）1333MHz,2xSO-DIMM,128GB,SSD固态硬盘,393,集成显卡,Intel GMA HD（集成于处理器）,共享内存容量,无,NULL,复合材质,NULL,NULL,锂电池,NULL,19.4mm,LED背光，IPS宽屏,Intel 3165 AC，支持802.11ac无线协议，支持双频（2.4GHz+5GHz）,内置双扬声器,1366x768,2016年01月,200.98mm,NULL,NULL,家用,1×USB2.0+2×USB3.0,299.98mm,1.39Kg,安全锁孔,800-858-2968;400-886-8611,8:30-17:30（节假日休息）,NULL,100V-240V 65W 自适应交流电源适配器,2年消费者基本保修服务计划，整机保修2年，电池1年,内置音效芯片，采用Waves MaxxAudio技术,无内置光驱,NULL,NULL,NULL,NULL,NULL,时尚轻薄本，二合一笔记本，IPS硬屏笔记本,预装Windows 10 Home Basic 64bit（64位家庭普通版）,NULL,2年,银色,NULL,NULL,一体化多点触控触摸板,全国联保，享受三包服务,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,McAfee安全中心15个月版本,NULL,2合1读卡器（SD，MMC）,16:9,耳机/麦克风二合一接口,NULL,支持，蓝牙4.0模块,NULL,NULL,内置麦克风,翻转,NULL,NULL,720p HD摄像头,NULL,戴尔计算机（中国）有限公司（以下简称“戴尔公司”）将根据《微型计算机商品修理更换退货责任规定》（以下简称《三包规定》）提供修理、更换、退货服务（以下简称“三包服务”）。按照《三包规定》，在适用的三包期内，您可以凭发货票和三包凭证要求戴尔公司提供相关的“三包服务”。“三包服务”的期间自戴尔公司开具发货票之日起计算。 进入官网>>,11.6英寸,NULL,4GB,视具体使用环境而定,HDMI,NULL,NULL,NULL,支持多点触控,NULL,防渗漏键盘，背光键盘，全尺寸键盘,电源接口
戴尔Inspiron 灵越 11 3000系列 银色（Ins 11WD-6108T）,Inspiron 灵越 11 3000系列（3157）,http://detail.zol.com.cn/notebook/index1137740.shtml,https://2c.zol-img.com.cn/product/169_80x60/712/cea0TZIxqiEXk.jpg,2899,正常,882,Intel 赛扬双核 N3050,英特尔 赛扬双核,1.6GHz,2.16GHz,双核心/双线程,NULL,NULL,Braswell,14nm,6W,4GB（4GB×1）,DDR3L（低电压版）1333MHz,2xSO-DIMM,128GB,SSD固态硬盘,393,集成显卡,Intel GMA HD（集成于处理器）,共享内存容量,无,NULL,复合材质,NULL,NULL,锂电池,NULL,19.4mm,LED背光，IPS宽屏,Intel 3165 AC，支持802.11ac无线协议，支持双频（2.4GHz+5GHz）,内置双扬声器,1366x768,2016年01月,200.98mm,NULL,NULL,家用,1×USB2.0+2×USB3.0,299.98mm,1.39Kg,安全锁孔,800-858-2968;400-886-8611,8:30-17:30（节假日休息）,NULL,100V-240V 65W 自适应交流电源适配器,2年消费者基本保修服务计划，整机保修2年，电池1年,内置音效芯片，采用Waves MaxxAudio技术,无内置光驱,NULL,NULL,NULL,NULL,NULL,时尚轻薄本，二合一笔记本，IPS硬屏笔记本,预装Windows 10 Home Basic 64bit（64位家庭普通版）,NULL,2年,银色,NULL,NULL,一体化多点触控触摸板,全国联保，享受三包服务,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,McAfee安全中心15个月版本,NULL,2合1读卡器（SD，MMC）,16:9,耳机/麦克风二合一接口,NULL,支持，蓝牙4.0模块,NULL,NULL,内置麦克风,翻转,NULL,NULL,720p HD摄像头,NULL,戴尔计算机（中国）有限公司（以下简称“戴尔公司”）将根据《微型计算机商品修理更换退货责任规定》（以下简称《三包规定》）提供修理、更换、退货服务（以下简称“三包服务”）。按照《三包规定》，在适用的三包期内，您可以凭发货票和三包凭证要求戴尔公司提供相关的“三包服务”。“三包服务”的期间自戴尔公司开具发货票之日起计算。 进入官网>>,11.6英寸,NULL,4GB,视具体使用环境而定,HDMI,NULL,NULL,NULL,支持多点触控,NULL,防渗漏键盘，背光键盘，全尺寸键盘,电源接口
戴尔Inspiron 灵越 11 3000系列 红色（Ins 11WD-6208TR）,Inspiron 灵越 11 3000系列（3157）,http://detail.zol.com.cn/notebook/index1137744.shtml,https://2d.zol-img.com.cn/product/169_80x60/659/ceC7biQGN7bo2.jpg,3199,正常,1851,Intel 奔腾四核 N3700,英特尔 奔腾四核,1.6GHz,2.4GHz,四核心/四线程,NULL,NULL,Braswell,14nm,6W,4GB（4GB×1）,DDR3L（低电压版）1333MHz,2xSO-DIMM,128GB,SSD固态硬盘,393,集成显卡,Intel GMA HD（集成于处理器）,共享内存容量,无,NULL,复合材质,NULL,NULL,锂电池,NULL,19.4mm,LED背光，IPS宽屏,Intel 3165 AC，支持802.11ac无线协议，支持双频（2.4GHz+5GHz）,内置双扬声器,1366x768,2016年01月,200.98mm,NULL,NULL,家用,1×USB2.0+2×USB3.0,299.98mm,1.39Kg,安全锁孔,800-858-2968;400-886-8611,8:30-17:30（节假日休息）,NULL,100V-240V 65W 自适应交流电源适配器,2年消费者基本保修服务计划，整机保修2年，电池1年,内置音效芯片，采用Waves MaxxAudio技术,无内置光驱,NULL,NULL,NULL,NULL,NULL,时尚轻薄本，二合一笔记本，IPS硬屏笔记本,预装Windows 10 Home Basic 64bit（64位家庭普通版）,NULL,2年,红色,NULL,NULL,一体化多点触控触摸板,全国联保，享受三包服务,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,McAfee安全中心15个月版本,NULL,2合1读卡器（SD，MMC）,16:9,耳机/麦克风二合一接口,NULL,支持，蓝牙4.0模块,NULL,NULL,内置麦克风,翻转,NULL,NULL,720p HD摄像头,NULL,戴尔计算机（中国）有限公司（以下简称“戴尔公司”）将根据《微型计算机商品修理更换退货责任规定》（以下简称《三包规定》）提供修理、更换、退货服务（以下简称“三包服务”）。按照《三包规定》，在适用的三包期内，您可以凭发货票和三包凭证要求戴尔公司提供相关的“三包服务”。“三包服务”的期间自戴尔公司开具发货票之日起计算。 进入官网>>,11.6英寸,NULL,4GB,视具体使用环境而定,HDMI,NULL,NULL,NULL,支持多点触控,NULL,防渗漏键盘，背光键盘，全尺寸键盘,电源接口
戴尔Inspiron 灵越 11 3000系列 红色（Ins 11-3162-D1208R）,Inspiron 灵越 11 3000系列（3162）,http://detail.zol.com.cn/notebook/index1137163.shtml,https://2b.zol-img.com.cn/product/170_80x60/523/ceO4NZK9wZjb.jpg,2499,正常,1851,Intel 奔腾四核 N3700,英特尔 奔腾四核,1.6GHz,2.4GHz,四核心/四线程,NULL,NULL,Braswell,14nm,6W,4GB（4GB×1）,DDR3L（低电压版）1600MHz,NULL,128GB,SSD固态硬盘,393,集成显卡,Intel GMA HD（集成于处理器）,共享内存容量,无,NULL,镜面塑料,NULL,NULL,2芯锂电池,NULL,22.23mm,LED背光,支持802.11ac无线协议，支持双频（2.4GHz+5GHz）,双调谐扬声器,1366x768,2016年02月,196mm,NULL,NULL,家用,1×USB2.0+1×USB3.0,292mm,1.22Kg,安全锁孔,800-858-2968;400-886-8611,8:30-17:30（节假日休息）,NULL,100V-240V 45W 自适应交流电源适配器,2年远程诊断后消费者送修服务,采用Waves MaxxAudio Pro技术,无内置光驱,NULL,NULL,NULL,NULL,NULL,影音娱乐本，时尚轻薄本，校园学生本,预装Windows 10 Home Basic 64bit（64位家庭普通版）,NULL,2年,红色,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,多合1读卡器（SD，SDHC，SDXC）,16:9,耳机/麦克风二合一接口,NULL,支持，蓝牙4.0模块,NULL,NULL,数字麦克风,NULL,NULL,NULL,720p HD摄像头,NULL,戴尔计算机（中国）有限公司（以下简称“戴尔公司”）将根据《微型计算机商品修理更换退货责任规定》（以下简称《三包规定》）提供修理、更换、退货服务（以下简称“三包服务”）。按照《三包规定》，在适用的三包期内，您可以凭发货票和三包凭证要求戴尔公司提供相关的“三包服务”。“三包服务”的期间自戴尔公司开具发货票之日起计算。 进入官网>>,11.6英寸,NULL,NULL,10.25小时左右，视具体使用环境而定,HDMI,无风扇设计,NULL,NULL,不支持触控,NULL,分岛式键盘,电源接口
戴尔Inspiron 灵越 11 3000系列 白色（Ins 11-3162-D2205W）,Inspiron 灵越 11 3000系列（3162）,http://detail.zol.com.cn/notebook/index1154402.shtml,https://2e.zol-img.com.cn/product/176_80x60/722/ceyPdtHhNGbOA.jpg,2499,正常,1930,Intel 奔腾四核 N3710,英特尔 奔腾四核,1.6GHz,2.56GHz,四核心/四线程,NULL,NULL,Braswell,14nm,6W,4GB（4GB×1）,DDR3L（低电压版）1600MHz,NULL,128GB,SSD固态硬盘,393,集成显卡,Intel GMA HD（集成于处理器）,共享内存容量,无,NULL,镜面塑料,NULL,NULL,2芯锂电池,NULL,22.23mm,LED背光,支持802.11ac无线协议，支持双频（2.4GHz+5GHz）,双调谐扬声器,1366x768,2016年08月,196mm,NULL,NULL,家用,1×USB2.0+1×USB3.0,292mm,1.22Kg,安全锁孔,800-858-2968;400-886-8611,8:30-17:30（节假日休息）,NULL,100V-240V 45W 自适应交流电源适配器,2年远程诊断后消费者送修服务,采用Waves MaxxAudio Pro技术,无内置光驱,NULL,NULL,NULL,NULL,NULL,影音娱乐本，时尚轻薄本，校园学生本,预装Windows 10 Home Basic 64bit（64位家庭普通版）,NULL,2年,白色,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,多合1读卡器（SD，SDHC，SDXC）,16:9,耳机/麦克风二合一接口,NULL,支持，蓝牙4.0模块,NULL,NULL,数字麦克风,NULL,NULL,NULL,720p HD摄像头,NULL,戴尔计算机（中国）有限公司（以下简称“戴尔公司”）将根据《微型计算机商品修理更换退货责任规定》（以下简称《三包规定》）提供修理、更换、退货服务（以下简称“三包服务”）。按照《三包规定》，在适用的三包期内，您可以凭发货票和三包凭证要求戴尔公司提供相关的“三包服务”。“三包服务”的期间自戴尔公司开具发货票之日起计算。 进入官网>>,11.6英寸,NULL,NULL,10.25小时左右，视具体使用环境而定,HDMI,无风扇设计,NULL,NULL,不支持触控,NULL,防渗漏键盘，全尺寸键盘,电源接口
戴尔Inspiron 灵越 11 3000系列 蓝色（Ins 11-3162-D1208L）,Inspiron 灵越 11 3000系列（3162）,http://detail.zol.com.cn/notebook/index1138692.shtml,https://2c.zol-img.com.cn/product/170_80x60/536/ceG7fLeJBNrhk.jpg,2499,正常,1851,Intel 奔腾四核 N3700,英特尔 奔腾四核,1.6GHz,2.4GHz,四核心/四线程,NULL,NULL,Braswell,14nm,6W,4GB（4GB×1）,DDR3L（低电压版）1600MHz,NULL,128GB,SSD固态硬盘,393,集成显卡,Intel GMA HD（集成于处理器）,共享内存容量,无,NULL,镜面塑料,NULL,NULL,2芯锂电池,NULL,22.23mm,LED背光,支持802.11ac无线协议，支持双频（2.4GHz+5GHz）,双调谐扬声器,1366x768,2016年02月,196mm,NULL,NULL,家用,1×USB2.0+1×USB3.0,292mm,1.22Kg,安全锁孔,800-858-2968;400-886-8611,8:30-17:30（节假日休息）,NULL,100V-240V 45W 自适应交流电源适配器,2年远程诊断后消费者送修服务,采用Waves MaxxAudio Pro技术,无内置光驱,NULL,NULL,NULL,NULL,NULL,影音娱乐本，时尚轻薄本，校园学生本,预装Windows 10 Home Basic 64bit（64位家庭普通版）,NULL,2年,蓝色,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,多合1读卡器（SD，SDHC，SDXC）,16:9,耳机/麦克风二合一接口,NULL,支持，蓝牙4.0模块,NULL,NULL,数字麦克风,NULL,NULL,NULL,720p HD摄像头,NULL,戴尔计算机（中国）有限公司（以下简称“戴尔公司”）将根据《微型计算机商品修理更换退货责任规定》（以下简称《三包规定》）提供修理、更换、退货服务（以下简称“三包服务”）。按照《三包规定》，在适用的三包期内，您可以凭发货票和三包凭证要求戴尔公司提供相关的“三包服务”。“三包服务”的期间自戴尔公司开具发货票之日起计算。 进入官网>>,11.6英寸,NULL,NULL,10.25小时左右，视具体使用环境而定,HDMI,无风扇设计,NULL,NULL,不支持触控,NULL,分岛式键盘,电源接口
戴尔Inspiron 灵越 11 3000系列 白色（Ins 11-3162-D1208W）,Inspiron 灵越 11 3000系列（3162）,http://detail.zol.com.cn/notebook/index1138693.shtml,https://2c.zol-img.com.cn/product/171_80x60/572/ce7eFBPm6Rz.jpg,2799,正常,1851,Intel 奔腾四核 N3700,英特尔 奔腾四核,1.6GHz,2.4GHz,四核心/四线程,NULL,NULL,Braswell,14nm,6W,4GB（4GB×1）,DDR3L（低电压版）1600MHz,NULL,128GB,SSD固态硬盘,393,集成显卡,Intel GMA HD（集成于处理器）,共享内存容量,无,NULL,镜面塑料,NULL,NULL,2芯锂电池,NULL,22.23mm,LED背光,支持802.11ac无线协议，支持双频（2.4GHz+5GHz）,双调谐扬声器,1366x768,2016年02月,196mm,NULL,NULL,家用,1×USB2.0+1×USB3.0,292mm,1.22Kg,安全锁孔,800-858-2968;400-886-8611,8:30-17:30（节假日休息）,NULL,100V-240V 45W 自适应交流电源适配器,2年远程诊断后消费者送修服务,采用Waves MaxxAudio Pro技术,无内置光驱,NULL,NULL,NULL,NULL,NULL,影音娱乐本，时尚轻薄本，校园学生本,预装Windows 10 Home Basic 64bit（64位家庭普通版）,NULL,2年,白色,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,多合1读卡器（SD，SDHC，SDXC）,16:9,耳机/麦克风二合一接口,NULL,支持，蓝牙4.0模块,NULL,NULL,数字麦克风,NULL,NULL,NULL,720p HD摄像头,NULL,戴尔计算机（中国）有限公司（以下简称“戴尔公司”）将根据《微型计算机商品修理更换退货责任规定》（以下简称《三包规定》）提供修理、更换、退货服务（以下简称“三包服务”）。按照《三包规定》，在适用的三包期内，您可以凭发货票和三包凭证要求戴尔公司提供相关的“三包服务”。“三包服务”的期间自戴尔公司开具发货票之日起计算。 进入官网>>,11.6英寸,NULL,NULL,10.25小时左右，视具体使用环境而定,HDMI,无风扇设计,NULL,NULL,不支持触控,NULL,分岛式键盘,电源接口
戴尔Inspiron 灵越 11 3000系列 蓝色（Ins 11-3162-D2205L）,Inspiron 灵越 11 3000系列（3162）,http://detail.zol.com.cn/notebook/index1154403.shtml,https://2d.zol-img.com.cn/product/176_80x60/757/cepDwL0GFtJzY.jpg,2999,正常,1930,Intel 奔腾四核 N3710,英特尔 奔腾四核,1.6GHz,2.56GHz,四核心/四线程,NULL,NULL,Braswell,14nm,6W,4GB（4GB×1）,DDR3L（低电压版）1600MHz,NULL,128GB,SSD固态硬盘,393,集成显卡,Intel GMA HD（集成于处理器）,共享内存容量,无,NULL,镜面塑料,NULL,NULL,2芯锂电池,NULL,22.23mm,LED背光,支持802.11ac无线协议，支持双频（2.4GHz+5GHz）,双调谐扬声器,1366x768,2016年08月,196mm,NULL,NULL,家用,1×USB2.0+1×USB3.0,292mm,1.22Kg,安全锁孔,800-858-2968;400-886-8611,8:30-17:30（节假日休息）,NULL,100V-240V 45W 自适应交流电源适配器,2年远程诊断后消费者送修服务,采用Waves MaxxAudio Pro技术,无内置光驱,NULL,NULL,NULL,NULL,NULL,影音娱乐本，时尚轻薄本，校园学生本,预装Windows 10 Home Basic 64bit（64位家庭普通版）,NULL,2年,蓝色,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,多合1读卡器（SD，SDHC，SDXC）,16:9,耳机/麦克风二合一接口,NULL,支持，蓝牙4.0模块,NULL,NULL,数字麦克风,NULL,NULL,NULL,720p HD摄像头,NULL,戴尔计算机（中国）有限公司（以下简称“戴尔公司”）将根据《微型计算机商品修理更换退货责任规定》（以下简称《三包规定》）提供修理、更换、退货服务（以下简称“三包服务”）。按照《三包规定》，在适用的三包期内，您可以凭发货票和三包凭证要求戴尔公司提供相关的“三包服务”。“三包服务”的期间自戴尔公司开具发货票之日起计算。 进入官网>>,11.6英寸,NULL,NULL,10.25小时左右，视具体使用环境而定,HDMI,无风扇设计,NULL,NULL,不支持触控,NULL,防渗漏键盘，全尺寸键盘,电源接口
戴尔Inspiron 灵越 11 3000系列 红色（Ins 11-3162-D2205R）,Inspiron 灵越 11 3000系列（3162）,http://detail.zol.com.cn/notebook/index1154404.shtml,https://2b.zol-img.com.cn/product/176_80x60/773/cepwOLyd6hnI.jpg,2999,正常,1930,Intel 奔腾四核 N3710,英特尔 奔腾四核,1.6GHz,2.56GHz,四核心/四线程,NULL,NULL,Braswell,14nm,6W,4GB（4GB×1）,DDR3L（低电压版）1600MHz,NULL,128GB,SSD固态硬盘,393,集成显卡,Intel GMA HD（集成于处理器）,共享内存容量,无,NULL,镜面塑料,NULL,NULL,2芯锂电池,NULL,22.23mm,LED背光,支持802.11ac无线协议，支持双频（2.4GHz+5GHz）,双调谐扬声器,1366x768,2016年08月,196mm,NULL,NULL,家用,1×USB2.0+1×USB3.0,292mm,1.22Kg,安全锁孔,800-858-2968;400-886-8611,8:30-17:30（节假日休息）,NULL,100V-240V 45W 自适应交流电源适配器,2年远程诊断后消费者送修服务,采用Waves MaxxAudio Pro技术,无内置光驱,NULL,NULL,NULL,NULL,NULL,影音娱乐本，时尚轻薄本，校园学生本,预装Windows 10 Home Basic 64bit（64位家庭普通版）,NULL,2年,红色,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,多合1读卡器（SD，SDHC，SDXC）,16:9,耳机/麦克风二合一接口,NULL,支持，蓝牙4.0模块,NULL,NULL,数字麦克风,NULL,NULL,NULL,720p HD摄像头,NULL,戴尔计算机（中国）有限公司（以下简称“戴尔公司”）将根据《微型计算机商品修理更换退货责任规定》（以下简称《三包规定》）提供修理、更换、退货服务（以下简称“三包服务”）。按照《三包规定》，在适用的三包期内，您可以凭发货票和三包凭证要求戴尔公司提供相关的“三包服务”。“三包服务”的期间自戴尔公司开具发货票之日起计算。 进入官网>>,11.6英寸,NULL,NULL,10.25小时左右，视具体使用环境而定,HDMI,无风扇设计,NULL,NULL,不支持触控,NULL,防渗漏键盘，全尺寸键盘,电源接口
戴尔Inspiron 灵越 11 3000（Ins 11WD-5208T）,Inspiron 灵越 11 3000系列（3147）,http://detail.zol.com.cn/notebook/index1100662.shtml,https://2e.zol-img.com.cn/product/165_80x60/52/cedI8GlBZ9pg.jpg,3499,正常,1944,Intel 奔腾四核 N3540,英特尔 奔腾四核,2.16GHz,2.66GHz,四核心/四线程,2MB,DMI 5 GT/s,Bay Trail M,22nm,4.5W,4GB（4GB×1）,DDR3L（低电压版）1333MHz,2xSO-DIMM,500GB,5400转,393,集成显卡,Intel GMA HD（集成于处理器）,共享内存容量,无,NULL,复合材质,NULL,NULL,3芯锂电池，4300毫安,NULL,19.4mm,LED背光,Dell无线-N1707 2.4GHz,内置扬声器,1366x768,2015年09月,200.98mm,NULL,NULL,家用,1×USB2.0+2×USB3.0,299.98mm,1.39Kg,安全锁孔,800-858-2968;400-886-8611,8:30-17:30（节假日休息）,NULL,100V-240V 65W 自适应交流电源适配器,2年消费者基本保修服务计划，整机保修2年，电池1年,内置音效芯片,无内置光驱,NULL,NULL,100Mbps网卡,NULL,NULL,时尚轻薄本,预装Windows 10 Home Basic 64bit（64位家庭普通版）,NULL,2年,银色,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,McAfee安全中心15个月版本,NULL,多合1读卡器,16:9,耳机/麦克风二合一接口,NULL,支持，蓝牙4.0模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,集成摄像头,NULL,戴尔计算机（中国）有限公司（以下简称“戴尔公司”）将根据《微型计算机商品修理更换退货责任规定》（以下简称《三包规定》）提供修理、更换、退货服务（以下简称“三包服务”）。按照《三包规定》，在适用的三包期内，您可以凭发货票和三包凭证要求戴尔公司提供相关的“三包服务”。“三包服务”的期间自戴尔公司开具发货票之日起计算。 进入官网>>,11.6英寸,NULL,4GB,视具体使用环境而定,HDMI,NULL,NULL,NULL,支持多点触控,NULL,NULL,RJ45（网络接口），电源接口
