型号,系列,网址,图片,价格,状态,CPU跑分,CPU型号,CPU系列,CPU主频,最高睿频,核心/线程数,三级缓存,总线规格,核心架构,制程工艺,功耗,内存容量,内存类型,插槽数量,硬盘容量,硬盘描述,显卡跑分,显卡类型,显卡芯片,显存容量,显存类型,显存位宽,外壳材质,可选配件,网络通信,电池类型,基本参数,厚度,屏幕技术,无线网卡,扬声器,屏幕分辨率,上市时间,宽度,工作温度,其它特点,产品类型,数据接口,长度,笔记本重量,安全性能,客服电话,电话备注,人脸识别,电源适配器,质保备注,音频系统,光驱类型,笔记本附件,存储温度,有线网卡,主板芯片组,显卡,产品定位,操作系统,电源描述,质保时间,外壳描述,处理器,输入设备,指取设备,保修政策,包装清单,外观,附带软件,保修信息,读卡器,显示比例,音频接口,工作湿度,蓝牙,指纹识别,环境要求,麦克风,变形方式,其他,扩展插槽,摄像头,存储设备,详细内容,屏幕尺寸,商用技术,最大内存容量,续航时间,视频接口,特色功能,显示屏,多媒体设备,触控屏,I/O接口,键盘描述,其它接口
技嘉P35X v6（16GB/128GB+1TB）,P35X v6系列,http://detail.zol.com.cn/notebook/index1159001.shtml,https://2e.zol-img.com.cn/product/178_80x60/674/cegT6LBYUHGBo.jpg,1.4万,正常,8146,Intel 酷睿i7 6700HQ,英特尔 酷睿i7 6代系列,2.6GHz,3.5GHz,四核心/八线程,6MB,DMI 8 GT/s,Skylake,14nm,45W,16GB（8GB×2）,DDR4 2400MHz,2xSO-DIMM,128GB+1TB,混合硬盘（SSD+7200转HDD）,11065,双显卡（发烧级独立显卡＋集成显卡）,NVIDIA GeForce GTX 1070＋Intel GMA HD 530,8GB,GDDR5,256bit,复合材质,NULL,NULL,锂电池,NULL,20.9mm,FHD，LED背光，IPS广视角液晶显示屏,支持802.11b/g/n/ac无线协议,2×1.5W立体声音响,1920x1080,2016年11月,270mm,NULL,NULL,家用,3×USB3.0，USB3.1 Type-C接口,385mm,2.4Kg,安全锁孔,800-820-0926;0755-2399-0185,周一至周五 上午9:00-12:00 ， 下午13:00-18:00 法定节假日除外,NULL,100V-240V 200W 自适应交流电源适配器,整机免费保修2年，电池保修1年,杜比Digital Plus家庭影院音效技术,内置DVD刻录机,NULL,NULL,1000Mbps以太网卡,Intel HM170,NULL,游戏本，影音娱乐本,预装Windows 10,NULL,2年,黑色,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电池 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,多合1读卡器,16:9,耳机输出接口，麦克风输入接口,NULL,支持，蓝牙4.1模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,HD视讯镜头,NULL,售后服务由品牌厂商提供，支持全国联保，可享有三包服务。如出现产品质量问题或故障，您可查询最近的维修点，由厂商售后解决。也可凭厂商维修中心或特约维修点所提供的质量检测证明，享受7日内退货，15日内换货。超过15日又在质保期内，可享受免费保修等三包服务政策。技嘉笔记本主要整机保修2年，电池保修1年。进入官网>>,15.6英寸,NULL,32GB,视具体使用环境而定,VGA，HDMI，Mini DisplayPort,NULL,NULL,NULL,不支持触控,NULL,背光键盘,RJ45（网络接口），电源接口
技嘉P35X v6（16GB/256GB+1TB）,P35X v6系列,http://detail.zol.com.cn/notebook/index1180969.shtml,https://2b.zol-img.com.cn/product/185_80x60/131/ceHEFvIZzb8Tk.jpg,1.4万,正常,8146,Intel 酷睿i7 6700HQ,英特尔 酷睿i7 6代系列,2.6GHz,3.5GHz,四核心/八线程,6MB,DMI 8 GT/s,Skylake,14nm,45W,16GB（8GB×2）,DDR4 2400MHz,2xSO-DIMM,256GB+1TB,混合硬盘（SSD+7200转HDD）,11065,双显卡（发烧级独立显卡＋集成显卡）,NVIDIA GeForce GTX 1070＋Intel GMA HD 530,8GB,GDDR5,256bit,复合材质,NULL,NULL,锂电池,NULL,20.9mm,FHD，LED背光，IPS广视角液晶显示屏,支持802.11b/g/n/ac无线协议,2×1.5W立体声音响,1920x1080,2016年11月,270mm,NULL,NULL,家用,3×USB3.0，USB3.1 Type-C接口,385mm,2.4Kg,安全锁孔,800-820-0926;0755-2399-0185,周一至周五 上午9:00-12:00 ， 下午13:00-18:00 法定节假日除外,NULL,100V-240V 200W 自适应交流电源适配器,整机免费保修2年，电池保修1年,杜比Digital Plus家庭影院音效技术,内置DVD刻录机,NULL,NULL,1000Mbps以太网卡,Intel HM170,NULL,游戏本，影音娱乐本,预装Windows 10,NULL,2年,黑色,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电池 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,多合1读卡器,16:9,耳机输出接口，麦克风输入接口,NULL,支持，蓝牙4.1模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,HD视讯镜头,NULL,售后服务由品牌厂商提供，支持全国联保，可享有三包服务。如出现产品质量问题或故障，您可查询最近的维修点，由厂商售后解决。也可凭厂商维修中心或特约维修点所提供的质量检测证明，享受7日内退货，15日内换货。超过15日又在质保期内，可享受免费保修等三包服务政策。技嘉笔记本主要整机保修2年，电池保修1年。进入官网>>,15.6英寸,NULL,32GB,视具体使用环境而定,VGA，HDMI，Mini DisplayPort,NULL,NULL,NULL,不支持触控,NULL,背光键盘,RJ45（网络接口），电源接口
技嘉P35X v6（16GB/128GB+1TB）,P35X v6系列,http://detail.zol.com.cn/notebook/index1159001.shtml,https://2e.zol-img.com.cn/product/178_80x60/674/cegT6LBYUHGBo.jpg,1.4万,正常,8146,Intel 酷睿i7 6700HQ,英特尔 酷睿i7 6代系列,2.6GHz,3.5GHz,四核心/八线程,6MB,DMI 8 GT/s,Skylake,14nm,45W,16GB（8GB×2）,DDR4 2400MHz,2xSO-DIMM,128GB+1TB,混合硬盘（SSD+7200转HDD）,11065,双显卡（发烧级独立显卡＋集成显卡）,NVIDIA GeForce GTX 1070＋Intel GMA HD 530,8GB,GDDR5,256bit,复合材质,NULL,NULL,锂电池,NULL,20.9mm,FHD，LED背光，IPS广视角液晶显示屏,支持802.11b/g/n/ac无线协议,2×1.5W立体声音响,1920x1080,2016年11月,270mm,NULL,NULL,家用,3×USB3.0，USB3.1 Type-C接口,385mm,2.4Kg,安全锁孔,800-820-0926;0755-2399-0185,周一至周五 上午9:00-12:00 ， 下午13:00-18:00 法定节假日除外,NULL,100V-240V 200W 自适应交流电源适配器,整机免费保修2年，电池保修1年,杜比Digital Plus家庭影院音效技术,内置DVD刻录机,NULL,NULL,1000Mbps以太网卡,Intel HM170,NULL,游戏本，影音娱乐本,预装Windows 10,NULL,2年,黑色,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电池 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,多合1读卡器,16:9,耳机输出接口，麦克风输入接口,NULL,支持，蓝牙4.1模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,HD视讯镜头,NULL,售后服务由品牌厂商提供，支持全国联保，可享有三包服务。如出现产品质量问题或故障，您可查询最近的维修点，由厂商售后解决。也可凭厂商维修中心或特约维修点所提供的质量检测证明，享受7日内退货，15日内换货。超过15日又在质保期内，可享受免费保修等三包服务政策。技嘉笔记本主要整机保修2年，电池保修1年。进入官网>>,15.6英寸,NULL,32GB,视具体使用环境而定,VGA，HDMI，Mini DisplayPort,NULL,NULL,NULL,不支持触控,NULL,背光键盘,RJ45（网络接口），电源接口
技嘉P35X v6（16GB/256GB+1TB）,P35X v6系列,http://detail.zol.com.cn/notebook/index1180969.shtml,https://2b.zol-img.com.cn/product/185_80x60/131/ceHEFvIZzb8Tk.jpg,1.4万,正常,8146,Intel 酷睿i7 6700HQ,英特尔 酷睿i7 6代系列,2.6GHz,3.5GHz,四核心/八线程,6MB,DMI 8 GT/s,Skylake,14nm,45W,16GB（8GB×2）,DDR4 2400MHz,2xSO-DIMM,256GB+1TB,混合硬盘（SSD+7200转HDD）,11065,双显卡（发烧级独立显卡＋集成显卡）,NVIDIA GeForce GTX 1070＋Intel GMA HD 530,8GB,GDDR5,256bit,复合材质,NULL,NULL,锂电池,NULL,20.9mm,FHD，LED背光，IPS广视角液晶显示屏,支持802.11b/g/n/ac无线协议,2×1.5W立体声音响,1920x1080,2016年11月,270mm,NULL,NULL,家用,3×USB3.0，USB3.1 Type-C接口,385mm,2.4Kg,安全锁孔,800-820-0926;0755-2399-0185,周一至周五 上午9:00-12:00 ， 下午13:00-18:00 法定节假日除外,NULL,100V-240V 200W 自适应交流电源适配器,整机免费保修2年，电池保修1年,杜比Digital Plus家庭影院音效技术,内置DVD刻录机,NULL,NULL,1000Mbps以太网卡,Intel HM170,NULL,游戏本，影音娱乐本,预装Windows 10,NULL,2年,黑色,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电池 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,多合1读卡器,16:9,耳机输出接口，麦克风输入接口,NULL,支持，蓝牙4.1模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,HD视讯镜头,NULL,售后服务由品牌厂商提供，支持全国联保，可享有三包服务。如出现产品质量问题或故障，您可查询最近的维修点，由厂商售后解决。也可凭厂商维修中心或特约维修点所提供的质量检测证明，享受7日内退货，15日内换货。超过15日又在质保期内，可享受免费保修等三包服务政策。技嘉笔记本主要整机保修2年，电池保修1年。进入官网>>,15.6英寸,NULL,32GB,视具体使用环境而定,VGA，HDMI，Mini DisplayPort,NULL,NULL,NULL,不支持触控,NULL,背光键盘,RJ45（网络接口），电源接口
技嘉P55W v6（16GB/128GB+1TB）,P55W v6系列,http://detail.zol.com.cn/notebook/index1164712.shtml,https://2b.zol-img.com.cn/product/180_80x60/811/cehgb0hGDviU.jpg,1.1万,正常,8146,Intel 酷睿i7 6700HQ,英特尔 酷睿i7 6代系列,2.6GHz,3.5GHz,四核心/八线程,6MB,DMI 8 GT/s,Skylake,14nm,45W,16GB（8GB×2）,DDR4 2400MHz,2xSO-DIMM,128GB+1TB,混合硬盘（SSD+7200转HDD）,8851,双显卡（发烧级独立显卡＋集成显卡）,NVIDIA GeForce GTX 1060＋Intel GMA HD 530,6GB,GDDR5,192bit,复合材质,NULL,NULL,6芯锂电池，5400毫安,NULL,26.8-34mm,FHD，LED背光，IPS广视角液晶显示屏,支持802.11b/g/n/ac无线协议,2×1.5W立体声音响,1920x1080,2016年11月,269.38mm,NULL,NULL,家用,3×USB3.0，USB3.1 Type-C接口,379.71mm,2.4Kg,安全锁孔,800-820-0926;0755-2399-0185,周一至周五 上午9:00-12:00 ， 下午13:00-18:00 法定节假日除外,NULL,100V-240V 自适应交流电源适配器,整机免费保修2年，电池保修1年,杜比Digital Plus家庭影院音效技术,内置DVD刻录机,NULL,NULL,1000Mbps以太网卡,Intel HM170,NULL,游戏本，影音娱乐本,预装Windows 10,NULL,2年,黑色,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电池 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,多合1读卡器,16:9,耳机输出接口，麦克风输入接口,NULL,支持，蓝牙4.1模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,HD视讯镜头,NULL,售后服务由品牌厂商提供，支持全国联保，可享有三包服务。如出现产品质量问题或故障，您可查询最近的维修点，由厂商售后解决。也可凭厂商维修中心或特约维修点所提供的质量检测证明，享受7日内退货，15日内换货。超过15日又在质保期内，可享受免费保修等三包服务政策。技嘉笔记本主要整机保修2年，电池保修1年。进入官网>>,15.6英寸,NULL,32GB,视具体使用环境而定,VGA，HDMI,NULL,NULL,NULL,不支持触控,NULL,背光键盘,RJ45（网络接口），电源接口
技嘉P55W v6（16GB/256GB+1TB）,P55W v6系列,http://detail.zol.com.cn/notebook/index1164857.shtml,https://2b.zol-img.com.cn/product/180_80x60/99/ceMFCGmm4alrQ.jpg,1.1万,正常,8146,Intel 酷睿i7 6700HQ,英特尔 酷睿i7 6代系列,2.6GHz,3.5GHz,四核心/八线程,6MB,DMI 8 GT/s,Skylake,14nm,45W,16GB（8GB×2）,DDR4 2400MHz,2xSO-DIMM,256GB+1TB,混合硬盘（SSD+7200转HDD）,8851,双显卡（发烧级独立显卡＋集成显卡）,NVIDIA GeForce GTX 1060＋Intel GMA HD 530,6GB,GDDR5,192bit,复合材质,NULL,NULL,6芯锂电池，5400毫安,NULL,26.8-34mm,FHD，LED背光，IPS广视角液晶显示屏,支持802.11b/g/n/ac无线协议,2×1.5W立体声音响,1920x1080,2016年11月,269.38mm,NULL,NULL,家用,3×USB3.0，USB3.1 Type-C接口,379.71mm,2.4Kg,安全锁孔,800-820-0926;0755-2399-0185,周一至周五 上午9:00-12:00 ， 下午13:00-18:00 法定节假日除外,NULL,100V-240V 自适应交流电源适配器,整机免费保修2年，电池保修1年,杜比Digital Plus家庭影院音效技术,内置DVD刻录机,NULL,NULL,1000Mbps以太网卡,Intel HM170,NULL,游戏本，影音娱乐本,预装Windows 10,NULL,2年,黑色,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电池 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,多合1读卡器,16:9,耳机输出接口，麦克风输入接口,NULL,支持，蓝牙4.1模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,HD视讯镜头,NULL,售后服务由品牌厂商提供，支持全国联保，可享有三包服务。如出现产品质量问题或故障，您可查询最近的维修点，由厂商售后解决。也可凭厂商维修中心或特约维修点所提供的质量检测证明，享受7日内退货，15日内换货。超过15日又在质保期内，可享受免费保修等三包服务政策。技嘉笔记本主要整机保修2年，电池保修1年。进入官网>>,15.6英寸,NULL,32GB,视具体使用环境而定,VGA，HDMI,NULL,NULL,NULL,不支持触控,NULL,背光键盘,RJ45（网络接口），电源接口
技嘉P15F V5（8GB/1TB）,P15F V5系列,http://detail.zol.com.cn/notebook/index1139618.shtml,https://2a.zol-img.com.cn/product/170_80x60/756/ceMV8bfLVpiwQ.jpg,5499,正常,8146,Intel 酷睿i7 6700HQ,英特尔 酷睿i7 6代系列,2.6GHz,3.5GHz,四核心/八线程,6MB,DMI 8 GT/s,Skylake,14nm,45W,8GB（8GB×1）,DDR3L（低电压版）1600MHz,2xSO-DIMM,1TB,7200转,1764,双显卡（发烧级独立显卡＋集成显卡）,NVIDIA GeForce GTX 950M＋Intel GMA HD 530,2GB,GDDR3,128bit,复合材质,NULL,NULL,6芯锂电池，4400毫安,NULL,14-31.4mm,FHD，LED背光，IPS屏,支持802.11b/g/n无线协议,2×2W立体声音响,1920x1080,2016年03月,252mm,NULL,NULL,家用,1×USB2.0+3×USB3.0,374mm,2.5Kg,安全锁孔,800-820-0926;0755-2399-0185,周一至周五 上午9:00-12:00 ， 下午13:00-18:00 法定节假日除外,NULL,100V-240V 150W 自适应交流电源适配器,整机免费保修2年，电池保修1年,Sound Blaster Cinema 2,内置DVD刻录机,NULL,NULL,1000Mbps以太网卡,Intel HM170,NULL,游戏本，影音娱乐本,DOS,NULL,2年,黑色,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电池 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,9合1读卡器（SD，Mini SD，SDHC，SDXC，MMC，RS MMC，MS，MS Pro，MS Dou）,16:9,耳机输出接口，麦克风输入接口,NULL,支持，蓝牙4.0模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,集成摄像头,NULL,售后服务由品牌厂商提供，支持全国联保，可享有三包服务。如出现产品质量问题或故障，您可查询最近的维修点，由厂商售后解决。也可凭厂商维修中心或特约维修点所提供的质量检测证明，享受7日内退货，15日内换货。超过15日又在质保期内，可享受免费保修等三包服务政策。技嘉笔记本主要整机保修2年，电池保修1年。进入官网>>,15.6英寸,NULL,16GB,视具体使用环境而定,VGA，HDMI,NULL,NULL,NULL,不支持触控,NULL,孤岛式键盘，全尺寸键盘,RJ45（网络接口），电源接口
技嘉P15F V5（8GB/128GB+1TB）,P15F V5系列,http://detail.zol.com.cn/notebook/index1155932.shtml,https://2f.zol-img.com.cn/product/176_80x60/121/ce9gX9FJ8BIXw.jpg,5799,正常,8146,Intel 酷睿i7 6700HQ,英特尔 酷睿i7 6代系列,2.6GHz,3.5GHz,四核心/八线程,6MB,DMI 8 GT/s,Skylake,14nm,45W,8GB（8GB×1）,DDR3L（低电压版）1600MHz,2xSO-DIMM,128GB+1TB,混合硬盘（SSD+7200转HDD）,1764,双显卡（性能级独立显卡＋集成显卡）,NVIDIA GeForce GTX 950M＋Intel GMA HD 530,2GB,GDDR3,128bit,复合材质,NULL,NULL,6芯锂电池，4400毫安,NULL,14-31.4mm,FHD，LED背光，IPS屏,支持802.11b/g/n无线协议,2×2W立体声音响,1920x1080,2016年09月,252mm,NULL,NULL,家用,1×USB2.0+3×USB3.0,374mm,2.5Kg,安全锁孔,800-820-0926;0755-2399-0185,周一至周五 上午9:00-12:00 ， 下午13:00-18:00 法定节假日除外,NULL,100V-240V 150W 自适应交流电源适配器,整机免费保修2年，电池保修1年,Sound Blaster Cinema 2,内置DVD刻录机,NULL,NULL,1000Mbps以太网卡,Intel HM170,NULL,游戏本，影音娱乐本,DOS,NULL,2年,黑色,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电池 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,9合1读卡器（SD，Mini SD，SDHC，SDXC，MMC，RS MMC，MS，MS Pro，MS Dou）,16:9,耳机输出接口，麦克风输入接口,NULL,支持，蓝牙4.0模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,集成摄像头,NULL,售后服务由品牌厂商提供，支持全国联保，可享有三包服务。如出现产品质量问题或故障，您可查询最近的维修点，由厂商售后解决。也可凭厂商维修中心或特约维修点所提供的质量检测证明，享受7日内退货，15日内换货。超过15日又在质保期内，可享受免费保修等三包服务政策。技嘉笔记本主要整机保修2年，电池保修1年。进入官网>>,15.6英寸,NULL,16GB,视具体使用环境而定,VGA，HDMI,NULL,NULL,NULL,不支持触控,NULL,孤岛式键盘，全尺寸键盘,RJ45（网络接口），电源接口
技嘉赢刃 AERO 15（8GB/256GB）,赢刃 AERO 15系列,http://detail.zol.com.cn/notebook/index1177526.shtml,https://2d.zol-img.com.cn/product/184_80x60/281/ceXgXdzytqC0s.jpg,1.33万,正常,8896,Intel 酷睿i7 7700HQ,英特尔 酷睿i7 7代系列,2.8GHz,3.8GHz,四核心/八线程,6MB,DMI 8 GT/s,Skylake,14nm,45W,8GB（8GB×1）,DDR4 2400MHz,2xSO-DIMM,256GB,PCIE,8851,双显卡（发烧级独立显卡＋集成显卡）,NVIDIA GeForce GTX 1060＋Intel GMA HD 630,6GB,GDDR5,192bit,复合材质,NULL,NULL,锂电池，94.24瓦时,NULL,19.9mm,FHD，LED背光，IPS广视角雾面液晶显示屏,支持802.11ac无线协议,2×2W立体声音响,1920x1080,2017年07月,250mm,NULL,NULL,家用,3×USB3.0，USB3.1 Type-C接口,356.4mm,2.1Kg,安全锁孔,800-820-0926;0755-2399-0185,周一至周五 上午9:00-12:00 ， 下午13:00-18:00 法定节假日除外,NULL,100V-240V 150W 自适应交流电源适配器,整机免费保修2年，电池保修1年,杜比Digital Plus家庭影院音效技术,无内置光驱,NULL,NULL,NULL,Intel HM175,NULL,游戏本，影音娱乐本,预装Windows 10,NULL,2年,黑色，橙色，绿色,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电池 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,多合1读卡器,16:9,耳机/麦克风二合一接口,NULL,支持，蓝牙4.2模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,HD视讯镜头,NULL,售后服务由品牌厂商提供，支持全国联保，可享有三包服务。如出现产品质量问题或故障，您可查询最近的维修点，由厂商售后解决。也可凭厂商维修中心或特约维修点所提供的质量检测证明，享受7日内退货，15日内换货。超过15日又在质保期内，可享受免费保修等三包服务政策。技嘉笔记本主要整机保修2年，电池保修1年。进入官网>>,15.6英寸,NULL,32GB,视具体使用环境而定,HDMI，Mini DisplayPort,NULL,NULL,NULL,不支持触控,NULL,Gigabyte Fusion彩色单点背光键盘,USB转RJ45（网络接口），电源接口
技嘉赢刃 AERO 15（8GB/512GB）,赢刃 AERO 15系列,http://detail.zol.com.cn/notebook/index1180944.shtml,https://2c.zol-img.com.cn/product/185_80x60/448/cezsT7Cyrld0U.jpg,1.4万,正常,8896,Intel 酷睿i7 7700HQ,英特尔 酷睿i7 7代系列,2.8GHz,3.8GHz,四核心/八线程,6MB,DMI 8 GT/s,Skylake,14nm,45W,8GB（8GB×1）,DDR4 2400MHz,2xSO-DIMM,512GB,SSD固态硬盘,8851,双显卡（发烧级独立显卡＋集成显卡）,NVIDIA GeForce GTX 1060＋Intel GMA HD 630,6GB,GDDR5,192bit,复合材质,NULL,NULL,锂电池，94.24瓦时,NULL,19.9mm,FHD，LED背光，IPS广视角雾面液晶显示屏,支持802.11ac无线协议,2×2W立体声音响,1920x1080,2017年07月,250mm,NULL,NULL,家用,3×USB3.0，USB3.1 Type-C接口,356.4mm,2.1Kg,安全锁孔,800-820-0926;0755-2399-0185,周一至周五 上午9:00-12:00 ， 下午13:00-18:00 法定节假日除外,NULL,100V-240V 150W 自适应交流电源适配器,整机免费保修2年，电池保修1年,杜比Digital Plus家庭影院音效技术,无内置光驱,NULL,NULL,NULL,Intel HM175,NULL,游戏本，影音娱乐本,DOS,NULL,2年,黑色，橙色，绿色,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电池 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,多合1读卡器,16:9,耳机/麦克风二合一接口,NULL,支持，蓝牙4.2模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,HD视讯镜头,NULL,售后服务由品牌厂商提供，支持全国联保，可享有三包服务。如出现产品质量问题或故障，您可查询最近的维修点，由厂商售后解决。也可凭厂商维修中心或特约维修点所提供的质量检测证明，享受7日内退货，15日内换货。超过15日又在质保期内，可享受免费保修等三包服务政策。技嘉笔记本主要整机保修2年，电池保修1年。进入官网>>,15.6英寸,NULL,32GB,视具体使用环境而定,HDMI，Mini DisplayPort,NULL,NULL,NULL,不支持触控,NULL,Gigabyte Fusion彩色单点背光键盘,USB转RJ45（网络接口），电源接口
