型号,系列,网址,图片,价格,状态,CPU跑分,CPU型号,CPU系列,CPU主频,最高睿频,核心/线程数,三级缓存,总线规格,核心架构,制程工艺,功耗,内存容量,内存类型,插槽数量,硬盘容量,硬盘描述,显卡跑分,显卡类型,显卡芯片,显存容量,显存类型,显存位宽,外壳材质,可选配件,网络通信,电池类型,基本参数,厚度,屏幕技术,无线网卡,扬声器,屏幕分辨率,上市时间,宽度,工作温度,其它特点,产品类型,数据接口,长度,笔记本重量,安全性能,客服电话,电话备注,人脸识别,电源适配器,质保备注,音频系统,光驱类型,笔记本附件,存储温度,有线网卡,主板芯片组,显卡,产品定位,操作系统,电源描述,质保时间,外壳描述,处理器,输入设备,指取设备,保修政策,包装清单,外观,附带软件,保修信息,读卡器,显示比例,音频接口,工作湿度,蓝牙,指纹识别,环境要求,麦克风,变形方式,其他,扩展插槽,摄像头,存储设备,详细内容,屏幕尺寸,商用技术,最大内存容量,续航时间,视频接口,特色功能,显示屏,多媒体设备,触控屏,I/O接口,键盘描述,其它接口
清华同方锋锐X30-S,锋锐X30系列,http://detail.zol.com.cn/notebook/index1204954.shtml,https://2d.zol-img.com.cn/product/188_80x60/303/ceJrOlBXHdnQE.jpg,4799,正常,4432,Intel 酷睿i7 6500U,英特尔 酷睿i7 6代系列,2.5GHz,3.1GHz,双核心/四线程,4MB,NULL,Skylake,14nm,15W,8GB（4GB×2）,DDR3L（低电压版）1600MHz,2xSO-DIMM,256GB,SSD固态硬盘,393,核芯显卡,Intel GMA HD（集成于处理器）,共享内存容量,无,NULL,镁铝合金,NULL,NULL,4芯锂电池,NULL,20.5mm,FHD，LED背光,内置无线网卡,内置扬声器,1920x1080,2017年09月,226mm,NULL,NULL,商用,1×USB2.0+2×USB3.0,319mm,1.15Kg,NULL,400-610-5888,9:00-18:00,NULL,100V-240V 自适应交流电源适配器,2年有限保修，完美屏幕全无亮点特别服务,内置音效芯片,无内置光驱,NULL,NULL,1000Mbps以太网卡,NULL,NULL,商务办公本，时尚轻薄本,预装Windows 10 Home Basic 64bit（64位家庭普通版）,NULL,2年,黑色,NULL,NULL,触摸板,全国联保，享受三包,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,3合1读卡器,16:9,耳机输出接口，麦克风输入接口,NULL,支持，蓝牙4.0模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,集成摄像头,NULL,清华同方笔记本电脑全面执行国家有关部门颁布的《微型计算机商品修理更换退货责任规定》（以下简称为“三包规定”）中规定的微型计算机（笔记本微型机）“三包”规定条款。购买的清华同方笔记本电脑指定机型，除享有微机“三包”规定的退换货权利外，还可以享受同方指定机型的 “1年保换”三包升级服务承诺。进入官网>>,13.3英寸,NULL,16GB,2-5小时，视具体使用环境而定,VGA，HDMI,NULL,NULL,NULL,不支持触控,NULL,全尺寸键盘,RJ45（网络接口），电源接口
清华同方锋锐X30-M,锋锐X30系列,http://detail.zol.com.cn/notebook/index1183488.shtml,https://2c.zol-img.com.cn/product/186_80x60/996/ceApJ8j9PmoVA.jpg,3799,正常,4009,Intel 酷睿i5 6200U,英特尔 酷睿i5 6代系列,2.3GHz,2.8GHz,双核心/四线程,3MB,NULL,Skylake,14nm,15W,8GB（8GB×1）,DDR3L（低电压版）1600MHz,2xSO-DIMM,256GB,SSD固态硬盘,393,核芯显卡,Intel GMA HD（集成于处理器）,共享内存容量,无,NULL,镁铝合金,NULL,NULL,4芯锂电池,NULL,20.5mm,FHD，LED背光,内置无线网卡,内置扬声器,1920x1080,2017年09月,226mm,NULL,NULL,商用,1×USB2.0+2×USB3.0,319mm,1.15Kg,NULL,400-610-5888,9:00-18:00,NULL,100V-240V 自适应交流电源适配器,2年有限保修，完美屏幕全无亮点特别服务,内置音效芯片,无内置光驱,NULL,NULL,1000Mbps以太网卡,NULL,NULL,商务办公本，时尚轻薄本,预装Windows 10 Home Basic 64bit（64位家庭普通版）,NULL,2年,黑色,NULL,NULL,触摸板,全国联保，享受三包,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,3合1读卡器,16:9,耳机输出接口，麦克风输入接口,NULL,支持，蓝牙4.0模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,集成摄像头,NULL,清华同方笔记本电脑全面执行国家有关部门颁布的《微型计算机商品修理更换退货责任规定》（以下简称为“三包规定”）中规定的微型计算机（笔记本微型机）“三包”规定条款。购买的清华同方笔记本电脑指定机型，除享有微机“三包”规定的退换货权利外，还可以享受同方指定机型的 “1年保换”三包升级服务承诺。进入官网>>,13.3英寸,NULL,16GB,2-5小时，视具体使用环境而定,VGA，HDMI,NULL,NULL,NULL,不支持触控,NULL,全尺寸键盘,RJ45（网络接口），电源接口
清华同方锋锐X30-S,锋锐X30系列,http://detail.zol.com.cn/notebook/index1204954.shtml,https://2d.zol-img.com.cn/product/188_80x60/303/ceJrOlBXHdnQE.jpg,4799,正常,4432,Intel 酷睿i7 6500U,英特尔 酷睿i7 6代系列,2.5GHz,3.1GHz,双核心/四线程,4MB,NULL,Skylake,14nm,15W,8GB（4GB×2）,DDR3L（低电压版）1600MHz,2xSO-DIMM,256GB,SSD固态硬盘,393,核芯显卡,Intel GMA HD（集成于处理器）,共享内存容量,无,NULL,镁铝合金,NULL,NULL,4芯锂电池,NULL,20.5mm,FHD，LED背光,内置无线网卡,内置扬声器,1920x1080,2017年09月,226mm,NULL,NULL,商用,1×USB2.0+2×USB3.0,319mm,1.15Kg,NULL,400-610-5888,9:00-18:00,NULL,100V-240V 自适应交流电源适配器,2年有限保修，完美屏幕全无亮点特别服务,内置音效芯片,无内置光驱,NULL,NULL,1000Mbps以太网卡,NULL,NULL,商务办公本，时尚轻薄本,预装Windows 10 Home Basic 64bit（64位家庭普通版）,NULL,2年,黑色,NULL,NULL,触摸板,全国联保，享受三包,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,3合1读卡器,16:9,耳机输出接口，麦克风输入接口,NULL,支持，蓝牙4.0模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,集成摄像头,NULL,清华同方笔记本电脑全面执行国家有关部门颁布的《微型计算机商品修理更换退货责任规定》（以下简称为“三包规定”）中规定的微型计算机（笔记本微型机）“三包”规定条款。购买的清华同方笔记本电脑指定机型，除享有微机“三包”规定的退换货权利外，还可以享受同方指定机型的 “1年保换”三包升级服务承诺。进入官网>>,13.3英寸,NULL,16GB,2-5小时，视具体使用环境而定,VGA，HDMI,NULL,NULL,NULL,不支持触控,NULL,全尺寸键盘,RJ45（网络接口），电源接口
清华同方锋锐X30-M,锋锐X30系列,http://detail.zol.com.cn/notebook/index1183488.shtml,https://2c.zol-img.com.cn/product/186_80x60/996/ceApJ8j9PmoVA.jpg,3799,正常,4009,Intel 酷睿i5 6200U,英特尔 酷睿i5 6代系列,2.3GHz,2.8GHz,双核心/四线程,3MB,NULL,Skylake,14nm,15W,8GB（8GB×1）,DDR3L（低电压版）1600MHz,2xSO-DIMM,256GB,SSD固态硬盘,393,核芯显卡,Intel GMA HD（集成于处理器）,共享内存容量,无,NULL,镁铝合金,NULL,NULL,4芯锂电池,NULL,20.5mm,FHD，LED背光,内置无线网卡,内置扬声器,1920x1080,2017年09月,226mm,NULL,NULL,商用,1×USB2.0+2×USB3.0,319mm,1.15Kg,NULL,400-610-5888,9:00-18:00,NULL,100V-240V 自适应交流电源适配器,2年有限保修，完美屏幕全无亮点特别服务,内置音效芯片,无内置光驱,NULL,NULL,1000Mbps以太网卡,NULL,NULL,商务办公本，时尚轻薄本,预装Windows 10 Home Basic 64bit（64位家庭普通版）,NULL,2年,黑色,NULL,NULL,触摸板,全国联保，享受三包,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,3合1读卡器,16:9,耳机输出接口，麦克风输入接口,NULL,支持，蓝牙4.0模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,集成摄像头,NULL,清华同方笔记本电脑全面执行国家有关部门颁布的《微型计算机商品修理更换退货责任规定》（以下简称为“三包规定”）中规定的微型计算机（笔记本微型机）“三包”规定条款。购买的清华同方笔记本电脑指定机型，除享有微机“三包”规定的退换货权利外，还可以享受同方指定机型的 “1年保换”三包升级服务承诺。进入官网>>,13.3英寸,NULL,16GB,2-5小时，视具体使用环境而定,VGA，HDMI,NULL,NULL,NULL,不支持触控,NULL,全尺寸键盘,RJ45（网络接口），电源接口
清华同方超锐 T45-GA-18002,超锐 T45系列,http://detail.zol.com.cn/notebook/index1101709.shtml,https://2c.zol-img.com.cn/product/165_80x60/256/celFnN8kZ6SxY.jpg,5250,[无货],4009,Intel 酷睿i5 6200U,英特尔 酷睿i5 6代系列,2.3GHz,2.8GHz,双核心/四线程,3MB,NULL,Skylake,14nm,15W,4GB,DDR3L（低电压版）,NULL,500GB,NULL,NULL,独立显卡,NULL,2GB,GDDR3,NULL,镁铝合金,NULL,NULL,6芯锂电池,NULL,NULL,LED背光,支持802.11b/g/n无线协议,内置扬声器,NULL,2015年10月,NULL,NULL,NULL,商用,1×USB2.0+2×USB3.0,NULL,NULL,NULL,400-610-5888,NULL,NULL,NULL,2年有限保修，完美屏幕全无亮点特别服务,内置音效芯片,内置DVD刻录机,NULL,NULL,1000Mbps以太网卡,NULL,NULL,商务办公本,预装Windows 7 Professional 64bit（64位专业版）,NULL,2年,黑色,NULL,NULL,触摸板,全国联保，享受三包,笔记本主机 x1电池 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,2合1读卡器,16:9,耳机输出接口，麦克风输入接口,NULL,NULL,NULL,NULL,内置麦克风,NULL,NULL,NULL,集成摄像头,NULL,清华同方笔记本电脑全面执行国家有关部门颁布的《微型计算机商品修理更换退货责任规定》（以下简称为“三包规定”）中规定的微型计算机（笔记本微型机）“三包”规定条款。购买的清华同方笔记本电脑指定机型，除享有微机“三包”规定的退换货权利外，还可以享受同方指定机型的 “1年保换”三包升级服务承诺。进入官网>>,14英寸,NULL,NULL,视具体使用环境而定,VGA，HDMI,NULL,NULL,NULL,不支持触控,NULL,NULL,RJ45（网络接口），电源接口
清华同方超锐 T45-GA-18003,超锐 T45系列,http://detail.zol.com.cn/notebook/index1101710.shtml,https://2d.zol-img.com.cn/product/165_80x60/257/ceiiIPc9O2DI.jpg,6050,[停产],4432,Intel 酷睿i7 6500U,英特尔 酷睿i7 6代系列,2.5GHz,3.1GHz,双核心/四线程,4MB,NULL,Skylake,14nm,15W,8GB,DDR3L（低电压版）,NULL,1TB,NULL,NULL,独立显卡,NULL,2GB,GDDR3,NULL,镁铝合金,NULL,NULL,6芯锂电池,NULL,NULL,LED背光,支持802.11b/g/n无线协议,内置扬声器,NULL,2015年10月,NULL,NULL,NULL,商用,1×USB2.0+2×USB3.0,NULL,NULL,NULL,400-610-5888,NULL,NULL,NULL,2年有限保修，完美屏幕全无亮点特别服务,内置音效芯片,内置DVD刻录机,NULL,NULL,1000Mbps以太网卡,NULL,NULL,商务办公本,预装Windows 7 Professional 64bit（64位专业版）,NULL,2年,黑色,NULL,NULL,触摸板,全国联保，享受三包,笔记本主机 x1电池 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,2合1读卡器,16:9,耳机输出接口，麦克风输入接口,NULL,NULL,NULL,NULL,内置麦克风,NULL,NULL,NULL,集成摄像头,NULL,清华同方笔记本电脑全面执行国家有关部门颁布的《微型计算机商品修理更换退货责任规定》（以下简称为“三包规定”）中规定的微型计算机（笔记本微型机）“三包”规定条款。购买的清华同方笔记本电脑指定机型，除享有微机“三包”规定的退换货权利外，还可以享受同方指定机型的 “1年保换”三包升级服务承诺。进入官网>>,14英寸,NULL,NULL,视具体使用环境而定,VGA，HDMI,NULL,NULL,NULL,不支持触控,NULL,NULL,RJ45（网络接口），电源接口
清华同方超锐 T45-GA-18001,超锐 T45系列,http://detail.zol.com.cn/notebook/index1101708.shtml,https://2a.zol-img.com.cn/product/165_80x60/254/ceDD2WuhALoW6.jpg,4550,[无货],3564,Intel 酷睿i3 6100U,英特尔 酷睿i3 6代系列,2.3GHz,NULL,双核心/四线程,3MB,NULL,Skylake,14nm,15W,4GB,DDR3L（低电压版）,NULL,500GB,NULL,NULL,独立显卡,NULL,2GB,GDDR3,NULL,镁铝合金,NULL,NULL,6芯锂电池,NULL,NULL,LED背光,支持802.11b/g/n无线协议,内置扬声器,NULL,2015年10月,NULL,NULL,NULL,商用,1×USB2.0+2×USB3.0,NULL,NULL,NULL,400-610-5888,NULL,NULL,NULL,2年有限保修，完美屏幕全无亮点特别服务,内置音效芯片,内置DVD刻录机,NULL,NULL,1000Mbps以太网卡,NULL,NULL,商务办公本,预装Windows 7 Professional 64bit（64位专业版）,NULL,2年,黑色,NULL,NULL,触摸板,全国联保，享受三包,笔记本主机 x1电池 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,2合1读卡器,16:9,耳机输出接口，麦克风输入接口,NULL,NULL,NULL,NULL,内置麦克风,NULL,NULL,NULL,集成摄像头,NULL,清华同方笔记本电脑全面执行国家有关部门颁布的《微型计算机商品修理更换退货责任规定》（以下简称为“三包规定”）中规定的微型计算机（笔记本微型机）“三包”规定条款。购买的清华同方笔记本电脑指定机型，除享有微机“三包”规定的退换货权利外，还可以享受同方指定机型的 “1年保换”三包升级服务承诺。进入官网>>,14英寸,NULL,NULL,视具体使用环境而定,VGA，HDMI,NULL,NULL,NULL,不支持触控,NULL,NULL,RJ45（网络接口），电源接口
清华同方超锐 T45-GA-18002,超锐 T45系列,http://detail.zol.com.cn/notebook/index1101709.shtml,https://2c.zol-img.com.cn/product/165_80x60/256/celFnN8kZ6SxY.jpg,5250,[无货],4009,Intel 酷睿i5 6200U,英特尔 酷睿i5 6代系列,2.3GHz,2.8GHz,双核心/四线程,3MB,NULL,Skylake,14nm,15W,4GB,DDR3L（低电压版）,NULL,500GB,NULL,NULL,独立显卡,NULL,2GB,GDDR3,NULL,镁铝合金,NULL,NULL,6芯锂电池,NULL,NULL,LED背光,支持802.11b/g/n无线协议,内置扬声器,NULL,2015年10月,NULL,NULL,NULL,商用,1×USB2.0+2×USB3.0,NULL,NULL,NULL,400-610-5888,NULL,NULL,NULL,2年有限保修，完美屏幕全无亮点特别服务,内置音效芯片,内置DVD刻录机,NULL,NULL,1000Mbps以太网卡,NULL,NULL,商务办公本,预装Windows 7 Professional 64bit（64位专业版）,NULL,2年,黑色,NULL,NULL,触摸板,全国联保，享受三包,笔记本主机 x1电池 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,2合1读卡器,16:9,耳机输出接口，麦克风输入接口,NULL,NULL,NULL,NULL,内置麦克风,NULL,NULL,NULL,集成摄像头,NULL,清华同方笔记本电脑全面执行国家有关部门颁布的《微型计算机商品修理更换退货责任规定》（以下简称为“三包规定”）中规定的微型计算机（笔记本微型机）“三包”规定条款。购买的清华同方笔记本电脑指定机型，除享有微机“三包”规定的退换货权利外，还可以享受同方指定机型的 “1年保换”三包升级服务承诺。进入官网>>,14英寸,NULL,NULL,视具体使用环境而定,VGA，HDMI,NULL,NULL,NULL,不支持触控,NULL,NULL,RJ45（网络接口），电源接口
清华同方超锐 T45-GA-18003,超锐 T45系列,http://detail.zol.com.cn/notebook/index1101710.shtml,https://2d.zol-img.com.cn/product/165_80x60/257/ceiiIPc9O2DI.jpg,6050,[停产],4432,Intel 酷睿i7 6500U,英特尔 酷睿i7 6代系列,2.5GHz,3.1GHz,双核心/四线程,4MB,NULL,Skylake,14nm,15W,8GB,DDR3L（低电压版）,NULL,1TB,NULL,NULL,独立显卡,NULL,2GB,GDDR3,NULL,镁铝合金,NULL,NULL,6芯锂电池,NULL,NULL,LED背光,支持802.11b/g/n无线协议,内置扬声器,NULL,2015年10月,NULL,NULL,NULL,商用,1×USB2.0+2×USB3.0,NULL,NULL,NULL,400-610-5888,NULL,NULL,NULL,2年有限保修，完美屏幕全无亮点特别服务,内置音效芯片,内置DVD刻录机,NULL,NULL,1000Mbps以太网卡,NULL,NULL,商务办公本,预装Windows 7 Professional 64bit（64位专业版）,NULL,2年,黑色,NULL,NULL,触摸板,全国联保，享受三包,笔记本主机 x1电池 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,2合1读卡器,16:9,耳机输出接口，麦克风输入接口,NULL,NULL,NULL,NULL,内置麦克风,NULL,NULL,NULL,集成摄像头,NULL,清华同方笔记本电脑全面执行国家有关部门颁布的《微型计算机商品修理更换退货责任规定》（以下简称为“三包规定”）中规定的微型计算机（笔记本微型机）“三包”规定条款。购买的清华同方笔记本电脑指定机型，除享有微机“三包”规定的退换货权利外，还可以享受同方指定机型的 “1年保换”三包升级服务承诺。进入官网>>,14英寸,NULL,NULL,视具体使用环境而定,VGA，HDMI,NULL,NULL,NULL,不支持触控,NULL,NULL,RJ45（网络接口），电源接口
清华同方超锐 T45-GA-18001,超锐 T45系列,http://detail.zol.com.cn/notebook/index1101708.shtml,https://2a.zol-img.com.cn/product/165_80x60/254/ceDD2WuhALoW6.jpg,4550,[无货],3564,Intel 酷睿i3 6100U,英特尔 酷睿i3 6代系列,2.3GHz,NULL,双核心/四线程,3MB,NULL,Skylake,14nm,15W,4GB,DDR3L（低电压版）,NULL,500GB,NULL,NULL,独立显卡,NULL,2GB,GDDR3,NULL,镁铝合金,NULL,NULL,6芯锂电池,NULL,NULL,LED背光,支持802.11b/g/n无线协议,内置扬声器,NULL,2015年10月,NULL,NULL,NULL,商用,1×USB2.0+2×USB3.0,NULL,NULL,NULL,400-610-5888,NULL,NULL,NULL,2年有限保修，完美屏幕全无亮点特别服务,内置音效芯片,内置DVD刻录机,NULL,NULL,1000Mbps以太网卡,NULL,NULL,商务办公本,预装Windows 7 Professional 64bit（64位专业版）,NULL,2年,黑色,NULL,NULL,触摸板,全国联保，享受三包,笔记本主机 x1电池 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,2合1读卡器,16:9,耳机输出接口，麦克风输入接口,NULL,NULL,NULL,NULL,内置麦克风,NULL,NULL,NULL,集成摄像头,NULL,清华同方笔记本电脑全面执行国家有关部门颁布的《微型计算机商品修理更换退货责任规定》（以下简称为“三包规定”）中规定的微型计算机（笔记本微型机）“三包”规定条款。购买的清华同方笔记本电脑指定机型，除享有微机“三包”规定的退换货权利外，还可以享受同方指定机型的 “1年保换”三包升级服务承诺。进入官网>>,14英寸,NULL,NULL,视具体使用环境而定,VGA，HDMI,NULL,NULL,NULL,不支持触控,NULL,NULL,RJ45（网络接口），电源接口
