型号,系列,网址,图片,价格,状态,CPU跑分,CPU型号,CPU系列,CPU主频,最高睿频,核心/线程数,三级缓存,总线规格,核心架构,制程工艺,功耗,内存容量,内存类型,插槽数量,硬盘容量,硬盘描述,显卡跑分,显卡类型,显卡芯片,显存容量,显存类型,显存位宽,外壳材质,可选配件,网络通信,电池类型,基本参数,厚度,屏幕技术,无线网卡,扬声器,屏幕分辨率,上市时间,宽度,工作温度,其它特点,产品类型,数据接口,长度,笔记本重量,安全性能,客服电话,电话备注,人脸识别,电源适配器,质保备注,音频系统,光驱类型,笔记本附件,存储温度,有线网卡,主板芯片组,显卡,产品定位,操作系统,电源描述,质保时间,外壳描述,处理器,输入设备,指取设备,保修政策,包装清单,外观,附带软件,保修信息,读卡器,显示比例,音频接口,工作湿度,蓝牙,指纹识别,环境要求,麦克风,变形方式,其他,扩展插槽,摄像头,存储设备,详细内容,屏幕尺寸,商用技术,最大内存容量,续航时间,视频接口,特色功能,显示屏,多媒体设备,触控屏,I/O接口,键盘描述,其它接口
神舟战神K650D-i7D3,战神 K650系列,http://detail.zol.com.cn/notebook/index399371.shtml,https://2c.zol-img.com.cn/product/176_80x60/586/ceEEzkV2ap2JE.jpg,4099,正常,7988,Intel 酷睿i7 4710MQ,英特尔 酷睿i7 4代系列,2.5GHz,3.5GHz,四核心/八线程,6MB,DMI 5 GT/s,Haswell,22nm,47W,4GB（4GB×1）,DDR3L（低电压版）1600MHz,2xSO-DIMM,500GB,7200转,1764,双显卡（性能级独立显卡＋集成显卡）,NVIDIA GeForce GTX 950M＋Intel GMA HD 4600,2GB,GDDR3,128bit,复合材质,NULL,NULL,6芯锂电池，4400毫安,NULL,29mm,FHD，LED背光，IPS全高清屏幕,支持802.11b/g/n无线协议,立体声扬声器,1920x1080,2015年04月,250mm,NULL,NULL,家用,1×USB2.0+2×USB3.0（其中一个e-SATA共用接口）,374mm,2.3Kg,NULL,400-106-9999,9:00-18:00（节假日休息）,NULL,100V-240V 自适应交流电源适配器,主要部件2年，电池6个月，其它部件1年免费保修,内置音效芯片,内置DVD刻录机,NULL,NULL,1000Mbps以太网卡,Intel HM86,NULL,游戏本，影音娱乐本,NULL,NULL,2年,灰色,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电池 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,4合1读卡器（MMC，SD，SDHC，SDXC）,16:9,耳机输出接口，麦克风输入接口,NULL,NULL,NULL,NULL,内置麦克风,NULL,NULL,NULL,集成100万像素摄像头,NULL,神舟笔记本电脑实行实行客户送修的服务方式，用户自购机之日起（以正式购机发票为准），您所购买的神舟家用笔记本出现任何非人为硬件故障时，可享受2年主要部件、随机电池6个月、其它部件1年免费保修。其中主要部件包含CPU、内存、硬盘、主板、电源、适配器、显卡、笔记本屏以及键盘。神舟电脑及授权服务站在收到您的故障产品后，将以最快的速度检测维修，但维修时间将视当地的实际备料状况而定。进入官网>>,15.6英寸,NULL,16GB,视具体使用环境而定,VGA，HDMI,NULL,NULL,NULL,不支持触控,NULL,孤岛式键盘,RJ45（网络接口），电源接口
神舟战神K650D-i5D3,战神 K650系列,http://detail.zol.com.cn/notebook/index511456.shtml,https://2e.zol-img.com.cn/product/178_80x60/152/cefay2LqS48T.jpg,3699,正常,4185,Intel 酷睿i5 4210M,英特尔 酷睿i5 4代系列,2.6GHz,3.2GHz,双核心/四线程,3MB,DMI 5 GT/s,Haswell,22nm,37W,4GB（4GB×1）,DDR3L（低电压版）,2xSO-DIMM,500GB,NULL,1764,性能级独立显卡,NVIDIA GeForce GTX 950M,2GB,GDDR3,128bit,复合材质,NULL,NULL,锂电池,NULL,29mm,FHD，LED背光,内置无线网卡,立体声扬声器,1920x1080,2015年08月,250mm,NULL,NULL,家用,1×USB2.0+2×USB3.0，e-SATA接口,374mm,2.3Kg,NULL,400-106-9999,9:00-18:00（节假日休息）,NULL,100V-240V 自适应交流电源适配器,主要部件2年，电池6个月，其它部件1年免费保修,内置音效芯片,NULL,NULL,NULL,1000Mbps以太网卡,Intel HM86,NULL,游戏本，影音娱乐本,NULL,NULL,2年,黑色,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电池 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,4合1读卡器（MMC，SD，SDHC，SDXC）,16:9,耳机输出接口，麦克风输入接口,NULL,NULL,NULL,NULL,内置麦克风,NULL,NULL,NULL,集成摄像头,NULL,神舟笔记本电脑实行实行客户送修的服务方式，用户自购机之日起（以正式购机发票为准），您所购买的神舟家用笔记本出现任何非人为硬件故障时，可享受2年主要部件、随机电池6个月、其它部件1年免费保修。其中主要部件包含CPU、内存、硬盘、主板、电源、适配器、显卡、笔记本屏以及键盘。神舟电脑及授权服务站在收到您的故障产品后，将以最快的速度检测维修，但维修时间将视当地的实际备料状况而定。进入官网>>,15.6英寸,NULL,NULL,视具体使用环境而定,VGA，HDMI,NULL,NULL,NULL,不支持触控,NULL,孤岛式键盘,RJ45（网络接口），电源接口
神舟战神K650D-G4D2,战神 K650系列,http://detail.zol.com.cn/notebook/index1166291.shtml,https://2b.zol-img.com.cn/product/181_80x60/183/ceeWnQxOFgQwM.jpg,3699,正常,4912,Intel 奔腾双核 G4560,英特尔 奔腾双核,3.5GHz,NULL,双核心/四线程,3MB,DMI3 8 GT/s,Kaby Lake,14nm,54W,4GB（4GB×1）,DDR4,NULL,500GB,机械硬盘,1764,性能级独立显卡,NVIDIA GeForce GTX 950M,4GB,GDDR5,128bit,复合材质,NULL,NULL,6芯锂电池,NULL,14-31.4mm,1080P全高清屏幕,内置M.2无线,立体声扬声器,1920x1080,2017年03月,252mm,NULL,NULL,家用,1×USB2.0+3×USB3.0,374mm,2.5Kg,NULL,400-106-9999,9:00-18:00（节假日休息）,NULL,100V-240V 自适应交流电源适配器,主要部件2年，电池6个月，其它部件1年免费保修,内置音效芯片,无内置光驱,NULL,NULL,1000Mbps以太网卡,Intel H170,NULL,游戏本，影音娱乐本,NULL,NULL,2年,深灰色,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电池 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,多合1读卡器,16:9,耳机输出接口，麦克风输入接口,NULL,NULL,NULL,NULL,内置麦克风,NULL,NULL,NULL,高清摄像头,NULL,神舟笔记本电脑实行实行客户送修的服务方式，用户自购机之日起（以正式购机发票为准），您所购买的神舟家用笔记本出现任何非人为硬件故障时，可享受2年主要部件、随机电池6个月、其它部件1年免费保修。其中主要部件包含CPU、内存、硬盘、主板、电源、适配器、显卡、笔记本屏以及键盘。神舟电脑及授权服务站在收到您的故障产品后，将以最快的速度检测维修，但维修时间将视当地的实际备料状况而定。进入官网>>,15.6英寸,NULL,32GB,2-6小时，视具体使用环境而定,HDMI,NULL,NULL,NULL,不支持触控,NULL,孤岛式键盘,RJ45（网络接口），电源接口，DC-in接口
神舟战神K650D-i5D2,战神 K650系列,http://detail.zol.com.cn/notebook/index397373.shtml,https://2c.zol-img.com.cn/product/178_80x60/156/ceTuwhAMNW4vg.jpg,3899,正常,4185,Intel 酷睿i5 4210M,英特尔 酷睿i5 4代系列,2.6GHz,3.2GHz,双核心/四线程,3MB,DMI 5 GT/s,Haswell,22nm,37W,4GB（4GB×1）,DDR3L（低电压版）1600MHz,2xSO-DIMM,500GB,7200转,1764,双显卡（性能级独立显卡＋集成显卡）,NVIDIA GeForce GTX 950M＋Intel GMA HD 4600,2GB,GDDR3,128bit,复合材质,NULL,NULL,6芯锂电池，4400毫安,NULL,29mm,FHD，LED背光，IPS全高清屏,支持802.11b/g/n无线协议,立体声扬声器,1920x1080,2015年02月,250mm,NULL,NULL,家用,1×USB2.0+2×USB3.0，e-SATA接口,374mm,2.3Kg,NULL,400-106-9999,9:00-18:00（节假日休息）,NULL,100V-240V 自适应交流电源适配器,主要部件2年，电池6个月，其它部件1年免费保修,内置音效芯片,内置DVD刻录机，支持DVD SuperMulti双层刻录,NULL,NULL,1000Mbps以太网卡,Intel HM86,NULL,游戏本，影音娱乐本,NULL,NULL,2年,黑色,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电池 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,4合1读卡器（MMC，SD，SDHC，SDXC）,16:9,耳机输出接口，麦克风输入接口,NULL,NULL,NULL,NULL,内置麦克风,NULL,NULL,NULL,集成130万像素摄像头,NULL,神舟笔记本电脑实行实行客户送修的服务方式，用户自购机之日起（以正式购机发票为准），您所购买的神舟家用笔记本出现任何非人为硬件故障时，可享受2年主要部件、随机电池6个月、其它部件1年免费保修。其中主要部件包含CPU、内存、硬盘、主板、电源、适配器、显卡、笔记本屏以及键盘。神舟电脑及授权服务站在收到您的故障产品后，将以最快的速度检测维修，但维修时间将视当地的实际备料状况而定。进入官网>>,15.6英寸,NULL,16GB,视具体使用环境而定,VGA，HDMI,NULL,NULL,NULL,不支持触控,NULL,孤岛式键盘,RJ45（网络接口），电源接口
神舟战神K650D-G4D1,战神 K650系列,http://detail.zol.com.cn/notebook/index1158226.shtml,https://2a.zol-img.com.cn/product/178_80x60/160/ceL5EI7Ju6JXI.jpg,3299,正常,3577,Intel 奔腾双核 G4400,英特尔 奔腾双核,3.3GHz,NULL,双核心/双线程,3MB,DMI 8 GT/s,Skylake,14nm,54W,4GB（4GB×1）,DDR4,2xSO-DIMM,500GB,NULL,1764,性能级独立显卡,NVIDIA GeForce GTX 950M,4GB,GDDR5,128bit,复合材质,NULL,NULL,6芯锂电池,NULL,14-31.4mm,FHD，LED背光,支持802.11b/g/n无线协议,立体声扬声器,1920x1080,2016年10月,252mm,NULL,NULL,家用,1×USB2.0+3×USB3.0,374mm,2.5Kg,NULL,400-106-9999,9:00-18:00（节假日休息）,NULL,100V-240V 自适应交流电源适配器,主要部件2年，电池6个月，其它部件1年免费保修,内置音效芯片,无内置光驱,NULL,NULL,1000Mbps以太网卡,Intel H170,NULL,游戏本，影音娱乐本,NULL,NULL,2年,灰色,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电池 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,6合一读卡器,16:9,耳机输出接口，麦克风输入接口,NULL,NULL,NULL,NULL,内置麦克风,NULL,NULL,NULL,集成100万像素摄像头,NULL,神舟笔记本电脑实行实行客户送修的服务方式，用户自购机之日起（以正式购机发票为准），您所购买的神舟家用笔记本出现任何非人为硬件故障时，可享受2年主要部件、随机电池6个月、其它部件1年免费保修。其中主要部件包含CPU、内存、硬盘、主板、电源、适配器、显卡、笔记本屏以及键盘。神舟电脑及授权服务站在收到您的故障产品后，将以最快的速度检测维修，但维修时间将视当地的实际备料状况而定。进入官网>>,15.6英寸,NULL,32GB,视具体使用环境而定,HDMI,NULL,NULL,NULL,不支持触控,NULL,孤岛式键盘,RJ45（网络接口），电源接口
神舟战神K650D-SL5D1,战神 K650系列,http://detail.zol.com.cn/notebook/index1153926.shtml,https://2d.zol-img.com.cn/product/180_80x60/621/ce4hMJfI4HXk.jpg,3999,正常,6068,Intel 酷睿i5 6300HQ,英特尔 酷睿i5 6代系列,2.3GHz,3.2GHz,四核心/四线程,NULL,DMI 8 GT/s,Skylake,14nm,45W,4GB（4GB×1）,DDR4 2133MHz,2xSO-DIMM,1TB,5400转,1764,性能级独立显卡,NVIDIA GeForce GTX 950M,2GB,GDDR3,128bit,复合材质,NULL,NULL,6芯锂电池,NULL,14-31.4mm,FHD，LED背光,支持802.11b/g/n无线协议,立体声扬声器,1920x1080,2016年08月,252mm,NULL,NULL,家用,1×USB2.0+3×USB3.0,374mm,2.5Kg,NULL,400-106-9999,9:00-18:00（节假日休息）,NULL,100V-240V 自适应交流电源适配器,主要部件2年，电池6个月，其它部件1年免费保修,内置音效芯片,无内置光驱,NULL,NULL,1000Mbps以太网卡,Intel HM170,NULL,游戏本，影音娱乐本,NULL,NULL,2年,灰色,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电池 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,6合一读卡器,16:9,耳机输出接口，麦克风输入接口,NULL,NULL,NULL,NULL,内置麦克风,NULL,NULL,NULL,集成100万像素摄像头,NULL,神舟笔记本电脑实行实行客户送修的服务方式，用户自购机之日起（以正式购机发票为准），您所购买的神舟家用笔记本出现任何非人为硬件故障时，可享受2年主要部件、随机电池6个月、其它部件1年免费保修。其中主要部件包含CPU、内存、硬盘、主板、电源、适配器、显卡、笔记本屏以及键盘。神舟电脑及授权服务站在收到您的故障产品后，将以最快的速度检测维修，但维修时间将视当地的实际备料状况而定。进入官网>>,15.6英寸,NULL,32GB,视具体使用环境而定,HDMI,NULL,NULL,NULL,不支持触控,NULL,孤岛式键盘,RJ45（网络接口），电源接口
神舟战神K650D-A29D3,战神 K650系列,http://detail.zol.com.cn/notebook/index1100409.shtml,https://2a.zol-img.com.cn/product/176_80x60/602/ceaTUzWPPMlaY.jpg,2699,正常,2008,Intel 赛扬双核 2950M,英特尔 赛扬 双核,2GHz,NULL,双核心/双线程,2MB,DMI 5 GT/s,Haswell,22nm,37W,4GB（4GB×1）,DDR3L（低电压版）1600MHz,2xSO-DIMM,500GB,NULL,1764,双显卡（性能级独立显卡＋集成显卡）,NVIDIA GeForce GTX 950M＋Intel GMA HD 4600,2GB,GDDR3,128bit,复合材质,NULL,NULL,6芯锂电池，4400毫安,NULL,29mm,FHD，LED背光，IPS全高清显示屏,支持802.11b/g/n无线协议,立体声扬声器,1920x1080,2015年09月,250mm,NULL,NULL,家用,1×USB2.0+2×USB3.0，e-SATA接口,374mm,2.3Kg,NULL,400-106-9999,9:00-18:00（节假日休息）,NULL,NULL,主要部件2年，电池6个月，其它部件1年免费保修,内置音效芯片,无内置光驱,NULL,NULL,1000Mbps以太网卡,Intel HM86,NULL,游戏本，影音娱乐本,NULL,NULL,2年,黑色,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电池 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,4合1读卡器,16:9,耳机输出接口，麦克风输入接口,NULL,NULL,NULL,NULL,内置麦克风,NULL,NULL,NULL,集成130万像素摄像头,NULL,神舟笔记本电脑实行实行客户送修的服务方式，用户自购机之日起（以正式购机发票为准），您所购买的神舟家用笔记本出现任何非人为硬件故障时，可享受2年主要部件、随机电池6个月、其它部件1年免费保修。其中主要部件包含CPU、内存、硬盘、主板、电源、适配器、显卡、笔记本屏以及键盘。神舟电脑及授权服务站在收到您的故障产品后，将以最快的速度检测维修，但维修时间将视当地的实际备料状况而定。进入官网>>,15.6英寸,NULL,16GB,视具体使用环境而定,VGA，HDMI,NULL,NULL,NULL,不支持触控,NULL,孤岛式键盘,RJ45（网络接口），电源接口
神舟战神K650D-G4D3,战神 K650系列,http://detail.zol.com.cn/notebook/index1203152.shtml,https://2b.zol-img.com.cn/product/187_80x60/13/cefemU3WctJpQ.jpg,3699,正常,3793,Intel 奔腾双核 G4600,英特尔 奔腾双核,3.5GHz,NULL,双核心/四线程,3MB,DMI 8 GT/s,Kaby Lake,14nm,51W,4GB（4GB×1）,DDR4,NULL,1TB,机械硬盘,1764,性能级独立显卡,NVIDIA GeForce GTX 950M,2GB,GDDR5,128bit,复合材质,NULL,NULL,6芯锂电池,NULL,14-31.4mm,1080P全高清屏,内置M.2无线,立体声扬声器,1920x1080,2017年03月,252mm,NULL,NULL,家用,1×USB2.0+3×USB3.0,374mm,2.5Kg,NULL,400-106-9999,9:00-18:00（节假日休息）,NULL,100V-240V 自适应交流电源适配器,主要部件2年，电池6个月，其它部件1年免费保修,内置音效芯片,无内置光驱,NULL,NULL,1000Mbps以太网卡,NULL,NULL,游戏本，影音娱乐本,NULL,NULL,2年,深灰色,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电池 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,多合1读卡器,16:9,耳机输出接口，麦克风输入接口,NULL,NULL,NULL,NULL,内置麦克风,NULL,NULL,NULL,高清摄像头,NULL,神舟笔记本电脑实行实行客户送修的服务方式，用户自购机之日起（以正式购机发票为准），您所购买的神舟家用笔记本出现任何非人为硬件故障时，可享受2年主要部件、随机电池6个月、其它部件1年免费保修。其中主要部件包含CPU、内存、硬盘、主板、电源、适配器、显卡、笔记本屏以及键盘。神舟电脑及授权服务站在收到您的故障产品后，将以最快的速度检测维修，但维修时间将视当地的实际备料状况而定。进入官网>>,15.6英寸,NULL,32GB,2-6小时，视具体使用环境而定,HDMI,NULL,NULL,NULL,不支持触控,NULL,孤岛式键盘,RJ45（网络接口），电源接口，DC-in接口
神舟战神K650D-i3D3,战神 K650系列,http://detail.zol.com.cn/notebook/index1100369.shtml,https://2b.zol-img.com.cn/product/176_80x60/603/ceeqy43o9AZwo.jpg,3199,正常,3237,Intel 酷睿i3 4000M,英特尔 酷睿i3 4代系列,2.4GHz,NULL,双核心/四线程,3MB,DMI 5 GT/s,Haswell,22nm,37W,4GB（4GB×1）,DDR3L（低电压版）1600MHz,2xSO-DIMM,500GB,7200转,1764,双显卡（性能级独立显卡＋集成显卡）,NVIDIA GeForce GTX 950M＋Intel GMA HD 4600,2GB,GDDR3,128bit,复合材质,NULL,NULL,6芯锂电池，4400毫安,NULL,29mm,FHD，LED背光，IPS全高清屏,支持802.11b/g/n无线协议,立体声扬声器,1920x1080,2015年09月,250mm,NULL,NULL,家用,1×USB2.0+2×USB3.0（其中一个e-SATA共用接口）,374mm,2.3Kg,NULL,400-106-9999,9:00-18:00（节假日休息）,NULL,NULL,主要部件2年，电池6个月，其它部件1年免费保修,内置音效芯片,内置DVD刻录机,NULL,NULL,1000Mbps以太网卡,Intel HM86,NULL,游戏本，影音娱乐本,NULL,NULL,2年,灰色,NULL,NULL,触摸板（具备左右按键）,全国联保，享受三包服务,笔记本主机 x1电池 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,4合1读卡器（MMC，SD，SDHC，SDXC）,16:9,耳机输出接口，麦克风输入接口,NULL,NULL,NULL,NULL,内置麦克风,NULL,NULL,NULL,集成100万像素摄像头,NULL,神舟笔记本电脑实行实行客户送修的服务方式，用户自购机之日起（以正式购机发票为准），您所购买的神舟家用笔记本出现任何非人为硬件故障时，可享受2年主要部件、随机电池6个月、其它部件1年免费保修。其中主要部件包含CPU、内存、硬盘、主板、电源、适配器、显卡、笔记本屏以及键盘。神舟电脑及授权服务站在收到您的故障产品后，将以最快的速度检测维修，但维修时间将视当地的实际备料状况而定。进入官网>>,15.6英寸,NULL,16GB,视具体使用环境而定,VGA，HDMI,NULL,NULL,NULL,不支持触控,NULL,孤岛式键盘,RJ45（网络接口），电源接口
神舟战神K650D-G6D1,战神 K650系列,http://detail.zol.com.cn/notebook/index1158146.shtml,https://2d.zol-img.com.cn/product/178_80x60/163/ceIhMHkK6Nenk.jpg,4099,正常,6751,Intel 酷睿i5 6400,英特尔 酷睿i5 6代系列,2.7GHz,3.3GHz,四核心/四线程,6MB,DMI 8 GT/s,Skylake,14nm,65W,4GB（4GB×1）,DDR4,2xSO-DIMM,500GB,NULL,1764,性能级独立显卡,NVIDIA GeForce GTX 950M,4GB,GDDR5,128bit,复合材质,NULL,NULL,6芯锂电池,NULL,14-31.4mm,FHD，LED背光,支持802.11b/g/n无线协议,立体声扬声器,1920x1080,2016年10月,252mm,NULL,NULL,家用,1×USB2.0+3×USB3.0,374mm,2.5Kg,NULL,400-106-9999,9:00-18:00（节假日休息）,NULL,100V-240V 自适应交流电源适配器,主要部件2年，电池6个月，其它部件1年免费保修,内置音效芯片,无内置光驱,NULL,NULL,1000Mbps以太网卡,Intel H170,NULL,游戏本，影音娱乐本,NULL,NULL,2年,灰色,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电池 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,6合一读卡器,16:9,耳机输出接口，麦克风输入接口,NULL,NULL,NULL,NULL,内置麦克风,NULL,NULL,NULL,集成100万像素摄像头,NULL,神舟笔记本电脑实行实行客户送修的服务方式，用户自购机之日起（以正式购机发票为准），您所购买的神舟家用笔记本出现任何非人为硬件故障时，可享受2年主要部件、随机电池6个月、其它部件1年免费保修。其中主要部件包含CPU、内存、硬盘、主板、电源、适配器、显卡、笔记本屏以及键盘。神舟电脑及授权服务站在收到您的故障产品后，将以最快的速度检测维修，但维修时间将视当地的实际备料状况而定。进入官网>>,15.6英寸,NULL,32GB,视具体使用环境而定,HDMI，Mini DisplayPort,NULL,NULL,NULL,不支持触控,NULL,孤岛式键盘,RJ45（网络接口），电源接口
