型号,系列,网址,图片,价格,状态,CPU跑分,CPU型号,CPU系列,CPU主频,最高睿频,核心/线程数,三级缓存,总线规格,核心架构,制程工艺,功耗,内存容量,内存类型,插槽数量,硬盘容量,硬盘描述,显卡跑分,显卡类型,显卡芯片,显存容量,显存类型,显存位宽,外壳材质,可选配件,网络通信,电池类型,基本参数,厚度,屏幕技术,无线网卡,扬声器,屏幕分辨率,上市时间,宽度,工作温度,其它特点,产品类型,数据接口,长度,笔记本重量,安全性能,客服电话,电话备注,人脸识别,电源适配器,质保备注,音频系统,光驱类型,笔记本附件,存储温度,有线网卡,主板芯片组,显卡,产品定位,操作系统,电源描述,质保时间,外壳描述,处理器,输入设备,指取设备,保修政策,包装清单,外观,附带软件,保修信息,读卡器,显示比例,音频接口,工作湿度,蓝牙,指纹识别,环境要求,麦克风,变形方式,其他,扩展插槽,摄像头,存储设备,详细内容,屏幕尺寸,商用技术,最大内存容量,续航时间,视频接口,特色功能,显示屏,多媒体设备,触控屏,I/O接口,键盘描述,其它接口
雷神ST-Pro,ST-Pro系列,http://detail.zol.com.cn/notebook/index1153173.shtml,https://2a.zol-img.com.cn/product/178_80x60/32/ce9rHFV1MtDc.jpg,8999,正常,8146,Intel 酷睿i7 6700HQ,英特尔 酷睿i7 6代系列,2.6GHz,3.5GHz,四核心/八线程,6MB,DMI 8 GT/s,Skylake,14nm,45W,16GB（8GB×2）,DDR4 2400MHz,4xSO-DIMM,512GB,SSD固态硬盘,8851,发烧级独立显卡,NVIDIA GeForce GTX 1060,6GB,GDDR5,192bit,镁铝合金,NULL,NULL,4芯锂电池,NULL,25.8mm,FHD，IPS雾面宽屏,支持802.11a/b/g/n/ac无线协议,双立体声扬声器，低音炮,1920x1080,2016年08月,271mm,NULL,支持VR，支持4屏输出，BIOS支持关闭集显，支持5.1声道输出，SOUND BLASTER X-FI MB5,家用,3×USB3.0+2×USB3.1,385mm,2.5Kg,安全锁孔,400-699-9999,周一至周日 8:00-18:00,NULL,100V-240V 200W 自适应交流电源适配器,整机1年，主要部件2年，电池1年,内置音效芯片，Sound Blaster X-Fi5认证音效,无内置光驱,NULL,NULL,1000Mbps以太网卡,Intel HM170,NULL,游戏本，影音娱乐本,预装Windows 10 Home Basic 64bit（64位家庭普通版）,NULL,1年,金属灰,NULL,NULL,多点触控触摸板,全国联保，享受三包服务,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,6合1读卡器,16:9,麦克风输入接口,NULL,支持，蓝牙4.0模块,NULL,NULL,Microphone jack,NULL,NULL,NULL,2.0M FHD视频摄像头,NULL,雷神将按相关部门颁布的《微型计算机商品修理更换退货责任规定》中的内容和范围，向雷神笔记本电脑的消费者用户提供“三包”服务。如果您购买的笔记本电脑出现国家“三包规定”所列性能故障，自您购买之日（以有效购货发票日期为准）起7日内，您可选择退货、换货或者修理；第8日至第15日内，您可选择换货或修理，产品均采用送修的服务方式。进入官网>>,15.6英寸,NULL,64GB,视具体使用环境而定,HDMI，2×Mini DisplayPort,NULL,NULL,NULL,不支持触控,NULL,孤岛式全尺寸全彩背光键盘,RJ45（网络接口），电源接口
雷神ST-Pro 典藏版,ST-Pro系列,http://detail.zol.com.cn/notebook/index1183428.shtml,https://2f.zol-img.com.cn/product/186_80x60/439/cek6JiQAKb0BI.jpg,8999,正常,8896,Intel 酷睿i7 7700HQ,英特尔 酷睿i7 7代系列,2.8GHz,3.8GHz,四核心/八线程,6MB,DMI 8 GT/s,Kaby Lake,14nm,45W,8GB（8GB×1）,DDR4 2400MHz,4xSO-DIMM,256GB+1TB,混合硬盘（SSD+HDD）,8851,发烧级独立显卡,NVIDIA GeForce GTX 1060,6GB,GDDR5,192bit,镁铝合金,NULL,NULL,4芯锂电池,NULL,25.8mm,FHD，IPS雾面宽屏,支持802.11a/b/g/n/ac无线协议,双立体声扬声器，低音炮,1920x1080,2017年09月,271mm,NULL,支持VR，支持4屏输出，BIOS支持关闭集显，支持5.1声道输出，SOUND BLASTER X-FI MB5,家用,3×USB3.0+2×USB3.1,385mm,2.5Kg,安全锁孔,400-699-9999,周一至周日 8:00-18:00,NULL,100V-240V 200W 自适应交流电源适配器,整机1年，主要部件2年，电池1年,内置音效芯片，Sound Blaster X-Fi5认证音效,无内置光驱,NULL,NULL,1000Mbps以太网卡,Intel HM175,NULL,游戏本，影音娱乐本,预装Windows 10 Home Basic 64bit（64位家庭普通版）,NULL,1年,金属灰,NULL,NULL,多点触控触摸板,全国联保，享受三包服务,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,6合1读卡器,16:9,麦克风输入接口,NULL,支持，蓝牙4.0模块,NULL,NULL,Microphone jack,NULL,NULL,NULL,2.0M FHD视频摄像头,NULL,雷神将按相关部门颁布的《微型计算机商品修理更换退货责任规定》中的内容和范围，向雷神笔记本电脑的消费者用户提供“三包”服务。如果您购买的笔记本电脑出现国家“三包规定”所列性能故障，自您购买之日（以有效购货发票日期为准）起7日内，您可选择退货、换货或者修理；第8日至第15日内，您可选择换货或修理，产品均采用送修的服务方式。进入官网>>,15.6英寸,NULL,64GB,视具体使用环境而定,HDMI，2×Mini DisplayPort,NULL,NULL,NULL,不支持触控,NULL,孤岛式全尺寸全彩背光键盘,RJ45（网络接口），电源接口
雷神ST-Pro 启天版,ST-Pro系列,http://detail.zol.com.cn/notebook/index1164241.shtml,https://2e.zol-img.com.cn/product/180_80x60/852/cez6nl4V7bGvo.jpg,9999,正常,8896,Intel 酷睿i7 7700HQ,英特尔 酷睿i7 7代系列,2.8GHz,3.8GHz,四核心/八线程,6MB,DMI 8 GT/s,Kaby Lake,14nm,45W,16GB（8GB×2）,DDR4 2400MHz,4xSO-DIMM,512GB,SSD固态硬盘,8851,发烧级独立显卡,NVIDIA GeForce GTX 1060,6GB,GDDR5,192bit,镁铝合金,NULL,NULL,4芯锂电池,NULL,25.8mm,FHD，IPS雾面宽屏,支持802.11a/b/g/n/ac无线协议,双立体声扬声器，低音炮,1920x1080,2017年01月,271mm,NULL,支持VR，支持4屏输出，BIOS支持关闭集显，支持5.1声道输出，SOUND BLASTER X-FI MB5,家用,3×USB3.0+2×USB3.1,385mm,2.5Kg,安全锁孔,400-699-9999,周一至周日 8:00-18:00,NULL,100V-240V 200W 自适应交流电源适配器,整机1年，主要部件2年，电池1年,内置音效芯片，Sound Blaster X-Fi5认证音效,无内置光驱,NULL,NULL,1000Mbps以太网卡,Intel HM170,NULL,游戏本，影音娱乐本,预装Windows 10 Home Basic 64bit（64位家庭普通版）,NULL,1年,金属灰,NULL,NULL,多点触控触摸板,全国联保，享受三包服务,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,6合1读卡器,16:9,麦克风输入接口,NULL,支持，蓝牙4.0模块,NULL,NULL,Microphone jack,NULL,NULL,NULL,2.0M FHD视频摄像头,NULL,雷神将按相关部门颁布的《微型计算机商品修理更换退货责任规定》中的内容和范围，向雷神笔记本电脑的消费者用户提供“三包”服务。如果您购买的笔记本电脑出现国家“三包规定”所列性能故障，自您购买之日（以有效购货发票日期为准）起7日内，您可选择退货、换货或者修理；第8日至第15日内，您可选择换货或修理，产品均采用送修的服务方式。进入官网>>,15.6英寸,NULL,64GB,视具体使用环境而定,HDMI，2×Mini DisplayPort,NULL,NULL,NULL,不支持触控,NULL,孤岛式全尺寸全彩背光键盘,RJ45（网络接口），电源接口
雷神911 Targa T5TB,911 Targa系列,http://detail.zol.com.cn/notebook/index1173232.shtml,https://2b.zol-img.com.cn/product/183_80x60/309/ceZSJmWbkk85g.jpg,7999,正常,8896,Intel 酷睿i7 7700HQ,英特尔 酷睿i7 7代系列,2.8GHz,3.8GHz,四核心/八线程,6MB,DMI 8 GT/s,Kaby Lake,14nm,45W,8GB（8GB×1）,DDR4 2400MHz,2xSO-DIMM,128GB+1TB,混合硬盘（SSD+HDD）,5816,双显卡（性能级独立显卡＋集成显卡）,NVIDIA GeForce GTX 1050 Ti＋Intel GMA HD 630,4GB,GDDR5,128bit,镁铝合金,NULL,NULL,锂电池，60瓦时,NULL,23.5mm,FHD，LED背光，72%色域，雾面IPS高清屏,支持802.11a/b/g/n/ac无线协议,低音炮,1920x1080,2017年02月,271.5mm,NULL,双风扇+五铜管散热，自定义快捷功能键，支持VR,家用,2×USB3.0，USB3.1 Type-C接口，USB3.1 Type-A接口,390mm,2.4Kg,安全锁孔,400-699-9999,周一至周日 8:00-18:00,NULL,100V-240V 180W 自适应交流电源适配器,整机1年，主要部件2年，电池1年,内置音效芯片,无内置光驱,NULL,NULL,1000Mbps以太网卡,Intel HM175,NULL,游戏本，影音娱乐本,NULL,NULL,1年,金属灰,NULL,NULL,一体化多点触控触摸板,全国联保，享受三包服务,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,软件套装,NULL,4合1读卡器（MMC，SD，SDHC，SDXC）,16:9,耳机/麦克风二合一接口,NULL,支持，蓝牙4.0模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,1.0M HD视频摄像头,NULL,雷神将按相关部门颁布的《微型计算机商品修理更换退货责任规定》中的内容和范围，向雷神笔记本电脑的消费者用户提供“三包”服务。如果您购买的笔记本电脑出现国家“三包规定”所列性能故障，自您购买之日（以有效购货发票日期为准）起7日内，您可选择退货、换货或者修理；第8日至第15日内，您可选择换货或修理，产品均采用送修的服务方式。进入官网>>,15.6英寸,NULL,32GB,视具体使用环境而定,HDMI，Mini DisplayPort,NULL,NULL,NULL,不支持触控,NULL,孤岛式全尺寸天面印刷RGB背光键盘,RJ45（网络接口），电源接口
雷神911 Targa T6a,911 Targa系列,http://detail.zol.com.cn/notebook/index1182033.shtml,https://2c.zol-img.com.cn/product/186_80x60/880/ceUbsxTyyGl3Q.jpg,9299,正常,8896,Intel 酷睿i7 7700HQ,英特尔 酷睿i7 7代系列,2.8GHz,3.8GHz,四核心/八线程,6MB,DMI 8 GT/s,Kaby Lake,14nm,45W,8GB（8GB×1）,DDR4 2400MHz,2xSO-DIMM,128GB+1TB,混合硬盘（SSD+HDD）,8851,发烧级独立显卡,NVIDIA GeForce GTX 1060,6GB,GDDR5,192bit,镁铝合金,NULL,NULL,锂电池，6000毫安,NULL,23.5mm,FHD，LED背光，雾面72色域IPS高清屏,Intel 3165 AC，支持802.11a/b/g/n/ac无线协议，支持双频（2.4GHz+5GHz）,低音炮,1920x1080,2017年09月,247mm,NULL,自定义快捷功能键，支持VR,家用,2×USB3.0，USB3.1 Type-C接口，USB3.1 Type-A接口,349mm,2.4Kg,安全锁孔,400-699-9999,周一至周日 8:00-18:00,NULL,100V-240V 180W 自适应交流电源适配器,整机1年，主要部件2年，电池1年,内置音效芯片,无内置光驱,NULL,NULL,1000Mbps以太网卡,Intel HM175,NULL,游戏本，影音娱乐本,NULL,NULL,1年,银灰色,NULL,NULL,一体化多点触控触摸板,全国联保，享受三包服务,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,软件套装,NULL,4合1读卡器（MMC，SD，SDHC，SDXC）,16:9,耳机/麦克风二合一接口,NULL,支持，蓝牙4.0模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,1.0M HD视频摄像头,NULL,雷神将按相关部门颁布的《微型计算机商品修理更换退货责任规定》中的内容和范围，向雷神笔记本电脑的消费者用户提供“三包”服务。如果您购买的笔记本电脑出现国家“三包规定”所列性能故障，自您购买之日（以有效购货发票日期为准）起7日内，您可选择退货、换货或者修理；第8日至第15日内，您可选择换货或修理，产品均采用送修的服务方式。进入官网>>,15.6英寸,NULL,32GB,视具体使用环境而定,HDMI，Mini DisplayPort,NULL,NULL,NULL,不支持触控,NULL,孤岛式全尺寸天面印刷RGB背光键盘,RJ45（网络接口），电源接口
雷神911 Targa T6c,911 Targa系列,http://detail.zol.com.cn/notebook/index1165953.shtml,https://2e.zol-img.com.cn/product/181_80x60/512/ce6HSjqBMfmMs.jpg,9199,正常,8896,Intel 酷睿i7 7700HQ,英特尔 酷睿i7 7代系列,2.8GHz,3.8GHz,四核心/八线程,6MB,DMI 8 GT/s,Kaby Lake,14nm,45W,8GB（8GB×1）,DDR4 2400MHz,2xSO-DIMM,256GB,SSD固态硬盘,8851,双显卡（发烧级独立显卡＋集成显卡）,NVIDIA GeForce GTX 1060+Intel GMA HD 630,6GB,GDDR5,192bit,镁铝合金,NULL,NULL,锂电池，6000毫安,NULL,23.5mm,FHD，LED背光，雾面72色域IPS高清屏,Intel 3165 AC，支持802.11a/b/g/n/ac无线协议，支持双频（2.4GHz+5GHz）,低音炮,1920x1080,2017年02月,247mm,NULL,自定义快捷功能键，支持VR,家用,2×USB3.0，USB3.1 Type-C接口，USB3.1 Type-A接口,349mm,2.4Kg,安全锁孔,400-699-9999,周一至周日 8:00-18:00,NULL,100V-240V 180W 自适应交流电源适配器,整机1年，主要部件2年，电池1年,内置音效芯片,无内置光驱,NULL,NULL,1000Mbps以太网卡,Intel HM175,NULL,游戏本，影音娱乐本,NULL,NULL,1年,黑金，金属灰,NULL,NULL,一体化多点触控触摸板,全国联保，享受三包服务,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,软件套装,NULL,4合1读卡器（MMC，SD，SDHC，SDXC）,16:9,耳机/麦克风二合一接口,NULL,支持，蓝牙4.0模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,1.0M HD视频摄像头,NULL,雷神将按相关部门颁布的《微型计算机商品修理更换退货责任规定》中的内容和范围，向雷神笔记本电脑的消费者用户提供“三包”服务。如果您购买的笔记本电脑出现国家“三包规定”所列性能故障，自您购买之日（以有效购货发票日期为准）起7日内，您可选择退货、换货或者修理；第8日至第15日内，您可选择换货或修理，产品均采用送修的服务方式。进入官网>>,15.6英寸,NULL,32GB,视具体使用环境而定,HDMI，Mini DisplayPort,NULL,NULL,NULL,不支持触控,NULL,孤岛式全尺寸天面印刷RGB背光键盘,RJ45（网络接口），电源接口
雷神911 Targa B5Ta,911 Targa系列,http://detail.zol.com.cn/notebook/index1206457.shtml,https://2a.zol-img.com.cn/product/189_80x60/120/cevg2JaX77v8c.jpg,即将上市,正常,8896,Intel 酷睿i7 7700HQ,英特尔 酷睿i7 7代系列,2.8GHz,3.8GHz,四核心/八线程,6MB,DMI 8 GT/s,Kaby Lake,14nm,45W,8GB（8GB×1）,DDR4 2400MHz,2xSO-DIMM,128GB+1TB,混合硬盘（SSD+5400转HDD）,5816,双显卡（性能级独立显卡＋集成显卡）,NVIDIA GeForce GTX 1050 Ti＋Intel GMA HD 630,4GB,GDDR5,128bit,镁铝合金,NULL,NULL,聚合物电池，60瓦时,NULL,23.5mm,FHD，LED背光，45%色域，雾面IPS高清屏，250-nits,Intel 3165 AC，支持802.11a/b/g/n/ac无线协议，支持双频（2.4GHz+5GHz）,低音炮,1920x1080,2018年01月,271.5mm,NULL,双风扇+四铜管散热,家用,2×USB3.1，USB3.1 Type-C接口,390mm,2.4Kg,安全锁孔,400-699-9999,周一至周日 8:00-18:00,NULL,100V-240V 180W 自适应交流电源适配器,整机1年，主要部件2年，电池1年,内置音效芯片,无内置光驱,NULL,NULL,1000Mbps以太网卡,Intel HM175,NULL,游戏本，影音娱乐本,NULL,NULL,1年,曜蓝,NULL,NULL,一体化多点触控触摸板,全国联保，享受三包服务,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,软件套装,NULL,多合1读卡器（SD，SDHC，SDXC）,16:9,耳机输出接口，麦克风输入接口,NULL,支持，蓝牙4.2模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,1.0M HD视频摄像头,NULL,雷神将按相关部门颁布的《微型计算机商品修理更换退货责任规定》中的内容和范围，向雷神笔记本电脑的消费者用户提供“三包”服务。如果您购买的笔记本电脑出现国家“三包规定”所列性能故障，自您购买之日（以有效购货发票日期为准）起7日内，您可选择退货、换货或者修理；第8日至第15日内，您可选择换货或修理，产品均采用送修的服务方式。进入官网>>,15.6英寸,NULL,32GB,视具体使用环境而定,HDMI，Mini DisplayPort,NULL,NULL,NULL,不支持触控,NULL,孤岛式全尺寸RGB背光键盘,RJ45（网络接口），电源接口
雷神911 Targa B6a,911 Targa系列,http://detail.zol.com.cn/notebook/index1206464.shtml,https://2b.zol-img.com.cn/product/188_80x60/383/cetGxHOzOrqUA.jpg,即将上市,正常,8896,Intel 酷睿i7 7700HQ,英特尔 酷睿i7 7代系列,2.8GHz,3.8GHz,四核心/八线程,6MB,DMI 8 GT/s,Kaby Lake,14nm,45W,8GB（8GB×1）,DDR4 2400MHz,2xSO-DIMM,128GB+1TB,混合硬盘（SSD+5400转HDD）,8851,发烧级独立显卡,NVIDIA GeForce GTX 1060,6GB,GDDR5,192bit,镁铝合金,NULL,NULL,聚合物电池，60瓦时,NULL,23.5mm,FHD，LED背光，45%色域，雾面IPS高清屏，250-nits,Intel 3165 AC，支持802.11a/b/g/n/ac无线协议，支持双频（2.4GHz+5GHz）,低音炮,1920x1080,2018年01月,271.5mm,NULL,双风扇+五铜管散热,家用,3×USB3.1，USB3.1 Type-C接口,390mm,2.4Kg,安全锁孔,400-699-9999,周一至周日 8:00-18:00,NULL,100V-240V 180W 自适应交流电源适配器,整机1年，主要部件2年，电池1年,内置音效芯片,无内置光驱,NULL,NULL,1000Mbps以太网卡,Intel HM175,NULL,游戏本，影音娱乐本,NULL,NULL,1年,曜蓝,NULL,NULL,一体化多点触控触摸板,全国联保，享受三包服务,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,软件套装,NULL,多合1读卡器（SD，SDHC，SDXC）,16:9,耳机输出接口，麦克风输入接口,NULL,支持，蓝牙4.2模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,1.0M HD视频摄像头,NULL,雷神将按相关部门颁布的《微型计算机商品修理更换退货责任规定》中的内容和范围，向雷神笔记本电脑的消费者用户提供“三包”服务。如果您购买的笔记本电脑出现国家“三包规定”所列性能故障，自您购买之日（以有效购货发票日期为准）起7日内，您可选择退货、换货或者修理；第8日至第15日内，您可选择换货或修理，产品均采用送修的服务方式。进入官网>>,15.6英寸,NULL,32GB,视具体使用环境而定,HDMI，Mini DisplayPort,NULL,NULL,NULL,不支持触控,NULL,孤岛式全尺寸RGB背光键盘,RJ45（网络接口），电源接口
雷神911 Targa T6d,911 Targa系列,http://detail.zol.com.cn/notebook/index1179790.shtml,https://2b.zol-img.com.cn/product/185_80x60/251/ceFjGPfHEX4Eg.jpg,1.1万,正常,8896,Intel 酷睿i7 7700HQ,英特尔 酷睿i7 7代系列,2.8GHz,3.8GHz,四核心/八线程,6MB,DMI 8 GT/s,Kaby Lake,14nm,45W,16GB（8GB×2）,DDR4 2400MHz,2xSO-DIMM,256GB+1TB,混合硬盘（SSD+5400转HDD）,8851,双显卡（发烧级独立显卡＋集成显卡）,NVIDIA GeForce GTX 1060＋Intel GMA HD 630,6GB,GDDR5,192bit,镁铝合金,NULL,NULL,锂电池，6000毫安,NULL,23.5mm,FHD，LED背光，72%色域，雾面IPS高清屏,Intel 3165 AC，支持802.11a/b/g/n/ac无线协议，支持双频（2.4GHz+5GHz）,低音炮,1920x1080,2017年02月,247mm,NULL,双风扇+五铜管散热，自定义快捷功能键，支持VR,家用,2×USB3.0，USB3.1 Type-C接口，USB3.1 Type-A接口,349mm,2.4Kg,安全锁孔,400-699-9999,周一至周日 8:00-18:00,NULL,100V-240V 180W 自适应交流电源适配器,整机1年，主要部件2年，电池1年,内置音效芯片,无内置光驱,NULL,NULL,1000Mbps以太网卡,Intel HM175,NULL,游戏本，影音娱乐本,NULL,NULL,1年,黑金，金属灰,NULL,NULL,一体化多点触控触摸板,全国联保，享受三包服务,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,软件套装,NULL,4合1读卡器（MMC，SD，SDHC，SDXC）,16:9,耳机/麦克风二合一接口,NULL,支持，蓝牙4.0模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,1.0M HD视频摄像头,NULL,雷神将按相关部门颁布的《微型计算机商品修理更换退货责任规定》中的内容和范围，向雷神笔记本电脑的消费者用户提供“三包”服务。如果您购买的笔记本电脑出现国家“三包规定”所列性能故障，自您购买之日（以有效购货发票日期为准）起7日内，您可选择退货、换货或者修理；第8日至第15日内，您可选择换货或修理，产品均采用送修的服务方式。进入官网>>,15.6英寸,NULL,32GB,视具体使用环境而定,HDMI，Mini DisplayPort,NULL,NULL,NULL,不支持触控,NULL,孤岛式全尺寸天面印刷RGB背光键盘,RJ45（网络接口），电源接口
雷神911 Targa T6b,911 Targa系列,http://detail.zol.com.cn/notebook/index1166361.shtml,https://2a.zol-img.com.cn/product/181_80x60/262/cenCq0pBoTV9Q.jpg,9999,正常,8896,Intel 酷睿i7 7700HQ,英特尔 酷睿i7 7代系列,2.8GHz,3.8GHz,四核心/八线程,6MB,DMI 8 GT/s,Kaby Lake,14nm,45W,8GB（8GB×1）,DDR4 2400MHz,2xSO-DIMM,512GB,SSD固态硬盘,8851,双显卡（发烧级独立显卡＋集成显卡）,NVIDIA GeForce GTX 1060+Intel GMA HD 630,6GB,GDDR5,192bit,镁铝合金,NULL,NULL,锂电池，6000毫安,NULL,23.5mm,FHD，LED背光，雾面72色域IPS高清屏,Intel 3165 AC，支持802.11a/b/g/n/ac无线协议，支持双频（2.4GHz+5GHz）,低音炮,1920x1080,2017年03月,247mm,NULL,自定义快捷功能键，支持VR,家用,2×USB3.0，USB3.1 Type-C接口，USB3.1 Type-A接口,349mm,2.4Kg,安全锁孔,400-699-9999,周一至周日 8:00-18:00,NULL,100V-240V 180W 自适应交流电源适配器,整机1年，主要部件2年，电池1年,内置音效芯片,无内置光驱,NULL,NULL,1000Mbps以太网卡,Intel HM175,NULL,游戏本，影音娱乐本,NULL,NULL,1年,黑金，金属灰,NULL,NULL,一体化多点触控触摸板,全国联保，享受三包服务,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,软件套装,NULL,4合1读卡器（MMC，SD，SDHC，SDXC）,16:9,耳机/麦克风二合一接口,NULL,支持，蓝牙4.0模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,1.0M HD视频摄像头,NULL,雷神将按相关部门颁布的《微型计算机商品修理更换退货责任规定》中的内容和范围，向雷神笔记本电脑的消费者用户提供“三包”服务。如果您购买的笔记本电脑出现国家“三包规定”所列性能故障，自您购买之日（以有效购货发票日期为准）起7日内，您可选择退货、换货或者修理；第8日至第15日内，您可选择换货或修理，产品均采用送修的服务方式。进入官网>>,15.6英寸,NULL,32GB,视具体使用环境而定,HDMI，Mini DisplayPort,NULL,NULL,NULL,不支持触控,NULL,孤岛式全尺寸天面印刷RGB背光键盘,RJ45（网络接口），电源接口
